Gene,logFC_DvsS,AveExpr_DvsS,t_DvsS,P.Value_DvsS,adj.P.Val_DvsS,B_DvsS,logFC_DvsS_M,AveExpr_DvsS_M,t_DvsS_M,P.Value_DvsS_M,adj.P.Val_DvsS_M,B_DvsS_M,logFC_DvsS_F,AveExpr_DvsS_F,t_DvsS_F,P.Value_DvsS_F,adj.P.Val_DvsS_F,B_DvsS_F,logFC_MvsF,AveExpr_MvsF,t_MvsF,P.Value_MvsF,adj.P.Val_MvsF,B_MvsF,logFC_MvsFD,AveExpr_MvsFD,t_MvsFD,P.Value_MvsFD,adj.P.Val_MvsFD,B_MvsFD,logFC_MvsFS,AveExpr_MvsFS,t_MvsFS,P.Value_MvsFS,adj.P.Val_MvsFS,B_MvsFS,Sig_DvsS,Direction.type_DvsS,Sig.direction_DvsS,Sig_DvsS_M,Direction.type_DvsS_M,Sig.direction_DvsS_M,Sig_DvsS_F,Direction.type_DvsS_F,Sig.direction_DvsS_F,Sig_MvsF,Direction.type_MvsF,Sig.direction_MvsF,Sig_MvsFD,Direction.type_MvsFD,Sig.direction_MvsFD,Sig_MvsFS,Direction.type_MvsFS,Sig.direction_MvsFS
Oxt,-0.17803279966169328,14.089754602971917,-4.353913377481143,2.0576510899801073e-5,0.041153021799602146,-6.597632253700354,-0.18794326411977735,14.089754602971917,-3.69786413355299,2.752311287323111e-4,0.5504622574646222,-8.848648064851593,-0.1681223352036092,14.089754602971917,-2.6240612988734404,0.009303632287275976,0.999999999999869,-11.873454831174808,-0.14458451639770686,14.089754602971917,-3.535912827955527,4.963700880231561e-4,0.09024910691330111,-9.62123343105576,-0.15449498085579094,14.089754602971917,-2.7512991954205868,0.006435727410955222,0.7554386582947664,-11.672824125527592,-0.13467405193962279,14.089754602971917,-2.265156633892111,0.024486712975893044,0.9999999999994742,-12.805962490328731,Sig,down,down,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Cwc22,0.1124685296930723,13.854674804594023,3.331755642108404,0.0010137658068876448,0.9999988212506139,-10.289297389677245,0.007873383057170003,13.854674804594023,0.18764972300937485,0.8513259434828191,0.9999999999997418,-15.492463369598537,0.2170636763289746,13.854674804594023,4.103912361279044,5.742626482287084e-5,0.11485252964574169,-7.129994488935722,-0.08001854739856107,13.854674804594023,-2.370460852436097,0.018638374077184872,0.6990338415429628,-12.940992781299006,-0.18461369403446248,13.854674804594023,-3.982444388555478,9.298200086364227e-5,0.06198800057576151,-7.720794967914584,0.024576599237342123,13.854674804594023,0.500724060643175,0.617070952225246,0.9999999999994742,-15.22745476943442,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig
AY036118,-0.13089338851683152,14.39178307494579,-3.212961696101032,0.001512840158892674,0.9999988212506139,-10.661512950388818,-0.12881427749155172,14.39178307494579,-2.543877894473064,0.01165602267892865,0.9999999999997418,-12.306989180327376,-0.13297249954211132,14.39178307494579,-2.083140052909087,0.03840549433184544,0.999999999999869,-13.120296656430837,0.03316564128544197,14.39178307494579,0.8140971540594623,0.41647845049405563,0.998580251942964,-15.3952479170102,0.035244752310720884,14.39178307494579,0.6299788705958702,0.5293687454542767,0.9999999999997153,-15.211278981764533,0.031086530260161283,14.39178307494579,0.5248009792454756,0.600255301250485,0.9999999999994742,-15.21506730709538,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Pmch,0.017317134328201256,13.719798766105175,2.571540982372881,0.010792006626754636,0.9999988212506139,-12.455557295011591,7.105427357601002e-15,13.719798766105175,8.488912365165851e-13,0.9999999999993234,0.9999999999997418,-15.510148984443695,0.034634268656395406,13.719798766105175,3.2824056016812677,0.001199257975617506,0.999999999999869,-9.996585128368595,-0.017317134328202144,13.719798766105175,-2.571540982373013,0.010792006626750656,0.5019537965930537,-12.455557295011262,-0.034634268656395406,13.719798766105175,-3.7451319971406387,2.3095982974232388e-4,0.09238393189692955,-8.583231489461582,-7.105427357601002e-15,13.719798766105175,-7.256750252022244e-13,0.9999999999994217,0.9999999999994742,-15.353320205077079,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Ramp2,0.018282033809760456,13.722034597021807,2.467975983022986,0.014358267864290373,0.9999988212506139,-12.710203237066851,0.02361695778509265,13.722034597021807,2.564984805328044,0.010990140964192084,0.9999999999997418,-12.25440098076438,0.012947109834428261,13.722034597021807,1.1154704067555963,0.2658781100945143,0.999999999999869,-14.655349998713149,0.00533492397532509,13.722034597021807,0.7201859694257043,0.47218266177042456,0.9999988212506139,-15.467426107163204,0.010669847950657285,13.722034597021807,1.0488619611659775,0.2954041068562806,0.9999999999997153,-14.859255020840939,-7.105427357601002e-15,13.722034597021807,-6.596919335423462e-13,0.9999999999994742,0.9999999999994742,-15.353320205077079,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig
Slc4a4,-0.04544413886034526,13.74982306871836,-2.3966083558418965,0.01739246503507646,0.9999988212506139,-12.879974807852342,-0.04178653539659827,13.74982306871836,-1.7729642456612995,0.07763225407435655,0.9999999999997418,-13.942516968041218,-0.04910174232409226,13.74982306871836,-1.6526652417636607,0.0998397619335466,0.999999999999869,-13.91517459264308,-0.008661052391491175,13.74982306871836,-0.45676188508316,0.6482973979897109,0.9999988212506139,-15.622896495415036,-0.005003448927745069,13.74982306871836,-0.192146441297868,0.847806524372479,0.9999999999997153,-15.391902037193343,-0.012318655855239058,13.74982306871836,-0.44680400995429886,0.6554605261660087,0.9999999999994742,-15.253090932248702,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Apoe,-0.09279361083495008,14.094823642336483,-2.3467297895702366,0.019836526450873533,0.9999988212506139,-12.995821317622644,-0.03859920554606511,14.094823642336483,-0.785358231425132,0.4330970309809773,0.9999999999997418,-15.200777125073836,-0.14698801612383505,14.094823642336483,-2.372442741218403,0.018541256919354505,0.999999999999869,-12.487314158016618,-0.1317857603659638,14.094823642336483,-3.332832583075742,0.0010100414934339106,0.13467219912452144,-10.285867113023258,-0.07759135507707882,14.094823642336483,-1.428900643086372,0.15446536805620908,0.9999999999997153,-14.389656823621358,-0.18598016565484876,14.094823642336483,-3.234790735596964,0.0014067366702086844,0.3516841675521711,-10.219714917969084,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Vcan,-0.014234722078003692,13.718979001991361,-2.339474211304293,0.020218779387764726,0.9999988212506139,-13.012541190595101,-0.012482442138287198,13.718979001991361,-1.6504913539244537,0.10028791299342857,0.9999999999997418,-14.1503271504062,-0.015987002017720187,13.718979001991361,-1.676892024251155,0.09500236889045122,0.999999999999869,-13.875173728635309,-0.0017522799397200473,13.718979001991361,-0.28798691730662873,0.7736314008245555,0.9999988212506139,-15.685989763311456,-3.552713678800501e-15,13.718979001991361,-4.2518032675886194e-13,0.9999999999996612,0.9999999999997153,-15.410445348772488,-0.003504559879436542,13.718979001991361,-0.3961296072305863,0.6923983352096323,0.9999999999994742,-15.274528056363735,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Gm43507,0.0168546962670737,13.721005994643642,2.311227115985782,0.021756160253929232,0.9999988212506139,-13.076883162259763,0.01830538593352493,13.721005994643642,2.019505336854749,0.04466087286400221,0.9999999999997418,-13.480536714416134,0.015404006600622466,13.721005994643642,1.3481064574165165,0.17902560785716046,0.999999999999869,-14.369484658053755,0.0014506896664441271,13.721005994643642,0.19892813497422698,0.8425046813842761,0.9999988212506139,-15.707765678934212,0.0029013793328953597,13.721005994643642,0.2897142719218922,0.7723106657598429,0.9999999999997153,-15.368293460209921,-7.105427357601002e-15,13.721005994643642,-6.701105353916199e-13,0.999999999999466,0.9999999999994742,-15.353320205077079,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig
Hs6st3,0.10040629786749289,14.002536061316912,2.1953695618393323,0.0291931877627629,0.9999988212506139,-13.33314951376455,0.042753149875336405,14.002536061316912,0.7520716600463568,0.45281992911706803,0.9999999999997418,-15.226412906489236,0.15805944585964937,14.002536061316912,2.20564665041971,0.028454290994500347,0.999999999999869,-12.861849032606957,0.037166607024571086,14.002536061316912,0.8126426281174932,0.4173103367786237,0.998580251942964,-15.396432817329202,-0.020486540967585398,14.002536061316912,-0.3261812585638949,0.744600410164559,0.9999999999997153,-15.357017047328169,0.09481975501672757,14.002536061316912,1.4258704273547682,0.15533739066906918,0.9999999999994742,-14.336836555039008,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig
