contrast,Estimate,Std.error,z.value,adj.pvalue,z.ratio,seurat_clusters,p.adjust.fdr,adj.pvalue.round
Sexmale,0.201974467359041,0.10499187212713078,1.923715267354006,0.1557015048130891,NA,5,0.38467430600880836,0.3847
Statussub,-0.5614862394220762,0.16996616426964625,-3.303517743280333,0.003003710252935554,NA,5,0.009011130758806662,0.009
Sexmale:Statussub,-0.1977321097333857,0.21467660772686362,-0.9210696583437882,0.7245624687127422,NA,5,0.9816652801914572,0.9817
female.dom.data - female.sub.data,0.5614862394220755,0.16996616426964634,NA,0.0052797302673025515,3.3035177432803278,5,NA,0.0053
female.dom.data - male.dom.data,-0.2019744673590423,0.10499187212713083,NA,0.21800065591124018,-1.9237152673540172,5,NA,0.218
female.dom.data - male.sub.data,0.5572438817964203,0.13385432434450636,NA,1.840168890895333e-4,4.163062228473238,5,NA,2e-4
female.sub.data - male.dom.data,-0.7634607067811179,0.16783642560359005,NA,3.19610948266158e-5,-4.548837977426441,5,NA,0
female.sub.data - male.sub.data,-0.00424235762565528,0.18725050785606415,NA,0.9999958238661635,-0.022656054043475805,5,NA,1
male.dom.data - male.sub.data,0.7592183491554625,0.13113942545465618,NA,4.2331553040675374e-8,5.789398165527086,5,NA,0
(Intercept),-2.8865923340536277,0.08072839392274986,-35.75684085596759,0,NA,6,NA,0
Sexmale,0.08612212856932597,0.11327510324448649,0.7602917684695895,0.8278738690453636,NA,6,0.9999999999962556,1
Statussub,-0.23537202964327475,0.15968773847244067,-1.4739518005253476,0.3562789071404524,NA,6,0.6112089040821881,0.6112
Sexmale:Statussub,-0.30264501821871115,0.20975353022284873,-1.4428601887995476,0.37413443797765844,NA,6,0.6112089040821881,0.6112
female.dom.data - female.sub.data,0.23537202964327347,0.15968773847244058,NA,0.45332084714242904,1.4739518005253405,6,NA,0.4533
female.dom.data - male.dom.data,-0.08612212856932694,0.11327510324448646,NA,0.872268598242957,-0.7602917684695982,6,NA,0.8723
female.dom.data - male.sub.data,0.4518949192926591,0.13674526601732562,NA,0.0052591366295038355,3.304647630254374,6,NA,0.0053
female.sub.data - male.dom.data,-0.3214941582126004,0.15905117309469397,NA,0.18004541826063591,-2.0213252876870835,6,NA,0.18
female.sub.data - male.sub.data,0.21652288964938565,0.1765369491803299,NA,0.6099390469360537,1.2265018210335714,6,NA,0.6099
male.dom.data - male.sub.data,0.5380170478619861,0.1360013588994789,NA,4.427687508614664e-4,3.9559681771977324,6,NA,4e-4
(Intercept),-3.3201157128562007,0.09840544812874005,-33.739145301311176,0,NA,7,NA,0
Sexmale,0.046680903737565366,0.1392243112166279,0.33529276122567125,0.9840905985477388,NA,7,0.9999999999962556,1
Statussub,0.5524090182137279,0.15325242516460685,3.604569504335028,7.539764811453908e-4,NA,7,0.002638917684008868,0.0026
Sexmale:Statussub,-0.16552187055285397,0.20308959423468956,-0.8150189633131943,0.7731364077921175,NA,7,0.9839917917354222,0.984
female.dom.data - female.sub.data,-0.552409018213728,0.15325242516460685,NA,0.001777249291334826,-3.6045695043350285,7,NA,0.0018
female.dom.data - male.dom.data,-0.04668090373756558,0.1392243112166279,NA,0.9870176993989945,-0.3352927612256728,7,NA,0.987
female.dom.data - male.sub.data,-0.4335680513984394,0.13320260161374206,NA,0.006237487153346488,-3.2549518263591457,7,NA,0.0062
female.sub.data - male.dom.data,0.5057281144761624,0.15330508866225406,NA,0.005365874413759797,3.2988344932915457,7,NA,0.0054
female.sub.data - male.sub.data,0.1188409668152886,0.14785795363343293,NA,0.8527019481173657,0.8037509237407494,7,NA,0.8527
male.dom.data - male.sub.data,-0.38688714766087384,0.13326318871908116,NA,0.019345663404822133,-2.903180926252876,7,NA,0.0193
(Intercept),-3.8645652864924944,0.12730241692013683,-30.357359899277714,0,NA,8,NA,0
Sexmale,1.6627848926204167,0.14145441133078113,11.75491719895615,0,NA,8,0,0
Statussub,-0.4035769529406619,0.26933189752779824,-1.498437268831138,0.31809986738510543,NA,8,0.6112089040821881,0.6112
Sexmale:Statussub,-1.6704914448182173,0.32582773164369666,-5.126916104995491,8.446121657623706e-6,NA,8,3.547371096201957e-5,0
female.dom.data - female.sub.data,0.40357695294066276,0.26933189752779796,NA,0.4383983625703447,1.4984372688311427,8,NA,0.4384
female.dom.data - male.dom.data,-1.662784892620416,0.1414544113307809,NA,0,-11.754917198956164,8,NA,0
female.dom.data - male.sub.data,0.4112835051384631,0.21453787522167533,NA,0.22076766866315456,1.9170671132707762,8,NA,0.2208
female.sub.data - male.dom.data,-2.0663618455610786,0.24522889471562168,NA,3.9745984281580604e-14,-8.426257631496988,8,NA,0
female.sub.data - male.sub.data,0.007706552197800365,0.2935206299787782,NA,0.9999935008374182,0.026255572558417973,8,NA,1
male.dom.data - male.sub.data,2.074068397758879,0.183368589682509,NA,5.3290705182007514e-15,11.3109251772618,8,NA,0
(Intercept),-3.4540320407280953,0.10476000405082606,-32.97090403941102,0,NA,9,NA,0
Sexmale,0.2187155310384321,0.1426118918014556,1.5336416078325927,0.31222263516824134,NA,9,0.6112089040821881,0.6112
Statussub,-0.2277913276616326,0.20739199630176197,-1.0983612276444312,0.5843336214962127,NA,9,0.8462762794083081,0.8463
Sexmale:Statussub,0.3343250560101322,0.2498223236637412,1.3382513264112095,0.42463303186257473,NA,9,0.6605402717862273,0.6605
female.dom.data - female.sub.data,0.22779132766163313,0.20739199630176172,NA,0.6905405283698443,1.098361227644435,9,NA,0.6905
female.dom.data - male.dom.data,-0.21871553103843186,0.14261189180145536,NA,0.4172590557773308,-1.5336416078325934,9,NA,0.4173
female.dom.data - male.sub.data,-0.3252492593869312,0.1449514349186964,NA,0.11158689799443466,-2.243849876818152,9,NA,0.1116
female.sub.data - male.dom.data,-0.446506858700065,0.20347057506126498,NA,0.12471577075917084,-2.1944542033442516,9,NA,0.1247
female.sub.data - male.sub.data,-0.5530405870485644,0.20511714145229534,NA,0.03534905045988601,-2.6962182835274473,9,NA,0.0353
male.dom.data - male.sub.data,-0.10653372834849936,0.13928299706253092,NA,0.8702703087034513,-0.764872458198693,9,NA,0.8703
(Intercept),-3.443113514186023,0.104224196798677,-33.03564450428779,0,NA,10,NA,0
Sexmale,-0.18333046823851232,0.15610960587857514,-1.1743701946253715,0.5429224443004924,NA,10,0.8143836664507387,0.8144
Statussub,0.1575737694934171,0.18147921449192733,0.8682744739366633,0.7551480720162155,NA,10,0.9839917917354222,0.984
Sexmale:Statussub,-0.012785590399336601,0.24570586532076866,-0.05203616276170303,0.9999899170705379,NA,10,0.9999999999962556,1
female.dom.data - female.sub.data,-0.15757376949341736,0.18147921449192736,NA,0.8212591758006121,-0.8682744739366647,10,NA,0.8213
female.dom.data - male.dom.data,0.1833304682385126,0.15610960587857517,NA,0.6430809536780633,1.174370194625373,10,NA,0.6431
female.dom.data - male.sub.data,0.0385422891444318,0.1574541974972892,NA,0.9948486619830972,0.24478413250999778,10,NA,0.9948
female.sub.data - male.dom.data,0.34090423773192996,0.18862541701348826,NA,0.2697876700676374,1.8073080665876144,10,NA,0.2698
female.sub.data - male.sub.data,0.19611605863784917,0.18973972490088528,NA,0.7296903636825025,1.033605686633596,10,NA,0.7297
male.dom.data - male.sub.data,-0.1447881790940808,0.16564017314776242,NA,0.8182813548027033,-0.8741127006968279,10,NA,0.8183
(Intercept),-4.14147991879891,0.14548045611784013,-28.467603342158096,0,NA,11,NA,0
Sexmale,0.3548457253698495,0.19208559266564684,1.8473312883361874,0.16713063511701043,NA,11,0.389971481939691,0.39
Statussub,0.6362386774095532,0.2197057451647442,2.8958672743513185,0.011996539738531431,NA,11,0.031490916813645006,0.0315
Sexmale:Statussub,-0.3884912684158336,0.2805415803418394,-1.384790332835716,0.3783674168127831,NA,11,0.6112089040821881,0.6112
female.dom.data - female.sub.data,-0.6362386774095526,0.21970574516474412,NA,0.019778113687736076,-2.895867274351317,11,NA,0.0198
female.dom.data - male.dom.data,-0.35484572536985015,0.19208559266564681,NA,0.25118815274094786,-1.8473312883361912,11,NA,0.2512
female.dom.data - male.sub.data,-0.6025931343635685,0.18938113727902792,NA,0.007977094671547724,-3.1819068309624083,11,NA,0.008
female.sub.data - male.dom.data,0.2813929520397025,0.2069743055154399,NA,0.5248846144969423,1.3595550005056598,11,NA,0.5249
female.sub.data - male.sub.data,0.033645543045984105,0.20446687602392688,NA,0.9984157858832956,0.16455253633379166,11,NA,0.9984
male.dom.data - male.sub.data,-0.2477474089937184,0.17445046243074622,NA,0.48664637923256515,-1.4201590843708412,11,NA,0.4866
(Intercept),-5.626966877488041,0.30205349863794184,-18.629040560238096,0,NA,12,NA,0
Sexmale,1.5098343002558998,0.33594572783986876,4.494280400480564,2.3221761762615145e-5,NA,12,8.866490854816692e-5,1e-4
Statussub,-1.544689945259615,1.0449870363882017,-1.4781905339213979,0.3557853692786639,NA,12,0.6112089040821881,0.6112
Sexmale:Statussub,-2.1537880092814543,1.4539606668366973,-1.4813248105035284,0.354165275708223,NA,12,0.6112089040821881,0.6112
female.dom.data - female.sub.data,1.544689945259614,1.0449870363882026,NA,0.45072556350896265,1.4781905339213954,12,NA,0.4507
female.dom.data - male.dom.data,-1.5098343002559,0.3359457278398687,NA,4.13098682454649e-5,-4.494280400480565,12,NA,0
female.dom.data - male.sub.data,2.18864365428517,1.0448046776856434,NA,0.15473967328117422,2.094787380865536,12,NA,0.1547
female.sub.data - male.dom.data,-3.054524245515514,1.0111304595325055,NA,0.01344468500632412,-3.0209002376684095,12,NA,0.0134
female.sub.data - male.sub.data,0.643953709025556,1.414617294060255,NA,0.9686320565623637,0.4552140792632831,12,NA,0.9686
male.dom.data - male.sub.data,3.6984779545410698,1.010941993632087,NA,0.0014480676517605318,3.658447248049585,12,NA,0.0014
(Intercept),-25.614243035100472,3995.3799075543475,-0.006410965572177457,0.9999996740633941,NA,13,NA,1
Sexmale,21.33341890593576,3995.379910726235,0.005339521993556306,0.9999998117212042,NA,13,0.9999999999962556,1
Statussub,0.8489112212522586,5660.4039731346975,1.4997361059057712e-4,0.9999999999962556,NA,13,0.9999999999962556,1
Sexmale:Statussub,-21.974272687079083,6933.49602724837,-0.0031692918840251793,0.9999999606775705,NA,13,0.9999999999962556,1
female.dom.data - female.sub.data,-0.8489112204235093,5660.40397296594,NA,0.9999999999988387,-1.4997361044863668e-4,13,NA,1
female.dom.data - male.dom.data,-21.333418905107933,3995.379910486379,NA,0.9999999453226222,-0.005339521993669659,13,NA,1
female.dom.data - male.sub.data,-0.2080574392802378,5656.523190019117,NA,1,-3.678185915463995e-5,13,NA,1
female.sub.data - male.dom.data,-20.484507684684424,4009.6274837872425,NA,0.9999999521077274,-0.005108830625167215,13,NA,1
female.sub.data - male.sub.data,0.6408537811432715,5666.595673669325,NA,0.9999999999995643,1.1309326058343873e-4,13,NA,1
male.dom.data - male.sub.data,21.125361465827694,4004.1471027919865,NA,0.9999999472547902,0.005275870472165605,13,NA,1
