contrast,Estimate,Std.error,z.value,adj.pvalue,z.ratio,Genes,p.adjust.fdr,adj.pvalue.round
female.dom.data - female.sub.data,0.4030871711139482,0.09059695391331635,NA,5.0943329686359284e-5,4.4492353628094845,Nr3c2,NA,1e-4
female.dom.data - male.dom.data,-0.11108535989001289,0.0632469362895727,NA,0.2946319876061039,-1.7563753504425026,Nr3c2,NA,0.2946
female.dom.data - male.sub.data,-0.048866999105821915,0.06667511338040946,NA,0.8838894287164487,-0.7329121261034114,Nr3c2,NA,0.8839
female.sub.data - male.dom.data,-0.5141725310039611,0.0903864459085636,NA,7.673433088939419e-8,-5.688602155284504,Nr3c2,NA,0
female.sub.data - male.sub.data,-0.45195417021977013,0.09281759207313493,NA,6.672244731165122e-6,-4.8692727329497645,Nr3c2,NA,0
male.dom.data - male.sub.data,0.062218360784190976,0.0663887964185267,NA,0.784824082748921,0.9371816351655999,Nr3c2,NA,0.7848
(Intercept),-2.313754367819172,0.06309899303678969,-36.66864170827804,0,NA,Esr1,NA,0
Sexmale,-0.30071748632347167,0.09668254813252619,-3.1103595440127165,0.0060453900492584145,NA,Esr1,0.019500479584230512,0.0195
Statussub,-0.18453040791500427,0.12211903109246203,-1.5110700294967758,0.3327682784185596,NA,Esr1,0.41666437884982477,0.4167
Sexmale:Statussub,0.7254444214426434,0.15602283394711916,4.649604183503796,8.975079133000108e-6,NA,Esr1,1.6976587352890427e-4,2e-4
female.dom.data - female.sub.data,0.18453040791500377,0.1221190310924621,NA,0.43076796336973455,1.511070029496771,Esr1,NA,0.4308
female.dom.data - male.dom.data,0.30071748632347106,0.09668254813252622,NA,0.010094494883055138,3.1103595440127094,Esr1,NA,0.0101
female.dom.data - male.sub.data,-0.2401965272041681,0.08969680980416216,NA,0.037203845303051875,-2.677871461968343,Esr1,NA,0.0372
female.sub.data - male.dom.data,0.11618707840846729,0.12766208138615906,NA,0.7994631917731714,0.9101142418085636,Esr1,NA,0.7995
female.sub.data - male.sub.data,-0.42472693511917187,0.12245656209240928,NA,0.0029427860362410962,-3.468388527832919,Esr1,NA,0.0029
male.dom.data - male.sub.data,-0.5409140135276391,0.09710853184931081,NA,1.5237550199387329e-7,-5.570200714876507,Esr1,NA,0
(Intercept),-1.9620304606492773,0.05493075736579451,-35.71824884160504,0,NA,Ar,NA,0
Sexmale,0.03316177744881534,0.07807807084732,0.4247258812741735,0.9661701743163541,NA,Ar,0.9661907535244809,0.9662
Statussub,-0.16311323451141474,0.10521758046209173,-1.5502469624853417,0.30671541153726734,NA,Ar,0.41666437884982477,0.4167
