Gene,logFC_DvsS,AveExpr_DvsS,t_DvsS,P.Value_DvsS,adj.P.Val_DvsS,B_DvsS,logFC_DvsS_M,AveExpr_DvsS_M,t_DvsS_M,P.Value_DvsS_M,adj.P.Val_DvsS_M,B_DvsS_M,logFC_DvsS_F,AveExpr_DvsS_F,t_DvsS_F,P.Value_DvsS_F,adj.P.Val_DvsS_F,B_DvsS_F,logFC_MvsF,AveExpr_MvsF,t_MvsF,P.Value_MvsF,adj.P.Val_MvsF,B_MvsF,logFC_MvsFD,AveExpr_MvsFD,t_MvsFD,P.Value_MvsFD,adj.P.Val_MvsFD,B_MvsFD,logFC_MvsFS,AveExpr_MvsFS,t_MvsFS,P.Value_MvsFS,adj.P.Val_MvsFS,B_MvsFS,Sig_DvsS,Direction.type_DvsS,Sig.direction_DvsS,Sig_DvsS_M,Direction.type_DvsS_M,Sig.direction_DvsS_M,Sig_DvsS_F,Direction.type_DvsS_F,Sig.direction_DvsS_F,Sig_MvsF,Direction.type_MvsF,Sig.direction_MvsF,Sig_MvsFD,Direction.type_MvsFD,Sig.direction_MvsFD,Sig_MvsFS,Direction.type_MvsFS,Sig.direction_MvsFS
Oxt,-0.20648548170875802,14.194019837888053,-9.597889556090822,4.991559187505457e-20,8.126258357258883e-17,28.574943700944452,-0.2421863743080337,14.194019837888053,-8.673712848033645,6.9839403016572e-17,1.1369854811097922e-13,21.66031701198012,-0.17078458910948235,14.194019837888053,-5.2168596847548745,2.7419091380224886e-7,2.2319140383503057e-4,0.12323458575777302,-0.13814358995581166,14.194019837888053,-6.421211352514867,3.33274843323072e-10,1.356428612324903e-7,6.247188122257967,-0.17384448255508822,14.194019837888053,-7.526058356153789,2.7172458684605567e-13,2.2118381369268932e-10,13.307323012534031,-0.10244269735653688,14.194019837888053,-2.822014795937264,0.004976000981169015,0.14212157188321328,-9.070829045805898,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig
Apoe,-0.0974802053345254,14.209386011547618,-4.716930396377022,3.167762860014527e-6,0.0021118861550906164,-2.659786625092055,-0.09658391678375722,14.209386011547618,-3.6009488602062385,3.510383918088941e-4,0.06349894465165329,-6.881337698627862,-0.09837649388529357,14.209386011547618,-3.1283016413737306,0.0018682015125607717,0.13824691192949712,-8.278010606427568,-0.11179512260281399,14.209386011547618,-5.409609162827033,1.0110110724824528e-7,2.351322894287762e-5,0.6711745504914912,-0.11089883405204581,14.209386011547618,-4.997933294452508,8.210426478102485e-7,2.879348473012949e-4,-1.2866829013834717,-0.11269141115358217,14.209386011547618,-3.2316617960598357,0.0013177745185632334,0.06501020958245285,-7.852265384196883,Sig,down,down,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig
Trf,-0.03686748331986944,13.886129687070678,-4.6728641839662926,3.891682103975338e-6,0.0021118861550906164,-2.8577655681499277,-0.03503493216285847,13.886129687070678,-3.4214488736373627,6.776560668880696e-4,0.08486339053029056,-7.496682806487922,-0.03870003447688042,13.886129687070678,-3.223482135710107,0.0013551395804636838,0.10505558271404176,-7.981489760937197,-0.006116551961348193,13.886129687070678,-0.77525814120729,0.4385797708512119,0.848893486378535,-13.24978359441808,-0.004284000804338106,13.886129687070678,-0.5057194449490068,0.6132923838982458,1,-13.351528558156357,-0.007949103118360057,13.886129687070678,-0.5971038223331284,0.5507276305178654,1,-12.84900048059645,Sig,down,down,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Avp,-0.07481996444123595,13.992560353277387,-4.335961775252604,1.779261638153362e-5,0.007241594867284184,-4.315122455700006,-0.08274722784862831,13.992560353277387,-3.694796371270886,2.4614567778836327e-4,0.056593912434835025,-6.547772849085419,-0.0668927010338436,13.992560353277387,-2.547539518537793,0.011168213878573544,0.266377093634281,-9.901397465270412,-0.06916719745195543,13.992560353277387,-4.008372985643106,7.115802492436708e-5,0.0082746617554906865,-5.635486872195499,-0.07709446085934779,13.992560353277387,-4.1611327011684205,3.770801576231277e-5,0.00613886496610452,-4.960652932539572,-0.06123993404456307,13.992560353277387,-2.103268493022951,0.03597702679079757,0.35093627675244415,-10.821411729751404,Sig,down,down,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig
Nrxn1,0.08442400192379473,14.541876904601086,4.270626970575167,2.362954896064856e-5,0.007693781141587171,-4.586125923965431,0.020765375207716374,14.541876904601086,0.8093466881922191,0.4187281867677226,0.958775651276867,-12.96202990441916,0.1480826286398731,14.541876904601086,4.922707917194019,1.1860702347218518e-6,6.436407807090582e-4,-1.2931787335086344,0.07644780917187788,14.541876904601086,3.8671475913390396,1.2574572209578832e-4,0.011904200630568261,-6.174863996301439,0.01278918245579952,14.541876904601086,0.6025442265620743,0.5471045845115683,1,-13.29779552385955,0.14010643588795624,14.541876904601086,4.200256796207397,3.194575046383456e-5,0.0048592707910971875,-4.350591311971382,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
Car10,0.10731405971515251,14.24574516360837,4.220863327647087,2.925858703199438e-5,0.007938829948014474,-4.789987906625983,0.10453606808191118,14.24574516360837,3.1679617838271024,0.001635827602757922,0.13215969784278497,-8.314586397304295,0.11009205134839384,14.24574516360837,2.8456067276943164,0.004627767362845173,0.25113350889039804,-9.10830911927237,0.043782906869688,14.24574516360837,1.7220638793703205,0.08572051146540198,0.4430253735418236,-12.069518310190023,0.04100491523644756,14.24574516360837,1.5021075413825618,0.13374562768115,0.6964873594542677,-12.351786903861525,0.046560898502930215,14.24574516360837,1.0853206645409048,0.278339952614225,0.832973240544041,-12.438101905535966,Sig,up,up,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
mt-Co3,-0.06079683607521247,14.584165096239794,-4.006075845907633,7.182988588002908e-5,0.016705579173241048,-5.644404904787378,0.01903159699186041,14.584165096239794,0.9662344751939005,0.3344272880899224,0.8274280015355527,-12.82268512646427,-0.14062526914228535,14.584165096239794,-6.089418257700958,2.3692584926997283e-9,3.857152826115157e-6,4.748079341592312,0.12155129152619981,14.584165096239794,8.009359112365363,9.277022046123464e-15,7.5514959455445e-12,16.567380250173702,0.20137972459327358,14.584165096239794,12.358745073802908,1.4983647014065596e-30,2.439337733889879e-27,52.729553497323195,0.04172285845912782,14.584165096239794,1.629312155580119,0.10392170228875232,0.5799945406638622,-11.701176496130067,Sig,down,down,Not Sig,up,Not Sig,Sig,down,down,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig
Lingo2,0.09248563010772237,14.47005815203937,3.935101897505802,9.581608422548427e-5,0.01949857313988605,-5.91758798143417,0.03837375543388788,14.47005815203937,1.2580130144945474,0.2090160923718549,0.7888367573381743,-12.498370217376449,0.14659750478155686,14.47005815203937,4.099043724240378,4.892932222672637e-5,0.010004993279372177,-4.859855890881828,0.07324745377601438,14.47005815203937,3.1165511226526807,0.0019426779878763507,0.06729105881409997,-8.733847387549233,0.01913557910217989,14.47005815203937,0.7583047486004805,0.44865132122747364,0.933202481052386,-13.191691795872929,0.12735932844984887,14.47005815203937,3.211474942076937,0.0014117677610071106,0.06679495928940037,-7.9160202562217314,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Dab1,0.09244686375056954,14.19873872215583,3.6958410655616887,2.451644749676314e-4,0.04434752947192266,-6.804737759663886,0.05126058361875785,14.19873872215583,1.5789695636879473,0.11502054778439141,0.6709963567657256,-12.044104080808374,0.13363314388238123,14.19873872215583,3.5108278916508717,4.901015079601726e-4,0.061375788843012376,-7.034915082213615,0.052791753086375515,14.19873872215583,2.1105089027794914,0.03534598060019242,0.3365102714451068,-11.32943388707197,0.011605472954563822,14.19873872215583,0.4321200234983003,0.6658537616322966,1,-13.386098340496712,0.0939780332181872,14.19873872215583,2.2265861873745054,0.02645146586986386,0.3011397652876809,-10.55652812095511,Sig,up,up,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Schip1,0.11144352871033991,14.268041944131902,3.538881461377007,4.4207665468506377e-4,0.07197007938272838,-7.358208662546415,0.1325083859713967,14.268041944131902,3.242079294302345,0.0012715676537231855,0.12177130236831447,-8.08165677159868,0.09037867144928313,14.268041944131902,1.8860420160713431,0.05990998835257156,0.7619801643592695,-11.355295967761396,0.0871586468404777,14.268041944131902,2.7677167357484636,0.0058694771314123755,0.13089738041012802,-9.74357174198496,0.10822350410153447,14.268041944131902,3.200760620010867,0.001464138430245803,0.1135055887828651,-8.40176601624507,0.06609378957942091,14.268041944131902,1.2438381373547585,0.2141835282739203,0.7303342687247449,-12.25363870415972,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
