Gene,RRquadrant,Sample
Kcnip3,upup,neuron_cluster_10
Cntnap5b,upup,neuron_cluster_10
E130114P18Rik,upup,neuron_cluster_10
Meis2,upup,neuron_cluster_10
Slc38a11,upup,neuron_cluster_10
Ptprb,upup,neuron_cluster_10
Pde7b,upup,neuron_cluster_10
Armc3,upup,neuron_cluster_10
9130019P16Rik,upup,neuron_cluster_10
Myl9,upup,neuron_cluster_10
Stxbp6,upup,neuron_cluster_10
Slco1c1,upup,neuron_cluster_10
Mitf,upup,neuron_cluster_10
Clec2d,upup,neuron_cluster_10
Gm38505,upup,neuron_cluster_10
Reln,upup,neuron_cluster_10
Gulp1,upup,neuron_cluster_10
Opcml,upup,neuron_cluster_10
Adamts20,upup,neuron_cluster_10
Nlgn1,upup,neuron_cluster_10
Edaradd,upup,neuron_cluster_10
Kcnh8,upup,neuron_cluster_10
Lrtm1,upup,neuron_cluster_10
Nfia,upup,neuron_cluster_10
Adamts2,upup,neuron_cluster_10
Nostrin,upup,neuron_cluster_10
Gm16268,upup,neuron_cluster_10
Art3,upup,neuron_cluster_10
Stpg2,upup,neuron_cluster_10
Myof,upup,neuron_cluster_10
Folh1,upup,neuron_cluster_10
Pde3a,upup,neuron_cluster_10
Dab2,upup,neuron_cluster_10
Kcnip4,upup,neuron_cluster_10
Neat1,upup,neuron_cluster_10
Spata17,upup,neuron_cluster_10
Tmem51os1,upup,neuron_cluster_10
Cnksr3,upup,neuron_cluster_10
Tenm3,upup,neuron_cluster_10
Gm32509,upup,neuron_cluster_10
Dtna,upup,neuron_cluster_10
Golim4,upup,neuron_cluster_10
Fam20a,upup,neuron_cluster_10
Lrrc4c,upup,neuron_cluster_10
Gm20757,upup,neuron_cluster_10
Col25a1,upup,neuron_cluster_10
Gm12296,upup,neuron_cluster_10
Grip1,upup,neuron_cluster_10
Creb5,upup,neuron_cluster_10
Slc13a1,upup,neuron_cluster_10
P2rx3,upup,neuron_cluster_10
Irgm1,upup,neuron_cluster_10
Gngt2,upup,neuron_cluster_10
Gm32828,upup,neuron_cluster_10
Gm50323,upup,neuron_cluster_10
Car4,upup,neuron_cluster_10
Gcnt1,upup,neuron_cluster_10
Fancd2,upup,neuron_cluster_10
Rtkn2,upup,neuron_cluster_10
Cfh,upup,neuron_cluster_10
Bcl2a1b,upup,neuron_cluster_10
Ttll6,upup,neuron_cluster_10
Gm30524,upup,neuron_cluster_10
