Gene,RRquadrant,Sample
Kcnq5,upup,neuron_cluster_8
Mgat4c,upup,neuron_cluster_8
Nrg1,upup,neuron_cluster_8
Arpp21,upup,neuron_cluster_8
Nkain2,upup,neuron_cluster_8
Rarb,upup,neuron_cluster_8
Gm10754,upup,neuron_cluster_8
Malat1,upup,neuron_cluster_8
Mctp1,upup,neuron_cluster_8
Hs3st4,upup,neuron_cluster_8
Lrrc7,upup,neuron_cluster_8
Unc13c,upup,neuron_cluster_8
Cacna2d3,upup,neuron_cluster_8
Dlc1,upup,neuron_cluster_8
Gulp1,upup,neuron_cluster_8
A330015K06Rik,upup,neuron_cluster_8
Chn2,upup,neuron_cluster_8
mt-Nd6,upup,neuron_cluster_8
Caln1,upup,neuron_cluster_8
Grm3,upup,neuron_cluster_8
Fstl4,upup,neuron_cluster_8
Auts2,upup,neuron_cluster_8
Kcnab1,upup,neuron_cluster_8
Dcc,upup,neuron_cluster_8
Slit3,upup,neuron_cluster_8
Pde7b,upup,neuron_cluster_8
Fam135b,upup,neuron_cluster_8
Gm32647,upup,neuron_cluster_8
Mef2c,upup,neuron_cluster_8
Adgrl3,upup,neuron_cluster_8
Lrrtm3,upup,neuron_cluster_8
Pmch,upup,neuron_cluster_8
Pdzd2,upup,neuron_cluster_8
Pomc,upup,neuron_cluster_8
A330008L17Rik,upup,neuron_cluster_8
Csmd1,upup,neuron_cluster_8
Celf2,upup,neuron_cluster_8
Grm7,upup,neuron_cluster_8
Epyc,upup,neuron_cluster_8
A830018L16Rik,upup,neuron_cluster_8
Ephb1,upup,neuron_cluster_8
Fgf14,upup,neuron_cluster_8
Lrtm1,upup,neuron_cluster_8
Enox1,upup,neuron_cluster_8
Gm26871,upup,neuron_cluster_8
Lrrc4c,upup,neuron_cluster_8
Foxp1,upup,neuron_cluster_8
Robo1,upup,neuron_cluster_8
Eya2,upup,neuron_cluster_8
Lrfn5,upup,neuron_cluster_8
Mhrt,upup,neuron_cluster_8
Ptgds,upup,neuron_cluster_8
Mbp,upup,neuron_cluster_8
Sgcz,upup,neuron_cluster_8
Gm11844,upup,neuron_cluster_8
Pdgfra,upup,neuron_cluster_8
Spock1,upup,neuron_cluster_8
A230001M10Rik,upup,neuron_cluster_8
Thsd7a,upup,neuron_cluster_8
Cacnb2,upup,neuron_cluster_8
9530059O14Rik,upup,neuron_cluster_8
F3,upup,neuron_cluster_8
Akap13,upup,neuron_cluster_8
Grik2,upup,neuron_cluster_8
Il1rapl1,upup,neuron_cluster_8
Gm9925,upup,neuron_cluster_8
Pacrg,upup,neuron_cluster_8
Stk32a,upup,neuron_cluster_8
Grm5,upup,neuron_cluster_8
Gpr158,upup,neuron_cluster_8
5730522E02Rik,upup,neuron_cluster_8
Gm44992,upup,neuron_cluster_8
Ypel2,upup,neuron_cluster_8
Ly6g6f,upup,neuron_cluster_8
Pde10a,upup,neuron_cluster_8
Sv2c,upup,neuron_cluster_8
Adam12,upup,neuron_cluster_8
BC046401,upup,neuron_cluster_8
Arap2,upup,neuron_cluster_8
Aldh1a1,upup,neuron_cluster_8
Trps1,upup,neuron_cluster_8
Gm20758,upup,neuron_cluster_8
Tm4sf1,upup,neuron_cluster_8
Abca8a,upup,neuron_cluster_8
Ulbp1,upup,neuron_cluster_8
Sox10,upup,neuron_cluster_8
Mgp,upup,neuron_cluster_8
Gm14858,upup,neuron_cluster_8
Slco1a4,upup,neuron_cluster_8
Gpc5,upup,neuron_cluster_8
Pigk,upup,neuron_cluster_8
Zfp385b,upup,neuron_cluster_8
Rbms3,upup,neuron_cluster_8
Rora,upup,neuron_cluster_8
Ptprd,upup,neuron_cluster_8
Erc2,upup,neuron_cluster_8
Plxdc2,upup,neuron_cluster_8
Vtn,upup,neuron_cluster_8
Kitl,upup,neuron_cluster_8
Gm27224,upup,neuron_cluster_8
Enpp2,upup,neuron_cluster_8
Palmd,upup,neuron_cluster_8
Npsr1,upup,neuron_cluster_8
Epn2,upup,neuron_cluster_8
Cntn4,upup,neuron_cluster_8
Mmd2,upup,neuron_cluster_8
Skap2,upup,neuron_cluster_8
Shisa6,upup,neuron_cluster_8
Dnase1l3,upup,neuron_cluster_8
Fat3,upup,neuron_cluster_8
Grid2,upup,neuron_cluster_8
Flt1,upup,neuron_cluster_8
Rnf220,upup,neuron_cluster_8
Abcc3,upup,neuron_cluster_8
Gm16499,upup,neuron_cluster_8
Clic5,upup,neuron_cluster_8
Gm44284,upup,neuron_cluster_8
C230035I16Rik,upup,neuron_cluster_8
Krt18,upup,neuron_cluster_8
Gm44866,upup,neuron_cluster_8
Adgrg6,upup,neuron_cluster_8
Adgre1,upup,neuron_cluster_8
Rfx8,upup,neuron_cluster_8
Gm45408,upup,neuron_cluster_8
Irx5,upup,neuron_cluster_8
Gm42658,upup,neuron_cluster_8
Tecrl,upup,neuron_cluster_8
Wdr63,upup,neuron_cluster_8
Irf7,upup,neuron_cluster_8
4930428N03Rik,upup,neuron_cluster_8
1700012P22Rik,upup,neuron_cluster_8
Dnali1,upup,neuron_cluster_8
Gmfg,upup,neuron_cluster_8
B9d1os,upup,neuron_cluster_8
Ccdc180,upup,neuron_cluster_8
Gli3,upup,neuron_cluster_8
Aspa,upup,neuron_cluster_8
Rgs5,upup,neuron_cluster_8
Rapgef5,upup,neuron_cluster_8
Csmd3,upup,neuron_cluster_8
Heg1,upup,neuron_cluster_8
Gm31356,upup,neuron_cluster_8
Atp1a2,upup,neuron_cluster_8
Ust,upup,neuron_cluster_8
Tnfaip8,upup,neuron_cluster_8
Gcnt2,upup,neuron_cluster_8
Kctd16,upup,neuron_cluster_8
Dock4,upup,neuron_cluster_8
Anks1b,upup,neuron_cluster_8
Adamts20,upup,neuron_cluster_8
Adamts19,upup,neuron_cluster_8
Gm13404,upup,neuron_cluster_8
Gm44097,upup,neuron_cluster_8
Gsdme,upup,neuron_cluster_8
Gm43507,upup,neuron_cluster_8
Rassf9,upup,neuron_cluster_8
Gm47113,upup,neuron_cluster_8
Thsd1,upup,neuron_cluster_8
Arhgef26,upup,neuron_cluster_8
Klhl6,upup,neuron_cluster_8
A730049H05Rik,upup,neuron_cluster_8
D7Ertd443e,upup,neuron_cluster_8
Gm49870,upup,neuron_cluster_8
Bank1,upup,neuron_cluster_8
Tmc7,upup,neuron_cluster_8
Reep4,upup,neuron_cluster_8
4930469K13Rik,upup,neuron_cluster_8
3300002A11Rik,upup,neuron_cluster_8
Gm49171,upup,neuron_cluster_8
Gm26834,upup,neuron_cluster_8
Gm11639,upup,neuron_cluster_8
Notum,upup,neuron_cluster_8
Bhlhe22,upup,neuron_cluster_8
Tg,upup,neuron_cluster_8
Pecam1,upup,neuron_cluster_8
Hmcn1,upup,neuron_cluster_8
Cmtm7,upup,neuron_cluster_8
Sorcs3,upup,neuron_cluster_8
Slc22a8,upup,neuron_cluster_8
Gm34544,upup,neuron_cluster_8
Mertk,upup,neuron_cluster_8
Ctsh,upup,neuron_cluster_8
Maml2,upup,neuron_cluster_8
Gucy2f,upup,neuron_cluster_8
Prima1,upup,neuron_cluster_8
C030029H02Rik,upup,neuron_cluster_8
Ttc30a1,upup,neuron_cluster_8
