Gene,RRquadrant,Sample
Nrxn1,upup,neuron_cluster_6
Car10,upup,neuron_cluster_6
Lingo2,upup,neuron_cluster_6
Dab1,upup,neuron_cluster_6
Schip1,upup,neuron_cluster_6
Reln,upup,neuron_cluster_6
Etl4,upup,neuron_cluster_6
Dpp6,upup,neuron_cluster_6
Robo1,upup,neuron_cluster_6
Thsd7b,upup,neuron_cluster_6
Tenm4,upup,neuron_cluster_6
Lrrc4c,upup,neuron_cluster_6
Fgf12,upup,neuron_cluster_6
Cntn5,upup,neuron_cluster_6
Csmd1,upup,neuron_cluster_6
Cep112,upup,neuron_cluster_6
Nlgn1,upup,neuron_cluster_6
Usp29,upup,neuron_cluster_6
Grm7,upup,neuron_cluster_6
Slc35f1,upup,neuron_cluster_6
Kcnq5,upup,neuron_cluster_6
Bfsp2,upup,neuron_cluster_6
Kcnb2,upup,neuron_cluster_6
Hs3st5,upup,neuron_cluster_6
Lrrc7,upup,neuron_cluster_6
A230057D06Rik,upup,neuron_cluster_6
Lhfpl3,upup,neuron_cluster_6
Ptprt,upup,neuron_cluster_6
Ctnnd2,upup,neuron_cluster_6
Inpp4b,upup,neuron_cluster_6
Astn2,upup,neuron_cluster_6
Cntnap5c,upup,neuron_cluster_6
Plxdc2,upup,neuron_cluster_6
Myo10,upup,neuron_cluster_6
Rgs7,upup,neuron_cluster_6
Gria4,upup,neuron_cluster_6
Ndst4,upup,neuron_cluster_6
Olfm3,upup,neuron_cluster_6
Fam135b,upup,neuron_cluster_6
Dscam,upup,neuron_cluster_6
Cntn3,upup,neuron_cluster_6
Sgcd,upup,neuron_cluster_6
Ube2cbp,upup,neuron_cluster_6
Tgfbr1,upup,neuron_cluster_6
Unc5d,upup,neuron_cluster_6
Pomc,upup,neuron_cluster_6
Cacna2d3,upup,neuron_cluster_6
Spock1,upup,neuron_cluster_6
Clstn2,upup,neuron_cluster_6
Eya2,upup,neuron_cluster_6
Ctss,upup,neuron_cluster_6
Tafa2,upup,neuron_cluster_6
Prr5l,upup,neuron_cluster_6
Dlgap1,upup,neuron_cluster_6
B3galt1,upup,neuron_cluster_6
Zfhx3,upup,neuron_cluster_6
Ano4,upup,neuron_cluster_6
Epha6,upup,neuron_cluster_6
Sox5os2,upup,neuron_cluster_6
Ryr3,upup,neuron_cluster_6
Ptprj,upup,neuron_cluster_6
Cntnap2,upup,neuron_cluster_6
Prickle2,upup,neuron_cluster_6
Slc14a2,upup,neuron_cluster_6
Nkain2,upup,neuron_cluster_6
Sema6d,upup,neuron_cluster_6
Slc24a2,upup,neuron_cluster_6
Grin2a,upup,neuron_cluster_6
Sorcs3,upup,neuron_cluster_6
Syt1,upup,neuron_cluster_6
Macrod2,upup,neuron_cluster_6
B230323A14Rik,upup,neuron_cluster_6
Prkch,upup,neuron_cluster_6
Tbxas1,upup,neuron_cluster_6
Lpar1,upup,neuron_cluster_6
Arpp21,upup,neuron_cluster_6
Grik2,upup,neuron_cluster_6
Epas1,upup,neuron_cluster_6
Galnt18,upup,neuron_cluster_6
Epha3,upup,neuron_cluster_6
Golim4,upup,neuron_cluster_6
Sgcz,upup,neuron_cluster_6
Plce1,upup,neuron_cluster_6
Cacnb2,upup,neuron_cluster_6
Fstl4,upup,neuron_cluster_6
Tmeff2,upup,neuron_cluster_6
Gm45904,upup,neuron_cluster_6
Atp8b5,upup,neuron_cluster_6
Gm9925,upup,neuron_cluster_6
Epyc,upup,neuron_cluster_6
Ndufa4l2,upup,neuron_cluster_6
Gm6145,upup,neuron_cluster_6
Pde1a,upup,neuron_cluster_6
Nr3c2,upup,neuron_cluster_6
Rbfox1,upup,neuron_cluster_6
Cdh10,upup,neuron_cluster_6
Gabrg3,upup,neuron_cluster_6
Agbl4,upup,neuron_cluster_6
Pou6f2,upup,neuron_cluster_6
Abtb2,upup,neuron_cluster_6
Zbtb20,upup,neuron_cluster_6
Acer2,upup,neuron_cluster_6
Acta2,upup,neuron_cluster_6
Kank1,upup,neuron_cluster_6
Mdga2,upup,neuron_cluster_6
Sntg1,upup,neuron_cluster_6
Kcnip1,upup,neuron_cluster_6
Pde3a,upup,neuron_cluster_6
Kcnq3,upup,neuron_cluster_6
5730522E02Rik,upup,neuron_cluster_6
Ush2a,upup,neuron_cluster_6
Adcy2,upup,neuron_cluster_6
Ralyl,upup,neuron_cluster_6
Ammecr1,upup,neuron_cluster_6
Ptprd,upup,neuron_cluster_6
9430041J12Rik,upup,neuron_cluster_6
Anks1b,upup,neuron_cluster_6
Zeb1,upup,neuron_cluster_6
Slc39a12,upup,neuron_cluster_6
Plcb1,upup,neuron_cluster_6
Hdac9,upup,neuron_cluster_6
Dock1,upup,neuron_cluster_6
Prrg1,upup,neuron_cluster_6
Fbln1,upup,neuron_cluster_6
Gm48606,upup,neuron_cluster_6
Spns3,upup,neuron_cluster_6
Skap2,upup,neuron_cluster_6
Bcas1os2,upup,neuron_cluster_6
Thsd1,upup,neuron_cluster_6
4931429P17Rik,upup,neuron_cluster_6
Gm44284,upup,neuron_cluster_6
Ano1,upup,neuron_cluster_6
Gpr6,upup,neuron_cluster_6
Sfxn5,upup,neuron_cluster_6
Rasgef1b,upup,neuron_cluster_6
Pip4k2a,upup,neuron_cluster_6
Nrg1,upup,neuron_cluster_6
Kcnd2,upup,neuron_cluster_6
Cyp7b1,upup,neuron_cluster_6
Grm8,upup,neuron_cluster_6
Adcy8,upup,neuron_cluster_6
Glra2,upup,neuron_cluster_6
9130019P16Rik,upup,neuron_cluster_6
0610040J01Rik,upup,neuron_cluster_6
Tmem132d,upup,neuron_cluster_6
Dlgap2,upup,neuron_cluster_6
Necab1,upup,neuron_cluster_6
Arap2,upup,neuron_cluster_6
Gm26862,upup,neuron_cluster_6
Litaf,upup,neuron_cluster_6
Col8a1,upup,neuron_cluster_6
Pappa2,upup,neuron_cluster_6
Kcnt2,upup,neuron_cluster_6
Rbpms,upup,neuron_cluster_6
Gm33255,upup,neuron_cluster_6
Pdgfra,upup,neuron_cluster_6
Cped1,upup,neuron_cluster_6
Nostrin,upup,neuron_cluster_6
Gm19500,upup,neuron_cluster_6
Kdr,upup,neuron_cluster_6
1700028P14Rik,upup,neuron_cluster_6
Gm26512,upup,neuron_cluster_6
