Gene,RRquadrant,Sample
Ano1,upup,neuron_cluster_1
Malat1,upup,neuron_cluster_1
Enox1,upup,neuron_cluster_1
Frmpd4,upup,neuron_cluster_1
Pcdh11x,upup,neuron_cluster_1
Phactr1,upup,neuron_cluster_1
Nrg1,upup,neuron_cluster_1
Tafa2,upup,neuron_cluster_1
Unc5d,upup,neuron_cluster_1
Dcc,upup,neuron_cluster_1
Grid1,upup,neuron_cluster_1
A230057D06Rik,upup,neuron_cluster_1
Megf11,upup,neuron_cluster_1
Gm45025,upup,neuron_cluster_1
Dscam,upup,neuron_cluster_1
Prkca,upup,neuron_cluster_1
Agbl4,upup,neuron_cluster_1
Magi2,upup,neuron_cluster_1
Il1rapl2,upup,neuron_cluster_1
Oxt,downdown,neuron_cluster_1
Avp,downdown,neuron_cluster_1
Apoe,downdown,neuron_cluster_1
Cacna2d3,downdown,neuron_cluster_1
Gm29683,downdown,neuron_cluster_1
Slc6a11,downdown,neuron_cluster_1
Eps8,downdown,neuron_cluster_1
Grik1,downdown,neuron_cluster_1
Cadps2,downdown,neuron_cluster_1
Ppfibp1,downdown,neuron_cluster_1
Cep112,downdown,neuron_cluster_1
Gm30382,downdown,neuron_cluster_1
Epn2,downdown,neuron_cluster_1
Negr1,downdown,neuron_cluster_1
Akap13,downdown,neuron_cluster_1
4930567K20Rik,downdown,neuron_cluster_1
Ubash3b,downdown,neuron_cluster_1
Col25a1,downdown,neuron_cluster_1
Chsy3,downdown,neuron_cluster_1
D030068K23Rik,downdown,neuron_cluster_1
Trhde,downdown,neuron_cluster_1
Kcnt2,downdown,neuron_cluster_1
Grm8,downdown,neuron_cluster_1
Map7,downdown,neuron_cluster_1
Gm47865,downdown,neuron_cluster_1
Lrp1b,downdown,neuron_cluster_1
Enpp1,downdown,neuron_cluster_1
Cacna2d1,downdown,neuron_cluster_1
Epas1,downdown,neuron_cluster_1
Airn,downdown,neuron_cluster_1
Sox5os2,downdown,neuron_cluster_1
Gm30624,downdown,neuron_cluster_1
