Gene,RRquadrant,Sample
Nrxn3,upup,neuron_cluster_5
Lingo2,upup,neuron_cluster_5
Dcc,upup,neuron_cluster_5
Dab1,upup,neuron_cluster_5
Malat1,upup,neuron_cluster_5
Grik1,upup,neuron_cluster_5
Sntg1,upup,neuron_cluster_5
Frmd5,upup,neuron_cluster_5
Frmpd4,upup,neuron_cluster_5
Pbx3,upup,neuron_cluster_5
Lrfn5,upup,neuron_cluster_5
Cadps2,upup,neuron_cluster_5
Gria4,upup,neuron_cluster_5
Oxt,downdown,neuron_cluster_5
Avp,downdown,neuron_cluster_5
Apoe,downdown,neuron_cluster_5
Gm29683,downdown,neuron_cluster_5
Mog,downdown,neuron_cluster_5
Pcdh11x,downdown,neuron_cluster_5
Cacna2d1,downdown,neuron_cluster_5
Grb14,downdown,neuron_cluster_5
Slc2a1,downdown,neuron_cluster_5
Ctnna2,downdown,neuron_cluster_5
Gm12239,downdown,neuron_cluster_5
Igsf11,downdown,neuron_cluster_5
Agmo,downdown,neuron_cluster_5
Rreb1,downdown,neuron_cluster_5
Ccdc153,downdown,neuron_cluster_5
Slc4a4,downdown,neuron_cluster_5
Gab1,downdown,neuron_cluster_5
Olfm3,downdown,neuron_cluster_5
Ptgds,downdown,neuron_cluster_5
Enpp2,downdown,neuron_cluster_5
Celf2,downdown,neuron_cluster_5
Gm30624,downdown,neuron_cluster_5
Itgad,downdown,neuron_cluster_5
Enpp6,downdown,neuron_cluster_5
Acy3,downdown,neuron_cluster_5
Cfap299,downdown,neuron_cluster_5
Hk2,downdown,neuron_cluster_5
Arhgap6,downdown,neuron_cluster_5
Chrm2,downdown,neuron_cluster_5
Nckap5,downdown,neuron_cluster_5
mt-Nd6,downdown,neuron_cluster_5
Bcas1,downdown,neuron_cluster_5
Gm2164,downdown,neuron_cluster_5
Gm3764,downdown,neuron_cluster_5
Myo10,downdown,neuron_cluster_5
Sst,downdown,neuron_cluster_5
Heg1,downdown,neuron_cluster_5
Kcnab1,downdown,neuron_cluster_5
Arap2,downdown,neuron_cluster_5
Tcf7l2,downdown,neuron_cluster_5
Omd,downdown,neuron_cluster_5
Sh3d19,downdown,neuron_cluster_5
Bace2,downdown,neuron_cluster_5
Nnat,downdown,neuron_cluster_5
Gatm,downdown,neuron_cluster_5
Pecam1,downdown,neuron_cluster_5
Ptch1,downdown,neuron_cluster_5
Zeb1,downdown,neuron_cluster_5
Pde3a,downdown,neuron_cluster_5
Mag,downdown,neuron_cluster_5
Pcsk2,downdown,neuron_cluster_5
Reln,downdown,neuron_cluster_5
4930419G24Rik,downdown,neuron_cluster_5
Hdac8,downdown,neuron_cluster_5
Mmd2,downdown,neuron_cluster_5
1810059C17Rik,downdown,neuron_cluster_5
Sorcs2,downdown,neuron_cluster_5
Mir670hg,downdown,neuron_cluster_5
I830077J02Rik,downdown,neuron_cluster_5
A830008E24Rik,downdown,neuron_cluster_5
Col25a1,downdown,neuron_cluster_5
Sox5,downdown,neuron_cluster_5
Gm39383,downdown,neuron_cluster_5
F13a1,downdown,neuron_cluster_5
Slc7a10,downdown,neuron_cluster_5
Unc13c,downdown,neuron_cluster_5
2610035D17Rik,downdown,neuron_cluster_5
Dscaml1,downdown,neuron_cluster_5
Epn2,downdown,neuron_cluster_5
Folh1,downdown,neuron_cluster_5
Cnksr2,downdown,neuron_cluster_5
Nkain2,downdown,neuron_cluster_5
Utrn,downdown,neuron_cluster_5
Nfia,downdown,neuron_cluster_5
Cxcl12,downdown,neuron_cluster_5
Ccnd3,downdown,neuron_cluster_5
Gm10754,downdown,neuron_cluster_5
6330576A10Rik,downdown,neuron_cluster_5
Syt1,downdown,neuron_cluster_5
Glis3,downdown,neuron_cluster_5
Thsd7a,downdown,neuron_cluster_5
Gm26936,downdown,neuron_cluster_5
Cacng4,downdown,neuron_cluster_5
Uaca,downdown,neuron_cluster_5
Sulf1,downdown,neuron_cluster_5
Ptprk,downdown,neuron_cluster_5
Adap2,downdown,neuron_cluster_5
Plcl1,downdown,neuron_cluster_5
Hepacam,downdown,neuron_cluster_5
5830408C22Rik,downdown,neuron_cluster_5
Galnt18,downdown,neuron_cluster_5
Atp13a4,downdown,neuron_cluster_5
Prox1,downdown,neuron_cluster_5
Glra2,downdown,neuron_cluster_5
Arsb,downdown,neuron_cluster_5
Aqp4,downdown,neuron_cluster_5
Slc2a13,downdown,neuron_cluster_5
Prex2,downdown,neuron_cluster_5
Tmprss4,downdown,neuron_cluster_5
Arhgap31,downdown,neuron_cluster_5
Moxd1,downdown,neuron_cluster_5
Crip1,downdown,neuron_cluster_5
Col23a1,downdown,neuron_cluster_5
Adgrl3,downdown,neuron_cluster_5
Cdh4,downdown,neuron_cluster_5
Pdgfrb,downdown,neuron_cluster_5
Pde8a,downdown,neuron_cluster_5
Sorbs2os,downdown,neuron_cluster_5
Ano4,downdown,neuron_cluster_5
Msi2,downdown,neuron_cluster_5
Pltp,downdown,neuron_cluster_5
Kcnd2,downdown,neuron_cluster_5
Sgms1,downdown,neuron_cluster_5
Sat1,downdown,neuron_cluster_5
Slc14a2,downdown,neuron_cluster_5
Kcnmb2,downdown,neuron_cluster_5
Rfx4,downdown,neuron_cluster_5
Pde7b,downdown,neuron_cluster_5
Nlgn1,downdown,neuron_cluster_5
Paqr8,downdown,neuron_cluster_5
Eda,downdown,neuron_cluster_5
Gm48091,downdown,neuron_cluster_5
Lypd6,downdown,neuron_cluster_5
Rundc3b,downdown,neuron_cluster_5
Gm20757,downdown,neuron_cluster_5
Lpar1,downdown,neuron_cluster_5
Elavl2,downdown,neuron_cluster_5
Ppp1r16b,downdown,neuron_cluster_5
Itih3,downdown,neuron_cluster_5
Sfxn5,downdown,neuron_cluster_5
4930557J02Rik,downdown,neuron_cluster_5
Ppfibp1,downdown,neuron_cluster_5
Mapk4,downdown,neuron_cluster_5
Slc6a20a,downdown,neuron_cluster_5
Hmcn1,downdown,neuron_cluster_5
Cfh,downdown,neuron_cluster_5
Acss1,downdown,neuron_cluster_5
Kcnq3,downdown,neuron_cluster_5
5730522E02Rik,downdown,neuron_cluster_5
Ubash3b,downdown,neuron_cluster_5
Csf1r,downdown,neuron_cluster_5
Lrig1,downdown,neuron_cluster_5
Mir9-3hg,downdown,neuron_cluster_5
Gm15261,downdown,neuron_cluster_5
