Gene,RRquadrant,Sample
Astn2,upup,neuron_cluster_2
Robo1,upup,neuron_cluster_2
Lrfn5,upup,neuron_cluster_2
Dlg2,upup,neuron_cluster_2
Ccser1,upup,neuron_cluster_2
Fat3,upup,neuron_cluster_2
Dab1,upup,neuron_cluster_2
Sntg1,upup,neuron_cluster_2
Tafa1,upup,neuron_cluster_2
Schip1,upup,neuron_cluster_2
Adarb2,upup,neuron_cluster_2
Cacna2d1,upup,neuron_cluster_2
Galnt13,upup,neuron_cluster_2
Kcnb2,upup,neuron_cluster_2
Rtl4,upup,neuron_cluster_2
A230057D06Rik,upup,neuron_cluster_2
Kcnip4,upup,neuron_cluster_2
Grm7,upup,neuron_cluster_2
Lrrtm4,upup,neuron_cluster_2
Agbl4,upup,neuron_cluster_2
Ptprt,upup,neuron_cluster_2
Galntl6,upup,neuron_cluster_2
Kcnh7,upup,neuron_cluster_2
Cdh20,upup,neuron_cluster_2
Gria4,upup,neuron_cluster_2
Sema6d,upup,neuron_cluster_2
Nell1,upup,neuron_cluster_2
A330015K06Rik,upup,neuron_cluster_2
Oxt,downdown,neuron_cluster_2
Avp,downdown,neuron_cluster_2
Meis2,updown,neuron_cluster_2
Mbp,updown,neuron_cluster_2
Meg3,downup,neuron_cluster_2
Snhg11,downup,neuron_cluster_2
Grid1,downup,neuron_cluster_2
Nlgn1,downup,neuron_cluster_2
Ctnna3,downup,neuron_cluster_2
Adamtsl1,downup,neuron_cluster_2
Lrrc4c,downup,neuron_cluster_2
Npas3,downup,neuron_cluster_2
Fstl4,downup,neuron_cluster_2
Epha5,downup,neuron_cluster_2
Zmat4,downup,neuron_cluster_2
1700111E14Rik,downup,neuron_cluster_2
Gm30382,downup,neuron_cluster_2
Gm12239,downup,neuron_cluster_2
Nr3c2,downup,neuron_cluster_2
Gm1992,downup,neuron_cluster_2
Ptprk,downup,neuron_cluster_2
Ntm,downup,neuron_cluster_2
Tox,downup,neuron_cluster_2
Ebf1,downup,neuron_cluster_2
Syt1,downup,neuron_cluster_2
6330411D24Rik,downup,neuron_cluster_2
Cntnap5a,downup,neuron_cluster_2
0610040J01Rik,downup,neuron_cluster_2
Prr16,downup,neuron_cluster_2
Csgalnact1,downup,neuron_cluster_2
Gm42439,downup,neuron_cluster_2
Xylt1,downup,neuron_cluster_2
Srgap2,downup,neuron_cluster_2
Pde7b,downup,neuron_cluster_2
Unc13c,downup,neuron_cluster_2
5530401A14Rik,downup,neuron_cluster_2
Dock2,downup,neuron_cluster_2
Gpc6,downup,neuron_cluster_2
Zfp385b,downup,neuron_cluster_2
Sgms1,downup,neuron_cluster_2
Mctp1,downup,neuron_cluster_2
Greb1l,downup,neuron_cluster_2
Tenm2,downup,neuron_cluster_2
Fhit,downup,neuron_cluster_2
Gm4876,downup,neuron_cluster_2
