Gene,RRquadrant,Sample
B3galt1,upup,neuron_cluster_9
Gabrg3,upup,neuron_cluster_9
Ptprn2,upup,neuron_cluster_9
Nrxn1,upup,neuron_cluster_9
Fgf12,upup,neuron_cluster_9
Usp29,upup,neuron_cluster_9
Plcl1,upup,neuron_cluster_9
Mog,upup,neuron_cluster_9
5730522E02Rik,upup,neuron_cluster_9
Kcnc2,upup,neuron_cluster_9
Opcml,upup,neuron_cluster_9
Kcnh7,upup,neuron_cluster_9
Man1a,upup,neuron_cluster_9
Dtna,upup,neuron_cluster_9
Erc2,upup,neuron_cluster_9
Slc6a20a,upup,neuron_cluster_9
Abcc4,upup,neuron_cluster_9
Spag17,upup,neuron_cluster_9
Slc4a4,upup,neuron_cluster_9
Col8a1,upup,neuron_cluster_9
Itm2a,upup,neuron_cluster_9
Atp10a,upup,neuron_cluster_9
Dmd,upup,neuron_cluster_9
Pde10a,upup,neuron_cluster_9
Gm40663,upup,neuron_cluster_9
Syne3,upup,neuron_cluster_9
Acss1,upup,neuron_cluster_9
Ptprk,upup,neuron_cluster_9
Maml3,upup,neuron_cluster_9
Dscaml1,upup,neuron_cluster_9
Bmpr1b,upup,neuron_cluster_9
Fam155a,upup,neuron_cluster_9
Csgalnact1,upup,neuron_cluster_9
4930473D10Rik,upup,neuron_cluster_9
Tnfaip8,upup,neuron_cluster_9
Nxph1,upup,neuron_cluster_9
Klhl29,upup,neuron_cluster_9
Kcnq5,upup,neuron_cluster_9
Lrrc4c,upup,neuron_cluster_9
Grm8,upup,neuron_cluster_9
Dgkb,upup,neuron_cluster_9
Hs6st3,upup,neuron_cluster_9
Arhgap29,upup,neuron_cluster_9
Pomc,upup,neuron_cluster_9
Ptprz1,upup,neuron_cluster_9
Bcas1,upup,neuron_cluster_9
Kitl,upup,neuron_cluster_9
Tcf7l2,upup,neuron_cluster_9
Slc35f4,upup,neuron_cluster_9
Schip1,upup,neuron_cluster_9
Rspo3,upup,neuron_cluster_9
Arap2,upup,neuron_cluster_9
Calcr,upup,neuron_cluster_9
Lrrtm4,upup,neuron_cluster_9
Thsd7a,upup,neuron_cluster_9
Heg1,upup,neuron_cluster_9
Gm31458,upup,neuron_cluster_9
Ntm,upup,neuron_cluster_9
Nostrin,upup,neuron_cluster_9
