Gene,RRquadrant,Sample
Csmd1,upup,neuron_cluster_11
Ralyl,upup,neuron_cluster_11
Glra3,upup,neuron_cluster_11
Kcnab1,upup,neuron_cluster_11
Pex5l,upup,neuron_cluster_11
Pcdh7,upup,neuron_cluster_11
Cdh4,upup,neuron_cluster_11
Nwd2,upup,neuron_cluster_11
Spag16,upup,neuron_cluster_11
Nr3c2,upup,neuron_cluster_11
Tnr,upup,neuron_cluster_11
Kirrel3,upup,neuron_cluster_11
Pou6f2,upup,neuron_cluster_11
Ncam2,upup,neuron_cluster_11
Greb1l,upup,neuron_cluster_11
Gm42303,upup,neuron_cluster_11
Oxt,downdown,neuron_cluster_11
Slc4a4,downdown,neuron_cluster_11
Apoe,downdown,neuron_cluster_11
Vcan,downdown,neuron_cluster_11
Gm45321,downdown,neuron_cluster_11
Gsdme,downdown,neuron_cluster_11
Runx1t1,downdown,neuron_cluster_11
Trhde,downdown,neuron_cluster_11
Ugt8a,downdown,neuron_cluster_11
Fa2h,downdown,neuron_cluster_11
Lcp2,downdown,neuron_cluster_11
Ccdc153,downdown,neuron_cluster_11
Fn1,downdown,neuron_cluster_11
Gm29374,downdown,neuron_cluster_11
Tmeff2,downdown,neuron_cluster_11
Dock5,downdown,neuron_cluster_11
Tmem212,downdown,neuron_cluster_11
Megf11,downdown,neuron_cluster_11
8030451O07Rik,downdown,neuron_cluster_11
Pcdh11x,downdown,neuron_cluster_11
B230112J18Rik,downdown,neuron_cluster_11
6330411D24Rik,downdown,neuron_cluster_11
Ak7,downdown,neuron_cluster_11
Uaca,downdown,neuron_cluster_11
Art3,downdown,neuron_cluster_11
Klf2,downdown,neuron_cluster_11
Zfp536,downdown,neuron_cluster_11
Itgam,downdown,neuron_cluster_11
Pdgfd,downdown,neuron_cluster_11
Ttll6,downdown,neuron_cluster_11
Gm34623,downdown,neuron_cluster_11
Gm9925,downdown,neuron_cluster_11
Fam216b,downdown,neuron_cluster_11
Cfh,downdown,neuron_cluster_11
Chtf8,downdown,neuron_cluster_11
Apbb1ip,downdown,neuron_cluster_11
Bcl11a,downdown,neuron_cluster_11
Spag17,downdown,neuron_cluster_11
Wdfy4,downdown,neuron_cluster_11
Hydin,downdown,neuron_cluster_11
Dpp6,downdown,neuron_cluster_11
Rassf9,downdown,neuron_cluster_11
Sardhos,downdown,neuron_cluster_11
Gm21798,downdown,neuron_cluster_11
Slc14a2,downdown,neuron_cluster_11
Slc8a1,downdown,neuron_cluster_11
Ccnd3,downdown,neuron_cluster_11
Tenm4,downdown,neuron_cluster_11
Zfp804b,downdown,neuron_cluster_11
Shisa6,downdown,neuron_cluster_11
Gm28905,downdown,neuron_cluster_11
Egfl7,downdown,neuron_cluster_11
Mef2c,downdown,neuron_cluster_11
Gm32509,downdown,neuron_cluster_11
Utrn,downdown,neuron_cluster_11
Cables1,downdown,neuron_cluster_11
Aspa,downdown,neuron_cluster_11
Cdh12,downdown,neuron_cluster_11
Rtl4,downdown,neuron_cluster_11
Snhg11,downdown,neuron_cluster_11
Kcnip3,downdown,neuron_cluster_11
Itpr2,downdown,neuron_cluster_11
Fgf1,downdown,neuron_cluster_11
Emcn,downdown,neuron_cluster_11
Ets1,downdown,neuron_cluster_11
Cacna2d1,downdown,neuron_cluster_11
mt-Nd6,downdown,neuron_cluster_11
Pard3bos1,downdown,neuron_cluster_11
Slc7a1,downdown,neuron_cluster_11
Igsf11,downdown,neuron_cluster_11
Chn2,downdown,neuron_cluster_11
Tafa1,downdown,neuron_cluster_11
Myo10,downdown,neuron_cluster_11
Gm11266,downdown,neuron_cluster_11
Emid1,downdown,neuron_cluster_11
Lama2,downdown,neuron_cluster_11
Sfxn5,downdown,neuron_cluster_11
Enpp2,downdown,neuron_cluster_11
Sorcs3,downdown,neuron_cluster_11
Ccdc170,downdown,neuron_cluster_11
Iqch,downdown,neuron_cluster_11
Gm15155,downdown,neuron_cluster_11
Myo1d,downdown,neuron_cluster_11
8030451A03Rik,downdown,neuron_cluster_11
Prox1,downdown,neuron_cluster_11
Ppfibp1,downdown,neuron_cluster_11
Pdzd2,downdown,neuron_cluster_11
Flt1,downdown,neuron_cluster_11
Egfr,downdown,neuron_cluster_11
Mog,downdown,neuron_cluster_11
Pigk,downdown,neuron_cluster_11
1700111E14Rik,downdown,neuron_cluster_11
Ntng1,downdown,neuron_cluster_11
Zfp804a,downdown,neuron_cluster_11
Mal,downdown,neuron_cluster_11
Vwc2l,downdown,neuron_cluster_11
Gm26713,downdown,neuron_cluster_11
Pitpnc1,downdown,neuron_cluster_11
