Gene,RRquadrant,Sample
Kcnip4,upup,neuron_cluster_0
Nrg3,upup,neuron_cluster_0
Robo1,upup,neuron_cluster_0
Tenm2,upup,neuron_cluster_0
Meg3,upup,neuron_cluster_0
Magi2,upup,neuron_cluster_0
Dlg2,upup,neuron_cluster_0
Nkain2,upup,neuron_cluster_0
Ccser1,upup,neuron_cluster_0
4930555F03Rik,upup,neuron_cluster_0
Kcnd2,upup,neuron_cluster_0
Grm7,upup,neuron_cluster_0
Adarb2,upup,neuron_cluster_0
Ralyl,upup,neuron_cluster_0
Phactr1,upup,neuron_cluster_0
Dcc,upup,neuron_cluster_0
Grid2,upup,neuron_cluster_0
Lrrtm4,upup,neuron_cluster_0
Kirrel3,upup,neuron_cluster_0
Galntl6,upup,neuron_cluster_0
Dab1,upup,neuron_cluster_0
Erc2,upup,neuron_cluster_0
Kcnb2,upup,neuron_cluster_0
Ube3a,upup,neuron_cluster_0
Mdga2,upup,neuron_cluster_0
Sgcd,upup,neuron_cluster_0
Asic2,upup,neuron_cluster_0
Syt1,upup,neuron_cluster_0
Erbb4,upup,neuron_cluster_0
Ctnna3,upup,neuron_cluster_0
Grip1,upup,neuron_cluster_0
Lrfn5,upup,neuron_cluster_0
Gm20642,upup,neuron_cluster_0
Gm48091,upup,neuron_cluster_0
Pde4d,upup,neuron_cluster_0
4930587E11Rik,upup,neuron_cluster_0
Csmd3,upup,neuron_cluster_0
Kcnq5,upup,neuron_cluster_0
Gabrb2,upup,neuron_cluster_0
Dlgap1,upup,neuron_cluster_0
Gm2516,upup,neuron_cluster_0
Egfem1,upup,neuron_cluster_0
Sntg1,upup,neuron_cluster_0
Grik2,upup,neuron_cluster_0
Nell1os,upup,neuron_cluster_0
Lhfpl3,upup,neuron_cluster_0
Zfp804a,upup,neuron_cluster_0
4930445B16Rik,upup,neuron_cluster_0
Cntn5,upup,neuron_cluster_0
Nrg3os,upup,neuron_cluster_0
Gm26713,upup,neuron_cluster_0
Unc5d,upup,neuron_cluster_0
C130073E24Rik,upup,neuron_cluster_0
Grm5,upup,neuron_cluster_0
Nav2,upup,neuron_cluster_0
Gria4,upup,neuron_cluster_0
4930419G24Rik,upup,neuron_cluster_0
Hdac8,upup,neuron_cluster_0
Mir99ahg,upup,neuron_cluster_0
8030451O07Rik,upup,neuron_cluster_0
Tenm1,upup,neuron_cluster_0
Nav3,upup,neuron_cluster_0
Tenm4,upup,neuron_cluster_0
Auts2,upup,neuron_cluster_0
Cadm2,upup,neuron_cluster_0
A330015K06Rik,upup,neuron_cluster_0
1700111E14Rik,upup,neuron_cluster_0
Adcy8,upup,neuron_cluster_0
Tenm3,upup,neuron_cluster_0
Nrxn3,upup,neuron_cluster_0
Xkr4,upup,neuron_cluster_0
Gm45323,upup,neuron_cluster_0
Rgs7,upup,neuron_cluster_0
Naaladl2,upup,neuron_cluster_0
Chrm3,upup,neuron_cluster_0
Epha6,upup,neuron_cluster_0
Cdh13,upup,neuron_cluster_0
Khdrbs2,upup,neuron_cluster_0
Etl4,upup,neuron_cluster_0
Grin2a,upup,neuron_cluster_0
Shroom3,upup,neuron_cluster_0
Gm21798,upup,neuron_cluster_0
Klhl29,upup,neuron_cluster_0
Gm26871,upup,neuron_cluster_0
5530401A14Rik,upup,neuron_cluster_0
Lrrc7,upup,neuron_cluster_0
Gm28905,upup,neuron_cluster_0
Kcnh7,upup,neuron_cluster_0
Brinp3,upup,neuron_cluster_0
Sorbs2os,upup,neuron_cluster_0
Zfp385b,upup,neuron_cluster_0
Mef2c,upup,neuron_cluster_0
Iqch,upup,neuron_cluster_0
4930567K20Rik,upup,neuron_cluster_0
5730522E02Rik,upup,neuron_cluster_0
Dgki,upup,neuron_cluster_0
Alk,upup,neuron_cluster_0
Schip1,upup,neuron_cluster_0
