Gene,RRquadrant,Sample
Dlg2,upup,neuron_cluster_7
Dcc,upup,neuron_cluster_7
Cntnap2,upup,neuron_cluster_7
Sorcs1,upup,neuron_cluster_7
Sorbs2os,upup,neuron_cluster_7
Robo1,upup,neuron_cluster_7
Adarb2,upup,neuron_cluster_7
Dlgap1,upup,neuron_cluster_7
Gm28526,upup,neuron_cluster_7
Kcnq5,upup,neuron_cluster_7
Grid2,upup,neuron_cluster_7
Ralyl,upup,neuron_cluster_7
Asic2,upup,neuron_cluster_7
Gpc6,upup,neuron_cluster_7
Fam155a,upup,neuron_cluster_7
Tafa1,upup,neuron_cluster_7
Adcy2,upup,neuron_cluster_7
Dmd,upup,neuron_cluster_7
Kcnd2,upup,neuron_cluster_7
Khdrbs2,upup,neuron_cluster_7
Pde4d,upup,neuron_cluster_7
Kirrel3,upup,neuron_cluster_7
Gulp1,upup,neuron_cluster_7
Grm7,upup,neuron_cluster_7
Astn2,upup,neuron_cluster_7
Aff2,upup,neuron_cluster_7
Ptprd,upup,neuron_cluster_7
Lingo2,upup,neuron_cluster_7
Nav3,upup,neuron_cluster_7
Ube3a,upup,neuron_cluster_7
Tmem108,upup,neuron_cluster_7
Nrg3os,upup,neuron_cluster_7
Usp29,upup,neuron_cluster_7
Plcl1,upup,neuron_cluster_7
Htr2c,upup,neuron_cluster_7
4930555F03Rik,upup,neuron_cluster_7
Gm28905,upup,neuron_cluster_7
4930445B16Rik,upup,neuron_cluster_7
Egfem1,upup,neuron_cluster_7
Fgf14,upup,neuron_cluster_7
Shisa6,upup,neuron_cluster_7
Xkr4,upup,neuron_cluster_7
Nlgn1,upup,neuron_cluster_7
Inpp4b,upup,neuron_cluster_7
Gm48742,upup,neuron_cluster_7
Csmd1,upup,neuron_cluster_7
Csmd3,upup,neuron_cluster_7
Sgcd,upup,neuron_cluster_7
8030451O07Rik,upup,neuron_cluster_7
Gm15680,upup,neuron_cluster_7
Gm45323,upup,neuron_cluster_7
Erc2,upup,neuron_cluster_7
Fgf1,upup,neuron_cluster_7
Ctnnd2,upup,neuron_cluster_7
Meis2,upup,neuron_cluster_7
Gm26871,upup,neuron_cluster_7
Pak7,upup,neuron_cluster_7
Gm15261,upup,neuron_cluster_7
B3galt1,upup,neuron_cluster_7
Ryr3,upup,neuron_cluster_7
Opcml,upup,neuron_cluster_7
Ctnna3,upup,neuron_cluster_7
Gm48749,upup,neuron_cluster_7
Gm4258,upup,neuron_cluster_7
Spock3,upup,neuron_cluster_7
Mir99ahg,upup,neuron_cluster_7
C130073E24Rik,upup,neuron_cluster_7
Rgs7,upup,neuron_cluster_7
Pcdh11x,upup,neuron_cluster_7
Nrxn1,upup,neuron_cluster_7
Pard3b,upup,neuron_cluster_7
Fgf13,upup,neuron_cluster_7
Plce1,upup,neuron_cluster_7
Agbl4,upup,neuron_cluster_7
Gm12296,upup,neuron_cluster_7
Cntn4,upup,neuron_cluster_7
Ctnna2,upup,neuron_cluster_7
Kcnip4,upup,neuron_cluster_7
Lrfn5,upup,neuron_cluster_7
Tshz2,upup,neuron_cluster_7
Hdac9,upup,neuron_cluster_7
Kcnk2,upup,neuron_cluster_7
Car10,upup,neuron_cluster_7
Alk,upup,neuron_cluster_7
Rtl4,upup,neuron_cluster_7
Rims1,upup,neuron_cluster_7
4930473D10Rik,upup,neuron_cluster_7
Pid1,upup,neuron_cluster_7
Reln,upup,neuron_cluster_7
Lcp1,upup,neuron_cluster_7
Spon1,upup,neuron_cluster_7
Nwd1,upup,neuron_cluster_7
Itgbl1,upup,neuron_cluster_7
Slc2a13,upup,neuron_cluster_7
B230217J21Rik,upup,neuron_cluster_7
1110019D14Rik,upup,neuron_cluster_7
Thsd7b,upup,neuron_cluster_7
Fstl5,upup,neuron_cluster_7
5530401A14Rik,upup,neuron_cluster_7
Tox,upup,neuron_cluster_7
Ldlrad4,upup,neuron_cluster_7
March1,upup,neuron_cluster_7
Enox1,upup,neuron_cluster_7
Gm14858,upup,neuron_cluster_7
Cep112,upup,neuron_cluster_7
Slc24a2,upup,neuron_cluster_7
Tpm2,upup,neuron_cluster_7
Crip1,upup,neuron_cluster_7
Tmeff2,upup,neuron_cluster_7
Tenm1,upup,neuron_cluster_7
Gm42557,upup,neuron_cluster_7
Gm20631,upup,neuron_cluster_7
Fermt3,upup,neuron_cluster_7
Gm36431,upup,neuron_cluster_7
Ipcef1,upup,neuron_cluster_7
Slc38a11,upup,neuron_cluster_7
Tafa2,upup,neuron_cluster_7
Srgap2,upup,neuron_cluster_7
Esr1,upup,neuron_cluster_7
Auts2,upup,neuron_cluster_7
Tenm2,upup,neuron_cluster_7
Zfp521,upup,neuron_cluster_7
Grid1,upup,neuron_cluster_7
Sox5,upup,neuron_cluster_7
Mapk4,upup,neuron_cluster_7
Npas3,upup,neuron_cluster_7
Gm2516,upup,neuron_cluster_7
Ndst4,upup,neuron_cluster_7
Robo2,upup,neuron_cluster_7
Gm10754,upup,neuron_cluster_7
Sv2c,upup,neuron_cluster_7
Iqch,upup,neuron_cluster_7
Slc1a3,upup,neuron_cluster_7
1700111E14Rik,upup,neuron_cluster_7
Adgrv1,upup,neuron_cluster_7
Epha6,upup,neuron_cluster_7
Gm30382,upup,neuron_cluster_7
Gab1,upup,neuron_cluster_7
Nell1os,upup,neuron_cluster_7
Atp10a,upup,neuron_cluster_7
Cntn5,upup,neuron_cluster_7
Vcan,upup,neuron_cluster_7
Grb14,upup,neuron_cluster_7
Gm20642,upup,neuron_cluster_7
Otx2os1,upup,neuron_cluster_7
Sgcz,upup,neuron_cluster_7
Plcxd3,upup,neuron_cluster_7
Zfp69,upup,neuron_cluster_7
Gm27224,upup,neuron_cluster_7
Ak7,upup,neuron_cluster_7
Fyb,upup,neuron_cluster_7
Gm9925,upup,neuron_cluster_7
Fn1,upup,neuron_cluster_7
Nrg3,upup,neuron_cluster_7
Gm16351,upup,neuron_cluster_7
Grik2,upup,neuron_cluster_7
Ets1,upup,neuron_cluster_7
Ammecr1,upup,neuron_cluster_7
Trpm3,upup,neuron_cluster_7
Lrig1,upup,neuron_cluster_7
Padi2,upup,neuron_cluster_7
Cacna2d1,upup,neuron_cluster_7
F13a1,upup,neuron_cluster_7
Lsamp,upup,neuron_cluster_7
Pappa,upup,neuron_cluster_7
Runx1t1,upup,neuron_cluster_7
Abcg2,upup,neuron_cluster_7
Unc5d,upup,neuron_cluster_7
Tenm4,upup,neuron_cluster_7
Enpp2,upup,neuron_cluster_7
Grm8,upup,neuron_cluster_7
Gria4,upup,neuron_cluster_7
Gm32036,upup,neuron_cluster_7
Pex5l,upup,neuron_cluster_7
Rnf220,upup,neuron_cluster_7
Prrg1,upup,neuron_cluster_7
Pcdh9,upup,neuron_cluster_7
Rora,upup,neuron_cluster_7
Syt10,upup,neuron_cluster_7
Cntn3,upup,neuron_cluster_7
Gm45321,upup,neuron_cluster_7
Arhgap6,upup,neuron_cluster_7
Rxfp1,upup,neuron_cluster_7
Gm32647,upup,neuron_cluster_7
Pdgfd,upup,neuron_cluster_7
Gm12082,upup,neuron_cluster_7
Lrp1b,upup,neuron_cluster_7
Trhde,upup,neuron_cluster_7
Pde8b,upup,neuron_cluster_7
Trpc4,upup,neuron_cluster_7
Ncam2,upup,neuron_cluster_7
Plxdc2,upup,neuron_cluster_7
Pdgfrb,upup,neuron_cluster_7
Phactr1,upup,neuron_cluster_7
Syt1,upup,neuron_cluster_7
Fbxl8,upup,neuron_cluster_7
Bgn,upup,neuron_cluster_7
Mecom,upup,neuron_cluster_7
Pgam2,upup,neuron_cluster_7
Gm20757,upup,neuron_cluster_7
4930445E18Rik,upup,neuron_cluster_7
Cd248,upup,neuron_cluster_7
Gm49870,upup,neuron_cluster_7
Ccdc80,upup,neuron_cluster_7
Erbb4,upup,neuron_cluster_7
Pde1a,upup,neuron_cluster_7
Dach1,upup,neuron_cluster_7
Cntn6,upup,neuron_cluster_7
Sox5os4,upup,neuron_cluster_7
Mitf,upup,neuron_cluster_7
Ptprt,upup,neuron_cluster_7
Gm15398,upup,neuron_cluster_7
Eda,upup,neuron_cluster_7
Sox6,upup,neuron_cluster_7
1700042O10Rik,upup,neuron_cluster_7
Myo1d,upup,neuron_cluster_7
Gm42303,upup,neuron_cluster_7
Gm13481,upup,neuron_cluster_7
Tenm3,upup,neuron_cluster_7
Chrm3,upup,neuron_cluster_7
Igsf11,upup,neuron_cluster_7
Ube2cbp,upup,neuron_cluster_7
Cnksr2,upup,neuron_cluster_7
Msi2,upup,neuron_cluster_7
Gabrg3,upup,neuron_cluster_7
Cntnap4,upup,neuron_cluster_7
Gpr158,upup,neuron_cluster_7
Fgf12,upup,neuron_cluster_7
F3,upup,neuron_cluster_7
Cdh20,upup,neuron_cluster_7
Fam20a,upup,neuron_cluster_7
Gm4128,upup,neuron_cluster_7
Zfp366,upup,neuron_cluster_7
Rasgef1b,upup,neuron_cluster_7
Malat1,upup,neuron_cluster_7
Rspo3,upup,neuron_cluster_7
Ly86,upup,neuron_cluster_7
Ccser1,upup,neuron_cluster_7
Mag,upup,neuron_cluster_7
Nrxn3,upup,neuron_cluster_7
Mgp,upup,neuron_cluster_7
2610035D17Rik,upup,neuron_cluster_7
Col11a1,upup,neuron_cluster_7
Galnt13,upup,neuron_cluster_7
Sash1,upup,neuron_cluster_7
Kif13b,upup,neuron_cluster_7
Csgalnact1,upup,neuron_cluster_7
Gpr160,upup,neuron_cluster_7
Tbx1,upup,neuron_cluster_7
Gm29538,upup,neuron_cluster_7
Armh1,upup,neuron_cluster_7
Dct,upup,neuron_cluster_7
Edaradd,upup,neuron_cluster_7
Gm31243,upup,neuron_cluster_7
Gm10790,upup,neuron_cluster_7
Gpr6,upup,neuron_cluster_7
Lrrc46,upup,neuron_cluster_7
Lyz2,upup,neuron_cluster_7
Slc25a54,upup,neuron_cluster_7
Gm48479,upup,neuron_cluster_7
Olfr111,upup,neuron_cluster_7
Tpx2,upup,neuron_cluster_7
Sspnos,upup,neuron_cluster_7
Amd2,upup,neuron_cluster_7
Zfp541,upup,neuron_cluster_7
Layn,upup,neuron_cluster_7
Ager,upup,neuron_cluster_7
Rhoh,upup,neuron_cluster_7
Trim30d,upup,neuron_cluster_7
Tifab,upup,neuron_cluster_7
Tmprss6,upup,neuron_cluster_7
Trarg1,upup,neuron_cluster_7
Gm34408,upup,neuron_cluster_7
Ikzf1,upup,neuron_cluster_7
Cyp2j8,upup,neuron_cluster_7
Emid1,upup,neuron_cluster_7
Trp63,upup,neuron_cluster_7
4833445I07Rik,upup,neuron_cluster_7
Gm973,upup,neuron_cluster_7
Gm5535,upup,neuron_cluster_7
Hs3st4,upup,neuron_cluster_7
Slco2b1,upup,neuron_cluster_7
Arhgef26,upup,neuron_cluster_7
Ephb1,upup,neuron_cluster_7
Bcl2,upup,neuron_cluster_7
Aqp4,upup,neuron_cluster_7
Atp8b5,upup,neuron_cluster_7
Pomc,upup,neuron_cluster_7
Slc7a10,upup,neuron_cluster_7
6530403H02Rik,upup,neuron_cluster_7
Caln1,upup,neuron_cluster_7
Kcnh8,upup,neuron_cluster_7
Tspan2,upup,neuron_cluster_7
Sema6a,upup,neuron_cluster_7
Il33,upup,neuron_cluster_7
Npsr1,upup,neuron_cluster_7
Cacnb2,upup,neuron_cluster_7
9530059O14Rik,upup,neuron_cluster_7
Svil,upup,neuron_cluster_7
Gli3,upup,neuron_cluster_7
Cpne4,upup,neuron_cluster_7
Kcnc2,upup,neuron_cluster_7
Fry,upup,neuron_cluster_7
9630013A20Rik,upup,neuron_cluster_7
Etv6,upup,neuron_cluster_7
Ppfibp1,upup,neuron_cluster_7
Gm42439,upup,neuron_cluster_7
Flvcr2,upup,neuron_cluster_7
Gm49171,upup,neuron_cluster_7
Gm38505,upup,neuron_cluster_7
Tcerg1l,upup,neuron_cluster_7
Adgrl4,upup,neuron_cluster_7
Ndufa4l2,upup,neuron_cluster_7
Fa2h,upup,neuron_cluster_7
Foxp1,upup,neuron_cluster_7
Dpp10,upup,neuron_cluster_7
