Gene,RRquadrant,Sample
Arpp21,upup,neuron_cluster_12
Kctd16,upup,neuron_cluster_12
8030451O07Rik,upup,neuron_cluster_12
Fam155a,upup,neuron_cluster_12
Slc8a1,upup,neuron_cluster_12
Grid2,upup,neuron_cluster_12
Gria4,upup,neuron_cluster_12
Tenm3,upup,neuron_cluster_12
mt-Co3,upup,neuron_cluster_12
Fry,upup,neuron_cluster_12
Gabrb1,upup,neuron_cluster_12
Ptprd,upup,neuron_cluster_12
Rapgef5,upup,neuron_cluster_12
Hbb-bs,upup,neuron_cluster_12
Car10,upup,neuron_cluster_12
Dscam,upup,neuron_cluster_12
C130073E24Rik,upup,neuron_cluster_12
Pcsk2,upup,neuron_cluster_12
Dock10,upup,neuron_cluster_12
Sgcz,upup,neuron_cluster_12
Gm15398,upup,neuron_cluster_12
Mast4,upup,neuron_cluster_12
Phlpp1,upup,neuron_cluster_12
Ptgds,upup,neuron_cluster_12
Ankfn1,upup,neuron_cluster_12
Cdh4,upup,neuron_cluster_12
Gm15261,upup,neuron_cluster_12
Arhgap6,upup,neuron_cluster_12
Wwox,upup,neuron_cluster_12
Gm1992,upup,neuron_cluster_12
Mir99ahg,upup,neuron_cluster_12
Nkain3,upup,neuron_cluster_12
Gm28905,upup,neuron_cluster_12
9530026P05Rik,upup,neuron_cluster_12
Gm4258,upup,neuron_cluster_12
Mal,upup,neuron_cluster_12
Gpcpd1,upup,neuron_cluster_12
Mgat4c,upup,neuron_cluster_12
Msi2,upup,neuron_cluster_12
Mmp16,upup,neuron_cluster_12
Gm28376,upup,neuron_cluster_12
Rundc3b,upup,neuron_cluster_12
Nrg3os,upup,neuron_cluster_12
Cdh9,upup,neuron_cluster_12
Mbp,upup,neuron_cluster_12
Tox,upup,neuron_cluster_12
Slc4a4,upup,neuron_cluster_12
Car2,upup,neuron_cluster_12
Kif13b,upup,neuron_cluster_12
Mitf,upup,neuron_cluster_12
Unc5c,upup,neuron_cluster_12
Lrfn5,upup,neuron_cluster_12
Grb14,upup,neuron_cluster_12
Ryr3,upup,neuron_cluster_12
Map7,upup,neuron_cluster_12
Pde8b,upup,neuron_cluster_12
Gm2516,upup,neuron_cluster_12
B230217J21Rik,upup,neuron_cluster_12
Ldb2,upup,neuron_cluster_12
Slc44a5,upup,neuron_cluster_12
Hdac8,upup,neuron_cluster_12
Slc1a2,upup,neuron_cluster_12
Frmd5,upup,neuron_cluster_12
Epn2,upup,neuron_cluster_12
Zeb1,upup,neuron_cluster_12
Sv2c,upup,neuron_cluster_12
Robo2,upup,neuron_cluster_12
Kcnk2,upup,neuron_cluster_12
Shisa6,upup,neuron_cluster_12
Khdrbs2,upup,neuron_cluster_12
Fam135b,upup,neuron_cluster_12
Cntnap5a,upup,neuron_cluster_12
Astn2,upup,neuron_cluster_12
Lhfpl3,upup,neuron_cluster_12
mt-Nd6,upup,neuron_cluster_12
Trhde,upup,neuron_cluster_12
A830018L16Rik,upup,neuron_cluster_12
Gm32509,upup,neuron_cluster_12
Arsb,upup,neuron_cluster_12
Tmem132d,upup,neuron_cluster_12
Hs6st2,upup,neuron_cluster_12
Apod,upup,neuron_cluster_12
4930445B16Rik,upup,neuron_cluster_12
Cacng4,upup,neuron_cluster_12
Cntn4,upup,neuron_cluster_12
Mir670hg,upup,neuron_cluster_12
Atp1a2,upup,neuron_cluster_12
Slit2,upup,neuron_cluster_12
5530401A14Rik,upup,neuron_cluster_12
Npas3,upup,neuron_cluster_12
Grm1,upup,neuron_cluster_12
Rbms3,upup,neuron_cluster_12
Itgbl1,upup,neuron_cluster_12
Klhl2,upup,neuron_cluster_12
Dscaml1,upup,neuron_cluster_12
Gsdme,upup,neuron_cluster_12
Sh3d19,upup,neuron_cluster_12
Syt10,upup,neuron_cluster_12
Slc24a2,upup,neuron_cluster_12
Srgap2,upup,neuron_cluster_12
Gulp1,upup,neuron_cluster_12
Ppp1r16b,upup,neuron_cluster_12
Sorcs1,upup,neuron_cluster_12
Igf1r,upup,neuron_cluster_12
Chrm3,upup,neuron_cluster_12
Gm16168,upup,neuron_cluster_12
Gm32036,upup,neuron_cluster_12
Col23a1,upup,neuron_cluster_12
4930444A19Rik,upup,neuron_cluster_12
Neat1,upup,neuron_cluster_12
Mmd2,upup,neuron_cluster_12
9530059O14Rik,upup,neuron_cluster_12
Plcxd3,upup,neuron_cluster_12
4930473D10Rik,upup,neuron_cluster_12
Plpp3,upup,neuron_cluster_12
Zfhx3,upup,neuron_cluster_12
Gm14858,upup,neuron_cluster_12
Gm6994,upup,neuron_cluster_12
Kcnip1,upup,neuron_cluster_12
Dtna,upup,neuron_cluster_12
Thsd7a,upup,neuron_cluster_12
4930428E07Rik,upup,neuron_cluster_12
Cables1,upup,neuron_cluster_12
Cntnap5c,upup,neuron_cluster_12
Kcnq5,upup,neuron_cluster_12
Itpr2,upup,neuron_cluster_12
Dleu2,upup,neuron_cluster_12
Enpp2,upup,neuron_cluster_12
Dnajc5b,upup,neuron_cluster_12
Spock1,upup,neuron_cluster_12
Adamtsl1,upup,neuron_cluster_12
Nfasc,upup,neuron_cluster_12
Pitpnc1,upup,neuron_cluster_12
Tshz2,upup,neuron_cluster_12
Zfp385b,upup,neuron_cluster_12
Cdh12,upup,neuron_cluster_12
Gm21798,upup,neuron_cluster_12
Atp10a,upup,neuron_cluster_12
Gpc6,upup,neuron_cluster_12
Gm11844,upup,neuron_cluster_12
Zfp804a,upup,neuron_cluster_12
Lhfp,upup,neuron_cluster_12
Fnbp1,upup,neuron_cluster_12
Sdk1,upup,neuron_cluster_12
Stxbp6,upup,neuron_cluster_12
Sst,upup,neuron_cluster_12
A330008L17Rik,upup,neuron_cluster_12
Slc6a11,upup,neuron_cluster_12
Zfp536,upup,neuron_cluster_12
Tmem108,upup,neuron_cluster_12
Mir9-3hg,upup,neuron_cluster_12
Ammecr1,upup,neuron_cluster_12
Col12a1,upup,neuron_cluster_12
Kcna1,upup,neuron_cluster_12
Gm43507,upup,neuron_cluster_12
Trpc5,upup,neuron_cluster_12
Naaladl2,upup,neuron_cluster_12
Cep112,upup,neuron_cluster_12
Trf,upup,neuron_cluster_12
Eda,upup,neuron_cluster_12
Etv6,upup,neuron_cluster_12
Grik1,upup,neuron_cluster_12
Pacrg,upup,neuron_cluster_12
Aff2,upup,neuron_cluster_12
Pde1c,upup,neuron_cluster_12
Slit3,upup,neuron_cluster_12
Pcdh11x,upup,neuron_cluster_12
Tcf4,upup,neuron_cluster_12
Eps8,upup,neuron_cluster_12
Cyp7b1,upup,neuron_cluster_12
Rnf220,upup,neuron_cluster_12
Flt1,upup,neuron_cluster_12
Ly6c1,upup,neuron_cluster_12
Slc1a3,upup,neuron_cluster_12
Ppfibp1,upup,neuron_cluster_12
Ptprk,upup,neuron_cluster_12
Gab1,upup,neuron_cluster_12
Igfbp7,upup,neuron_cluster_12
Man1a,upup,neuron_cluster_12
Gnrh1,upup,neuron_cluster_12
Kcnh8,upup,neuron_cluster_12
Klhl1,upup,neuron_cluster_12
Gm13944,upup,neuron_cluster_12
