Gene,RRquadrant,Sample
Erbb4,upup,neuron_cluster_4
Frmpd4,upup,neuron_cluster_4
Lrrtm4,upup,neuron_cluster_4
Lingo2,upup,neuron_cluster_4
Nell1,upup,neuron_cluster_4
Rgs7,upup,neuron_cluster_4
Dpp10,upup,neuron_cluster_4
Gm20713,upup,neuron_cluster_4
Ano1,upup,neuron_cluster_4
Cntnap5c,upup,neuron_cluster_4
Gpc5,upup,neuron_cluster_4
Gli3,upup,neuron_cluster_4
Agbl4,upup,neuron_cluster_4
Pex5l,upup,neuron_cluster_4
Nell1os,upup,neuron_cluster_4
Thsd4,upup,neuron_cluster_4
Golim4,upup,neuron_cluster_4
Hs3st2,upup,neuron_cluster_4
Acss3,upup,neuron_cluster_4
Nwd1,upup,neuron_cluster_4
Gm20631,upup,neuron_cluster_4
Kirrel3,upup,neuron_cluster_4
Abcg2,upup,neuron_cluster_4
Adamts12,upup,neuron_cluster_4
Kif4,upup,neuron_cluster_4
Ermn,upup,neuron_cluster_4
Rbfox1,upup,neuron_cluster_4
Creb5,upup,neuron_cluster_4
Grin2a,upup,neuron_cluster_4
Phldb2,upup,neuron_cluster_4
Milr1,upup,neuron_cluster_4
Adap2,upup,neuron_cluster_4
Oxt,downdown,neuron_cluster_4
Avp,downdown,neuron_cluster_4
Cacna2d3,downdown,neuron_cluster_4
Etl4,downdown,neuron_cluster_4
Apoe,downdown,neuron_cluster_4
Sst,downdown,neuron_cluster_4
Myo10,downdown,neuron_cluster_4
Mal,downdown,neuron_cluster_4
Phkg1,downdown,neuron_cluster_4
Lrtm1,downdown,neuron_cluster_4
Arhgap6,downdown,neuron_cluster_4
Ppfibp1,downdown,neuron_cluster_4
Cdh9,downdown,neuron_cluster_4
Cdh4,downdown,neuron_cluster_4
Slc4a4,downdown,neuron_cluster_4
Gm45323,downdown,neuron_cluster_4
March1,downdown,neuron_cluster_4
Gm16168,downdown,neuron_cluster_4
Olfm3,downdown,neuron_cluster_4
Epb41l2,downdown,neuron_cluster_4
mt-Nd6,downdown,neuron_cluster_4
Cacna2d1,downdown,neuron_cluster_4
B230217J21Rik,downdown,neuron_cluster_4
Sfxn5,downdown,neuron_cluster_4
Pak7,downdown,neuron_cluster_4
Adamts19,downdown,neuron_cluster_4
5530401A14Rik,downdown,neuron_cluster_4
Arsb,downdown,neuron_cluster_4
Gm38505,downdown,neuron_cluster_4
Tox,downdown,neuron_cluster_4
