Gene,RRquadrant,Sample
Nrxn3,upup,neuron_cluster_3
Mir99ahg,upup,neuron_cluster_3
Fgf14,upup,neuron_cluster_3
Tenm2,upup,neuron_cluster_3
Nkain2,upup,neuron_cluster_3
Galntl6,upup,neuron_cluster_3
Nrg3,upup,neuron_cluster_3
Dpp10,upup,neuron_cluster_3
Kcnip4,upup,neuron_cluster_3
Lrrtm4,upup,neuron_cluster_3
Cntn5,upup,neuron_cluster_3
Kcnb2,upup,neuron_cluster_3
Bcl11a,upup,neuron_cluster_3
Csmd1,upup,neuron_cluster_3
Elavl2,upup,neuron_cluster_3
Gabrb2,upup,neuron_cluster_3
Stxbp6,upup,neuron_cluster_3
Sox6,upup,neuron_cluster_3
Cntnap5a,upup,neuron_cluster_3
Gm20642,upup,neuron_cluster_3
Grip1,upup,neuron_cluster_3
Ube3a,upup,neuron_cluster_3
Nrg3os,upup,neuron_cluster_3
Tcf4,upup,neuron_cluster_3
Gm15680,upup,neuron_cluster_3
Ctnnd2,upup,neuron_cluster_3
Cdh8,upup,neuron_cluster_3
Htr2c,upup,neuron_cluster_3
C130073E24Rik,upup,neuron_cluster_3
Mdga2,upup,neuron_cluster_3
Nav3,upup,neuron_cluster_3
Kcnc2,upup,neuron_cluster_3
Cntnap4,upup,neuron_cluster_3
Ptprn2,upup,neuron_cluster_3
Gm45025,upup,neuron_cluster_3
Pde1a,upup,neuron_cluster_3
Lrfn5,upup,neuron_cluster_3
Csmd3,upup,neuron_cluster_3
Robo1,upup,neuron_cluster_3
Klhl29,upup,neuron_cluster_3
Adamtsl1,upup,neuron_cluster_3
Chrm3,upup,neuron_cluster_3
Rbms3,upup,neuron_cluster_3
Gm45904,upup,neuron_cluster_3
Dlgap1,upup,neuron_cluster_3
Palmd,upup,neuron_cluster_3
Erbb4,upup,neuron_cluster_3
Etl4,upup,neuron_cluster_3
Oxt,downdown,neuron_cluster_3
Apoe,downdown,neuron_cluster_3
Avp,downdown,neuron_cluster_3
Myo10,downdown,neuron_cluster_3
Podxl,downdown,neuron_cluster_3
Mobp,downdown,neuron_cluster_3
Nnat,downdown,neuron_cluster_3
Sv2c,downdown,neuron_cluster_3
