comparison,HD.p.val,HD.stat,CLX.p.val,CLX.stat,LC.p.val,LC.stat
Males,0,29.27622443495348,0,857.0973171657674,0,132.8675498445579
Females,0,21.991954606334943,0,483.6460674070967,0,124.26153412097688
Doms,0,16.903073685609463,0,285.713900021143,0,155.55411669051801
Subs,0,12.396472302709386,0,153.67252555184095,0,32.918546936511895
