comparison,HD.p.val,HD.stat,CLX.p.val,CLX.stat,LC.p.val,LC.stat
Males,0,29.276224434952955,0,857.0973171657366,0,133.17613695189513
Females,0,21.991954606335046,0,483.64606740710116,0,124.47785213849298
Doms,0,16.90307368561006,0,285.7139000211633,0,156.41712846397178
Subs,0,12.396472302709485,0,153.6725255518434,0,33.48800679563219
