Gene,logFC_DvsS,AveExpr_DvsS,t_DvsS,P.Value_DvsS,adj.P.Val_DvsS,B_DvsS,logFC_DvsS_M,AveExpr_DvsS_M,t_DvsS_M,P.Value_DvsS_M,adj.P.Val_DvsS_M,B_DvsS_M,logFC_DvsS_F,AveExpr_DvsS_F,t_DvsS_F,P.Value_DvsS_F,adj.P.Val_DvsS_F,B_DvsS_F,logFC_MvsF,AveExpr_MvsF,t_MvsF,P.Value_MvsF,adj.P.Val_MvsF,B_MvsF,logFC_MvsFD,AveExpr_MvsFD,t_MvsFD,P.Value_MvsFD,adj.P.Val_MvsFD,B_MvsFD,logFC_MvsFS,AveExpr_MvsFS,t_MvsFS,P.Value_MvsFS,adj.P.Val_MvsFS,B_MvsFS,Sig_DvsS,Direction.type_DvsS,Sig.direction_DvsS,Sig_DvsS_M,Direction.type_DvsS_M,Sig.direction_DvsS_M,Sig_DvsS_F,Direction.type_DvsS_F,Sig.direction_DvsS_F,Sig_MvsF,Direction.type_MvsF,Sig.direction_MvsF,Sig_MvsFD,Direction.type_MvsFD,Sig.direction_MvsFD,Sig_MvsFS,Direction.type_MvsFS,Sig.direction_MvsFS
Gm6277,-0.13446806913194553,13.82425843114344,-44748.44368003732,8.428091847933891e-226,1.3720933528436375e-222,501.53416621720555,-0.2689361382638893,13.82425843114344,-64353.5179995616,3.388086361759697e-235,5.515804596944787e-232,517.396516964474,-1.7763568394002505e-15,13.82425843114344,-4.112735223640621e-10,0.9999999996732261,0.9999999999999922,-13.395941174665396,0.13446806913194287,13.82425843114344,44748.443680036435,8.428091847943471e-226,1.3720933528451971e-222,501.5341662172044,0,13.82425843114344,0,1,1,-13.85595343656361,0.2689361382638875,13.82425843114344,45986.35475092821,1.6598363950286042e-226,2.7022136511065676e-223,501.88043437980883,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig,Sig,up,up,Not Sig,down,Not Sig,Sig,up,up
Tmem37,-0.14987998832469351,13.824772161783198,-27815.05555280436,1.665460892005591e-213,1.3556851660925512e-210,478.13013964795437,-1.7763568394002505e-15,13.824772161783198,-2.370450309077837e-10,0.9999999998116578,1,-13.828548725683852,-0.29975997664938525,13.824772161783198,-38703.62996388094,4.7707913095808035e-222,7.766848251997549e-219,488.79492223771126,-0.14987998832469263,13.824772161783198,-27815.055552804195,1.6654608920060644e-213,1.3556851660929363e-210,478.1301396479539,0,13.824772161783198,0,1,1,-13.85595343656361,-0.2997599766493835,13.824772161783198,-28584.525111398732,3.279974703663891e-214,2.6698994087824074e-211,479.2001737870853,Sig,down,down,Not Sig,down,Not Sig,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig,Sig,down,down
Kank1,-0.27781247187297176,13.839493514835334,-5.237731831649144,2.2359753886142585e-6,0.0012133893108880042,-2.298122565831301,-0.25586496709655826,13.839493514835334,-3.468699751597823,9.781806704810534e-4,0.22749687593473644,-8.25720891861672,-0.29975997664938525,13.839493514835334,-3.93194050830977,2.2239531273517794e-4,0.06034326152214494,-6.4083118071112,-0.008876333609083353,13.839493514835334,-0.16734977655679606,0.8676618999597823,0.9999999616631279,-13.755104535453636,0.01307117116733103,13.839493514835334,0.5346546507367099,0.5948795870190389,1,-13.710973011392857,-0.03082383838549596,13.839493514835334,-0.2986065249922809,0.766279906820993,1,-13.671613815323665,Sig,down,down,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig
Glis3,-0.13155604196384285,13.828820607040134,-5.006598452924687,5.833609301106174e-6,0.0023742789855502127,-3.22449488246167,-0.2631120839276839,13.828820607040134,-7.200076631952206,1.6037408313428126e-9,1.3054450367130494e-6,4.854758983263462,-1.7763568394002505e-15,13.828820607040134,-4.7033136999672275e-14,0.9999999999999627,0.9999999999999922,-13.395941174665396,0.13738009630004555,13.828820607040134,5.228243167938201,2.6213735587452924e-6,0.0014225320512124453,-2.4375650350732254,0.005824054336205364,13.828820607040134,0.4808667041684922,0.6324818746673342,1,-13.738517518675978,0.2689361382638875,13.828820607040134,5.258988010420321,2.344190221503911e-6,0.0012721138935361221,-2.2750291117558596,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
Chst7,-0.1313150501939644,13.829198160812942,-4.616114888390177,2.3206956180847416e-5,0.007556184932483919,-4.577316774848272,-0.262630100387927,13.829198160812942,-6.638515401387782,1.3565521960892542e-8,7.361556584111019e-6,2.722908324417112,-1.7763568394002505e-15,13.829198160812942,-4.3444428565240826e-14,0.9999999999999655,0.9999999999999922,-13.395941174665396,0.137621088069924,13.829198160812942,4.837790890363845,1.0643917960193362e-5,0.0043320746097986985,-3.814645715743053,0.006306037875962289,13.829198160812942,0.4809345824276624,0.6324333770259087,1,-13.73848497029044,0.2689361382638875,13.829198160812942,4.857718270966182,9.917427326356868e-6,0.004036392921827245,-3.6929211465438705,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
Nxpe2,-0.21860326331421742,13.837289566441237,-4.257558824282258,7.440949252757998e-5,0.01937246290160493,-5.724127350657504,0.012783286031318397,13.837289566441237,0.17902384688363523,0.8585267461727181,1,-13.812259217559488,-0.44998981265975324,13.837289566441237,-6.097453116008446,8.648303954219849e-8,5.584916706887604e-5,1.290085686859701,-0.21860326331421653,13.837289566441237,-4.257558824282241,7.440949252758413e-5,0.02260120671854037,-5.72412735065755,0.012783286031320173,13.837289566441237,0.5401493397199928,0.5911086603403912,1,-13.707985056263272,-0.44998981265975146,13.837289566441237,-4.503267571356329,3.1749613372282365e-5,0.009684368193296133,-4.844138790213071,Sig,down,down,Not Sig,up,Not Sig,Sig,down,down,Sig,down,down,Not Sig,up,Not Sig,Sig,down,down
Sfxn5,-0.21853009582119398,13.837404195513638,-4.224546779968458,8.329683065800645e-5,0.01937246290160493,-5.8334585412119715,0.012929621017365278,13.837404195513638,0.17972935884233823,0.8579752801371049,1,-13.81213060937539,-0.44998981265975324,13.837404195513638,-6.052200691101264,1.0291615553232687e-7,5.584916706887604e-5,1.1175194605542043,-0.2185300958211931,13.837404195513638,-4.224546779968441,8.32968306580112e-5,0.02260120671854037,-5.833458541212013,0.012929621017367054,13.837404195513638,0.5422780048408219,0.5896508222276865,1,-13.70681937989867,-0.44998981265975146,13.837404195513638,-4.469846440642797,3.5691774668167566e-5,0.009684368193296133,-4.958083177133709,Sig,down,down,Not Sig,up,Not Sig,Sig,down,down,Sig,down,down,Not Sig,up,Not Sig,Sig,down,down
Cldn5,-0.14591153192696282,13.83098941013964,-4.130718731263511,1.1453767235812759e-4,0.023308416324878966,-6.141673994169255,0.007936912795459605,13.83098941013964,0.1615667458221989,0.8721940188071577,1,-13.815280531156752,-0.29975997664938525,13.83098941013964,-5.9040690037694485,1.8156149978780798e-7,7.389553041363785e-5,0.5548386671242955,-0.14591153192696193,13.83098941013964,-4.130718731263486,1.1453767235813716e-4,0.026638190085578186,-6.141673994169328,0.007936912795461382,13.83098941013964,0.4874779119973961,0.6277096876826672,1,-13.735381075199285,-0.2997599766493835,13.83098941013964,-4.360443939113044,5.221974376162156e-5,0.012144820406274272,-5.3280815359870495,Sig,down,down,Not Sig,up,Not Sig,Sig,down,down,Sig,down,down,Not Sig,up,Not Sig,Sig,down,down
Avp,-0.3359892440130263,13.914666116164513,-2.791019442906665,0.007050119452693852,0.9999999233262555,-10.0474972779294,-0.20156805949298828,13.914666116164513,-1.2039918979201136,0.23335713985512913,1,-13.100405805054082,-0.47041042853306436,13.914666116164513,-2.7186681534258494,0.008573949612306115,0.7754661093796864,-9.853849769248749,-0.21603235329073378,13.914666116164513,-1.794552977737416,0.07780139820486312,0.9999999616631279,-12.174827525405709,-0.08161116877069574,13.914666116164513,-1.4708026767114748,0.1466095668530016,1,-12.775664927031187,-0.3504535378107718,13.914666116164513,-1.4958532521184162,0.13997360508994186,1,-12.60018725546058,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Slc7a10,-0.14326825146256716,13.83513054953386,-2.785250948872014,0.007161792755079816,0.9999999233262555,-10.061962276350538,0.013223473724250923,13.83513054953386,0.1848520576403733,0.8539732516176957,1,-13.811181635939734,-0.29975997664938525,13.83513054953386,-4.0544298266336405,1.480288432859245e-4,0.04819819137389702,-6.016039938468399,-0.14326825146256628,13.83513054953386,-2.7852509488719965,0.007161792755080162,0.9716165504392086,-10.061962276350576,0.013223473724252699,13.83513054953386,0.5577341712762425,0.5791168311057853,1,-13.698219327105594,-0.2997599766493835,13.83513054953386,-2.994394874588456,0.004001300529812447,0.7539800262604157,-9.47065563418942,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Sig,down,down,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig
