contrast,Estimate,Std.error,z.ratio,adj.pval,neuron.sub_types
male.dom.data - male.sub.data,-0.3371606918355644,0.16614481542069323,-2.029318164288449,0.1772,Vipr2.GABA_2
female.dom.data - female.sub.data,-0.9252149914460424,0.2261685998991747,-4.090819821400939,3e-4,Caprin2.GLU_6
female.dom.data - male.dom.data,0.7923157870285786,0.2917802819825752,2.715453496874387,0.0335,Caprin2.GLU_6
female.dom.data - male.sub.data,-1.1613676962967612,0.1912958288303209,-6.071056036077465,0,Caprin2.GLU_6
female.sub.data - male.dom.data,1.717530778474621,0.2904265382163296,5.913821749978256,0,Caprin2.GLU_6
female.sub.data - male.sub.data,-0.23615270485071882,0.18922456308410243,-1.2480023787702381,0.5962,Caprin2.GLU_6
male.dom.data - male.sub.data,-1.9536834833253398,0.2641768965065788,-7.395360870539591,0,Caprin2.GLU_6
female.dom.data - female.sub.data,0.5544843866769026,0.272813901692197,2.032463826944204,0.176,Gpr149.GLU_3
female.dom.data - male.dom.data,1.5680022254030035,0.29427461185714016,5.328363923436973,0,Gpr149.GLU_3
female.dom.data - male.sub.data,0.631051747812171,0.2203810045533771,2.8634579876385304,0.0218,Gpr149.GLU_3
female.sub.data - male.dom.data,1.0135178387261008,0.3624532949244052,2.7962715553116557,0.0266,Gpr149.GLU_3
female.sub.data - male.sub.data,0.07656736113526841,0.3055202628073022,0.2506130376811079,0.9945,Gpr149.GLU_3
male.dom.data - male.sub.data,-0.9369504775908325,0.324827266732634,-2.884457598081008,0.0205,Gpr149.GLU_3
female.dom.data - female.sub.data,-1.3901796512801687,0.2603588207050329,-5.339475910651548,0,Pmch.GLU_7
female.dom.data - male.dom.data,2.041258731598146,0.6128867241569539,3.3305644438716886,0.0048,Pmch.GLU_7
female.dom.data - male.sub.data,0.4837114157205637,0.3545891461680577,1.3641461419445378,0.522,Pmch.GLU_7
female.sub.data - male.dom.data,3.431438382878315,0.5995222620414485,5.72362129004824,0,Pmch.GLU_7
female.sub.data - male.sub.data,1.8738910670007325,0.3309535747135017,5.662096469642044,0,Pmch.GLU_7
male.dom.data - male.sub.data,-1.5575473158775823,0.6460446499620378,-2.41089732105839,0.075,Pmch.GLU_7
female.dom.data - female.sub.data,-0.3255802924278936,0.307267075627932,-1.0596003224964363,0.7141,Satb2.GABA_6
female.dom.data - male.dom.data,0.5537205177195126,0.3124977549542499,1.7719183864235377,0.2869,Satb2.GABA_6
female.dom.data - male.sub.data,-0.1792040662883445,0.26633444657634753,-0.6728535065289567,0.9074,Satb2.GABA_6
female.sub.data - male.dom.data,0.8793008101474062,0.34992007639370754,2.5128618489385377,0.0579,Satb2.GABA_6
female.sub.data - male.sub.data,0.1463762261395491,0.3093917426904943,0.47310967276194965,0.965,Satb2.GABA_6
male.dom.data - male.sub.data,-0.7329245840078571,0.31458709689300063,-2.329798619353877,0.0913,Satb2.GABA_6
female.dom.data - female.sub.data,-1.3022557309991547,0.21451315708308583,-6.070749919058631,0,Sst.GABA_4
female.dom.data - male.dom.data,0.7999793850295764,0.3003331396482411,2.663640069712372,0.0387,Sst.GABA_4
female.dom.data - male.sub.data,0.2228354730598953,0.263497419383986,0.8456837018777955,0.8326,Sst.GABA_4
female.sub.data - male.dom.data,2.102235116028731,0.28548514914815853,7.363728454182153,0,Sst.GABA_4
female.sub.data - male.sub.data,1.52509120405905,0.2464399838402784,6.188489303941383,0,Sst.GABA_4
male.dom.data - male.sub.data,-0.5771439119696812,0.3239085763674897,-1.7818111469666178,0.2821,Sst.GABA_4
female.dom.data - female.sub.data,-0.44719435471556174,0.24150726267663852,-1.8516807724922293,0.2492,Lhx1.GABA_2
female.dom.data - male.dom.data,0.6550505459460256,0.26240475835187893,2.49633638528619,0.0605,Lhx1.GABA_2
female.dom.data - male.sub.data,0.10747537997129361,0.23391572559153,0.45946196947429707,0.9678,Lhx1.GABA_2
female.sub.data - male.dom.data,1.1022449006615873,0.2847206968842272,3.8713199030619854,6e-4,Lhx1.GABA_2
female.sub.data - male.sub.data,0.5546697346868553,0.2587009561396014,2.1440575364071783,0.1393,Lhx1.GABA_2
male.dom.data - male.sub.data,-0.547575165974732,0.2783104094131031,-1.9674979715255727,0.2004,Lhx1.GABA_2
female.dom.data - female.sub.data,0.06113058637079105,0.2808681057578874,0.21764872948403244,0.9964,Cd40.GLU_3
female.dom.data - male.dom.data,-0.372078729353789,0.19756161879359896,-1.8833553380756385,0.2352,Cd40.GLU_3
female.dom.data - male.sub.data,-0.591944356871328,0.19583621464401313,-3.0226501157988155,0.0134,Cd40.GLU_3
female.sub.data - male.dom.data,-0.43320931572458005,0.26983555777417256,-1.6054567429809834,0.3755,Cd40.GLU_3
female.sub.data - male.sub.data,-0.653074943242119,0.26857486476781006,-2.4316309115773707,0.0712,Cd40.GLU_3
male.dom.data - male.sub.data,-0.21986562751753896,0.17965566613210662,-1.223816828331285,0.6117,Cd40.GLU_3
female.dom.data - female.sub.data,-0.16451460941715207,0.3290101381149293,-0.5000289971602154,0.9591,Chat.GABA_7
female.dom.data - male.dom.data,-1.0051684979432387,0.2242361358803743,-4.482633871640907,0,Chat.GABA_7
female.dom.data - male.sub.data,0.17680478848353376,0.2984647771677972,0.592380749786545,0.9344,Chat.GABA_7
female.sub.data - male.dom.data,-0.8406538885260866,0.294011742664888,-2.859252766255178,0.0221,Chat.GABA_7
female.sub.data - male.sub.data,0.34131939790068583,0.3538958651921571,0.964462802399111,0.7697,Chat.GABA_7
male.dom.data - male.sub.data,1.1819732864267725,0.25937705575525044,4.556969324002539,0,Chat.GABA_7
