Gene,logFC_DvsS,AveExpr_DvsS,t_DvsS,P.Value_DvsS,adj.P.Val_DvsS,B_DvsS,logFC_DvsS_M,AveExpr_DvsS_M,t_DvsS_M,P.Value_DvsS_M,adj.P.Val_DvsS_M,B_DvsS_M,logFC_DvsS_F,AveExpr_DvsS_F,t_DvsS_F,P.Value_DvsS_F,adj.P.Val_DvsS_F,B_DvsS_F,logFC_MvsF,AveExpr_MvsF,t_MvsF,P.Value_MvsF,adj.P.Val_MvsF,B_MvsF,logFC_MvsFD,AveExpr_MvsFD,t_MvsFD,P.Value_MvsFD,adj.P.Val_MvsFD,B_MvsFD,logFC_MvsFS,AveExpr_MvsFS,t_MvsFS,P.Value_MvsFS,adj.P.Val_MvsFS,B_MvsFS,Sig_DvsS,Direction.type_DvsS,Sig.direction_DvsS,Sig_DvsS_M,Direction.type_DvsS_M,Sig.direction_DvsS_M,Sig_DvsS_F,Direction.type_DvsS_F,Sig.direction_DvsS_F,Sig_MvsF,Direction.type_MvsF,Sig.direction_MvsF,Sig_MvsFD,Direction.type_MvsFD,Sig.direction_MvsFD,Sig_MvsFS,Direction.type_MvsFS,Sig.direction_MvsFS
Oxt,-0.20001330571722598,14.464013968348036,-3.8726378693933703,1.3321816380022121e-4,0.26643632760044245,-8.899860498589845,-0.21832395586140763,14.464013968348036,-3.1295292293052763,0.0019300226543779234,0.7720090617511693,-11.102521852372785,-0.18170265557304432,14.464013968348036,-2.3852199208279985,0.017713856015800826,1,-13.020250996541064,-0.11457333117856017,14.464013968348036,-2.218357521533763,0.02730815042093333,0.9999998483881443,-13.787342988883568,-0.13288398132274182,14.464013968348036,-2.021360472837169,0.04416471447951761,0.999999999999482,-13.958703140068895,-0.09626268103437852,14.464013968348036,-1.2081772416054852,0.22796749917322293,1,-15.07156859234358,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Fras1,0.02238206067818016,14.043268906465407,2.882416827762473,0.004242668697562402,0.9999995451644329,-12.125906553658927,0.035079799709183845,14.043268906465407,3.3445942662144557,9.329235818934925e-4,0.6219490545956616,-10.428417510141815,0.009684321647176475,14.043268906465407,0.8455612538687621,0.39849757275606,1,-15.488703464202537,0.012697739031004573,14.043268906465407,1.6352460653091136,0.10308692610565112,0.9999998483881443,-14.900145980356562,0.025395478062009147,14.043268906465407,2.5694267763173415,0.01068870582451242,0.999999999999482,-12.71924685916181,1.7763568394002505e-15,14.043268906465407,1.4828991816011341e-13,0.9999999999998818,1,-15.802097288177968,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Dcn,-0.013057579058989965,14.037163586800633,-2.5676207778519236,0.01074443744775531,0.9999995451644329,-12.965113584661426,-0.004034852535612643,14.037163586800633,-0.5873885876724851,0.5574027733303579,0.9999999999999484,-15.76195993737361,-0.022080305582367288,14.037163586800633,-2.943692558519165,0.0035072211943697937,0.9309824489159707,-11.56338024482999,-0.012311237384364127,14.037163586800633,-2.4208613837491755,0.016101816046180134,0.9999998483881443,-13.324667378202893,-0.003288510860986804,14.037163586800633,-0.5080314930040333,0.611819959907439,0.999999999999482,-15.864921633688308,-0.02133396390774145,14.037163586800633,-2.719346009468041,0.006938162167606459,1,-12.138656060566403,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Myo1e,-0.010662548357157853,14.035189393684462,-2.4820607059657513,0.01363247081193681,0.9999995451644329,-13.177198854564162,-0.008317705806353715,14.035189393684462,-1.4334566408659102,0.15281178802631304,0.9670419452384361,-14.90766185531026,-0.013007390907961991,14.035189393684462,-2.052866608346013,0.040988560703816485,1,-13.74785653446561,-0.002344842550807691,14.035189393684462,-0.5458396400265074,0.585598591593937,0.9999998483881443,-16.086206873416405,-3.552713678800501e-15,14.035189393684462,-6.497327090513062e-13,0.999999999999482,0.999999999999482,-15.994359551181898,-0.004689685101611829,14.035189393684462,-0.7076520429295832,0.4797334623926208,1,-15.551060557141534,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Ubash3b,-0.01616394368762908,14.042233199724958,-2.366067064376007,0.018638417951030283,0.9999995451644329,-13.453665993414772,-0.03205651754520211,14.042233199724958,-3.473966951216235,5.914461240486553e-4,0.5914461240486553,-10.002952318330127,-2.713698300560452e-4,14.042233199724958,-0.026931493438807887,0.9785329750349239,1,-15.846621023390902,0.009563614098335727,14.042233199724958,1.3999153159505529,0.16261201488575347,0.9999998483881443,-15.255663980066442,-0.006328959759237307,14.042233199724958,-0.7278387824199325,0.46730197183898337,0.999999999999482,-15.728811201970567,0.02545618795590876,14.042233199724958,2.4154485297098574,0.0163367430586272,1,-12.903977595990776,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig
Lyz2,-0.008481596490714338,14.034088943788936,-2.315720855366603,0.021275743316987294,0.9999995451644329,-13.56976414752177,-0.004009487508271903,14.034088943788936,-0.8104516010315825,0.4183496637626726,0.9999999999999484,-15.605786998594011,-0.012953705473156774,14.034088943788936,-2.3978486704076425,0.01712813435385339,1,-12.99057755000908,-0.004472108982446876,14.034088943788936,-1.2210149409326985,0.2230787383483598,0.9999998483881443,-15.48951979005593,-3.552713678800501e-15,14.034088943788936,-7.620648756735679e-13,0.9999999999993925,0.999999999999482,-15.994359551181898,-0.008944217964888423,14.034088943788936,-1.582980886761444,0.11452299892798633,1,-14.550270426136905,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Elovl7,-0.012379862089092697,14.03810413492173,-2.2635123684174645,0.0243477564691334,0.9999995451644329,-13.687566982520782,-0.012035339866402595,14.03810413492173,-1.6291273852750685,0.10437859017646256,0.9670419452384361,-14.609429411175306,-0.0127243843117828,14.03810413492173,-1.5773315701516766,0.11581624246017741,1,-14.604038471533453,0.0035841499830313595,14.03810413492173,0.6553197247651489,0.5127846641597995,0.9999998483881443,-16.020310544184493,0.003928672205720574,14.03810413492173,0.5643337145450168,0.5729659697984031,0.999999999999482,-15.834658976507447,0.003239627760340369,14.03810413492173,0.3839607879676861,0.7012906345899567,1,-15.728147484468083,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Kcnip3,0.011401937673447549,14.037148246317,2.238664780254012,0.025941236829400447,0.9999995451644329,-13.742728322079564,0.019343451942644307,14.037148246317,2.8117325141896656,0.0052657621480956505,0.9670419452384361,-12.021772723185961,0.0034604234042507898,14.037148246317,0.4606369773678089,0.6454065501948594,1,-15.740562685250156,0.00794151426919587,14.037148246317,1.5592427186946645,0.1200366217228398,0.9999998483881443,-15.020896997300948,0.015883028538393518,14.037148246317,2.450004361536279,0.014880436243644424,0.999999999999482,-13.01362430591732,0,14.037148246317,0,1,1,-15.802097288177968,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig
Sema3a,-0.010432062096608519,14.036170357002856,-2.211770450482507,0.027767255040919307,0.9999995451644329,-13.801768456433846,-0.004078618347413965,14.036170357002856,-0.6401954403039803,0.5225543636307516,0.9999999999999484,-15.729477506655654,-0.016785505845803073,14.036170357002856,-2.4128119472143266,0.016454487823181756,1,-12.955171039711999,-0.009329235008731729,14.036170357002856,-1.9779527888956816,0.04888667182479591,0.9999998483881443,-14.285887399505544,-0.002975791259537175,14.036170357002856,-0.49567325804395973,0.6205028465054241,0.999999999999482,-15.871139689921476,-0.015682678757926283,14.036170357002856,-2.1553352501045535,0.03196386419897672,1,-13.48989203928561,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Cntnap5b,0.0152037253936248,14.042177436695965,2.205979125935942,0.028172804335875573,0.9999995451644329,-13.814363033128071,0.011924712811959282,14.042177436695965,1.2809404209784911,0.20124229435481067,0.9999999999999484,-15.114052651313507,0.01848273797529032,14.042177436695965,1.8181798543745795,0.07007255256469723,1,-14.197793669341667,7.558399539435712e-4,14.042177436695965,0.10966832916142112,0.9127485857627757,0.9999998483881443,-16.22958292477047,-0.002523172627721948,14.042177436695965,-0.28762159050718167,0.7738427032175481,0.999999999999482,-15.952859176707175,0.00403485253560909,14.042177436695965,0.37949297941856364,0.7046007162235353,1,-15.729858496811179,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig
Hcrt,0.012877970569361352,14.03936732795102,2.1810518957229124,0.0299872714240283,0.9999995451644329,-13.868346005935166,-3.552713678800501e-15,14.03936732795102,-4.4545967841107935e-13,0.999999999999645,0.9999999999999484,-15.934967783194832,0.025755941138726257,14.03936732795102,2.9574345891056124,0.003358805907162494,0.9309824489159707,-11.523838090979709,-0.012877970569364905,14.03936732795102,-2.181051895723514,0.029987271423983365,0.9999998483881443,-13.868346005933837,-0.02575594113872981,14.03936732795102,-3.427039673292442,6.990025550673325e-4,0.279601022026933,-10.218517049735988,0,14.03936732795102,0,1,1,-15.802097288177968,Not Sig,up,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Gm49678,-0.006145003308276387,14.032966012549647,-2.1583544412655242,0.031726290583987765,0.9999995451644329,-13.916981821897465,-5.3290705182007514e-15,14.032966012549647,-1.3857399306197618e-12,0.9999999999988953,0.9999999999999484,-15.934967783194832,-0.012290006616547444,14.032966012549647,-2.9266575878649657,0.0036992187667524634,0.9309824489159707,-11.612105547394926,-0.006145003308273722,14.032966012549647,-2.158354441264588,0.031726290584061206,0.9999998483881443,-13.916981821899455,-3.552713678800501e-15,14.032966012549647,-9.80356402709425e-13,0.9999999999992184,0.999999999999482,-15.994359551181898,-0.012290006616545668,14.032966012549647,-2.798191662397015,0.0054855141341854765,1,-11.92600885369519,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Gm15420,-0.006427283450641141,14.03305688355438,-2.1582596363215707,0.031733728777833,0.9999995451644329,-13.9171838830094,-5.3290705182007514e-15,14.03305688355438,-1.3248213632722153e-12,0.9999999999989438,0.9999999999999484,-15.934967783194832,-0.012854566901276954,14.03305688355438,-2.9265290354811855,0.003700703123109521,0.9309824489159707,-11.61247217369823,-0.006427283450638477,14.03305688355438,-2.158259636320676,0.03173372877790321,0.9999998483881443,-13.917183883011328,-3.552713678800501e-15,14.03305688355438,-9.372589165048222e-13,0.9999999999992528,0.999999999999482,-15.994359551181898,-0.012854566901275177,14.03305688355438,-2.798068752832905,0.005487545826768599,1,-11.926344833139371,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Dkk2,0.018005096320227842,14.040963909796433,2.1581340050771205,0.03174154972043112,0.9999995451644329,-13.917425878656928,0.02673431546335614,14.040963909796433,2.3723657598734915,0.01832978362970695,0.9670419452384361,-13.13832744763615,0.009275877177099545,14.040963909796433,0.7538016804491365,0.4515824598979733,1,-15.562172760699076,0.008729219143130074,14.040963909796433,1.046305131364095,0.29629511709372336,0.9999998483881443,-15.68738304242763,0.01745843828625837,14.040963909796433,1.64403662406408,0.10125677243175303,0.999999999999482,-14.644558466273995,1.7763568394002505e-15,14.040963909796433,1.380186796859142e-13,0.99999999999989,1,-15.802097288177968,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Gm49870,-0.006362988461424024,14.033036185852373,-2.1578748188000287,0.03176393617581396,0.9999995451644329,-13.91800396989902,-5.3290705182007514e-15,14.033036185852373,-1.337969454223253e-12,0.9999999999989333,0.9999999999999484,-15.934967783194832,-0.012725976922842719,14.033036185852373,-2.92600723558685,0.0037067337825189444,0.9309824489159707,-11.613960170511419,-0.006362988461423136,14.033036185852373,-2.1578748187997276,0.03176393617583769,0.9999998483881443,-13.91800396989962,-3.552713678800501e-15,14.033036185852373,-9.46560672817416e-13,0.9999999999992454,0.999999999999482,-15.994359551181898,-0.012725976922840943,14.033036185852373,-2.797569857396748,0.005495799569899041,1,-11.92770844526901,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Slc7a11,-0.006523886015513902,14.033087981640332,-2.157635960282725,0.031782698550300095,0.9999995451644329,-13.918512931479235,-5.3290705182007514e-15,14.033087981640332,-1.3048268789369377e-12,0.9999999999989597,0.9999999999999484,-15.934967783194832,-0.013047772031022475,14.033087981640332,-2.925683351298587,0.0037104815644374537,0.9309824489159707,-11.614883653199293,-0.006523886015512126,14.033087981640332,-2.1576359602821373,0.03178269855034624,0.9999998483881443,-13.918512931480468,-3.552713678800501e-15,14.033087981640332,-9.23113606621029e-13,0.9999999999992641,0.999999999999482,-15.994359551181898,-0.013047772031020699,14.033087981640332,-2.797260190041493,0.0055009283808392625,1,-11.928554731568436,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Arr3,-0.006559645027170546,14.03309949310299,-2.1570821601122265,0.0318262363922976,0.9999995451644329,-13.919692763321727,-5.3290705182007514e-15,14.03309949310299,-1.2973807088331339e-12,0.9999999999989657,0.9999999999999484,-15.934967783194832,-0.013119290054335764,14.03309949310299,-2.9249324164937436,0.003719184226850132,0.9309824489159707,-11.617024403125633,-0.006559645027167882,14.03309949310299,-2.1570821601113503,0.03182623639236647,0.9999998483881443,-13.919692763323622,-3.552713678800501e-15,14.03309949310299,-9.178457346519628e-13,0.9999999999992684,0.999999999999482,-15.994359551181898,-0.013119290054333987,14.03309949310299,-2.796542217594486,0.005512836382364976,1,-11.930516528742956,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Mob3b,-0.006604067585453954,14.033113793515588,-2.156780671150937,0.03184996000625989,0.9999995451644329,-13.920334940819947,-5.3290705182007514e-15,14.033113793515588,-1.2884737077038212e-12,0.9999999999989728,0.9999999999999484,-15.934967783194832,-0.01320813517090258,14.033113793515588,-2.92452360738467,0.003723929795663883,0.9309824489159707,-11.618189610267338,-0.006604067585452178,14.033113793515588,-2.156780671150357,0.03184996000630552,0.9999998483881443,-13.920334940821178,-3.552713678800501e-15,14.033113793515588,-9.115443822891451e-13,0.9999999999992732,0.999999999999482,-15.994359551181898,-0.013208135170900803,14.033113793515588,-2.796151353201857,0.005519328928136788,1,-11.931584331135443,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Tacr1,-0.009649812391641532,14.036156975758834,-2.051582978815329,0.04111409692449942,0.9999995451644329,-14.139093745947914,2.9755716024482126e-6,14.036156975758834,4.6834969593586895e-4,0.999626635155644,0.9999999999999484,-15.934967673138443,-0.019302600354885513,14.036156975758834,-2.782307902466248,0.005753780844312699,1,-12.014197710722568,-0.005636857672045359,14.036156975758834,-1.1984151385150008,0.23174033763922525,0.9999998483881443,-15.516815380529598,0.0040159302911977335,14.036156975758834,0.6707790962707144,0.5028986589159028,0.999999999999482,-15.76878246559464,-0.015289645635290228,14.036156975758834,-2.107134871704897,0.03597012515347501,1,-13.591374760729042,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig
E130114P18Rik,0.01570789189224886,14.040307039679151,2.041517961113362,0.042108344710843855,0.9999995451644329,-14.159452044247434,0.013857327722847756,14.040307039679151,1.333350750337213,0.18346789140824696,0.9999999999999484,-15.045711866708182,0.017558456061649963,14.040307039679151,1.5471797753227043,0.122915429258144,1,-14.65090841337876,-0.0018505641693993269,14.040307039679151,-0.24051349575978487,0.8101029136917374,0.9999998483881443,-16.206596539505696,-0.00370112833880043,14.040307039679151,-0.37791365420858364,0.7057724569849497,0.999999999999482,-15.922720542909214,1.7763568394002505e-15,14.040307039679151,1.4965464850867298e-13,0.9999999999998808,1,-15.802097288177968,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig
Nxph1,-0.0977631741032523,14.234129615323091,-2.032149822589788,0.043053495902421995,0.9999995451644329,-14.17832543337197,-0.11153189573169975,14.234129615323091,-1.716362962468618,0.08716795600057409,0.9670419452384361,-14.464404252986098,-0.08399445247480486,14.234129615323091,-1.1837232738995376,0.23749605086340964,1,-15.145658588295978,-0.02253497859133713,14.234129615323091,-0.468422319206665,0.6398359675663725,0.9999998483881443,-16.12556936671855,-0.036303700219784574,14.234129615323091,-0.5928631534129793,0.5537367018632199,0.999999999999482,-15.818114874572402,-0.008766256962889685,14.234129615323091,-0.11811888107144582,0.9060555764955532,1,-15.795097266219706,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Meis2,0.014228952219211166,14.041874227163454,2.0201197212995017,0.04429404870031081,0.9999995451644329,-14.202441622494367,0.025691643021485078,14.041874227163454,2.700384997114248,0.007334757654549832,0.9670419452384361,-12.321731244155524,0.0027662614169372546,14.041874227163454,0.26626651848284577,0.7902239628300893,1,-15.81141761810771,0.0046776959151770825,14.041874227163454,0.6641041183435229,0.5071535366158938,0.9999998483881443,-16.014505261171916,0.016140386717450994,14.041874227163454,1.800284990361851,0.07285908038758222,0.999999999999482,-14.377292245669262,-0.006784994887096829,14.041874227163454,-0.6244223068629385,0.5328432595272912,1,-15.60660255912939,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig
Kdr,-0.0071611274721243845,14.03402665270395,-1.987001265474017,0.04786922398417623,0.9999995451644329,-14.268129353443946,-0.007933009394644586,14.03402665270395,-1.629612427194804,0.10427634717428957,0.9670419452384361,-14.60864419041451,-0.006389245549604183,14.03402665270395,-1.2019474249002404,0.2303709946243766,1,-15.123950145880729,7.718819225157603e-4,14.03402665270395,0.21417442474045836,0.8305625543544221,0.9999998483881443,-16.212604069291576,-3.552713678800501e-15,14.03402665270395,-7.744619485139434e-13,0.9999999999993826,0.999999999999482,-15.994359551181898,0.0015437638450368496,14.03402665270395,0.27766574300857194,0.781468119691751,1,-15.763419517420719,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig
