term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.sub_types,EffectType
Sex,Male - Female,0.006473657217103612,0.0034312337734575572,1.886684978208375,0.05920270932200634,4.078192989664031,-2.514374014106653e-4,0.013198751835617889,0.014672318226279747,17,1123,Female,Dom,Cd40.GLU_3,MER
Sex,Male - Female,0.006473657217103612,0.0034312337734575572,1.886684978208375,0.05920270932200634,4.078192989664031,-2.514374014106653e-4,0.013198751835617889,0.014672318226279747,11,1119,Female,Dom,Cd40.GLU_3,MER
Sex,Male - Female,0.006473657217103612,0.0034312337734575572,1.886684978208375,0.05920270932200634,4.078192989664031,-2.514374014106653e-4,0.013198751835617889,0.014672318226279747,17,825,Female,Dom,Cd40.GLU_3,MER
Sex,Male - Female,0.01239540266877922,0.004554870984576681,2.721350991224885,0.006501568900757646,7.26499638617892,0.00346801958478243,0.02132278575277601,0.0138142747505756,8,377,Female,Sub,Cd40.GLU_3,MER
Sex,Male - Female,0.01239540266877922,0.004554870984576681,2.721350991224885,0.006501568900757646,7.26499638617892,0.00346801958478243,0.02132278575277601,0.0138142747505756,9,456,Female,Sub,Cd40.GLU_3,MER
Sex,Male - Female,0.01239540266877922,0.004554870984576681,2.721350991224885,0.006501568900757646,7.26499638617892,0.00346801958478243,0.02132278575277601,0.0138142747505756,1,470,Female,Sub,Cd40.GLU_3,MER
Sex,Male - Female,0.006473657217103612,0.0034312337734575572,1.886684978208375,0.05920270932200634,4.078192989664031,-2.514374014106653e-4,0.013198751835617889,0.02114597544338336,17,767,Male,Dom,Cd40.GLU_3,MER
Sex,Male - Female,0.006473657217103612,0.0034312337734575572,1.886684978208375,0.05920270932200634,4.078192989664031,-2.514374014106653e-4,0.013198751835617889,0.02114597544338336,18,1261,Male,Dom,Cd40.GLU_3,MER
Sex,Male - Female,0.006473657217103612,0.0034312337734575572,1.886684978208375,0.05920270932200634,4.078192989664031,-2.514374014106653e-4,0.013198751835617889,0.02114597544338336,27,904,Male,Dom,Cd40.GLU_3,MER
Sex,Male - Female,0.01239540266877922,0.004554870984576681,2.721350991224885,0.006501568900757646,7.26499638617892,0.00346801958478243,0.02132278575277601,0.02620967741935482,13,864,Male,Sub,Cd40.GLU_3,MER
Sex,Male - Female,0.01239540266877922,0.004554870984576681,2.721350991224885,0.006501568900757646,7.26499638617892,0.00346801958478243,0.02132278575277601,0.02620967741935482,30,911,Male,Sub,Cd40.GLU_3,MER
Sex,Male - Female,0.01239540266877922,0.004554870984576681,2.721350991224885,0.006501568900757646,7.26499638617892,0.00346801958478243,0.02132278575277601,0.02620967741935482,22,705,Male,Sub,Cd40.GLU_3,MER
Status,Sub - Dom,-8.580434757041473e-4,0.0038947627910782805,-0.2203069921664201,0.8256320749738605,0.276429075789402,-0.008491638274544275,0.00677555132313598,0.014672318226279747,17,1123,Female,Dom,Cd40.GLU_3,MER
Status,Sub - Dom,-8.580434757041473e-4,0.0038947627910782805,-0.2203069921664201,0.8256320749738605,0.276429075789402,-0.008491638274544275,0.00677555132313598,0.014672318226279747,11,1119,Female,Dom,Cd40.GLU_3,MER
Status,Sub - Dom,-8.580434757041473e-4,0.0038947627910782805,-0.2203069921664201,0.8256320749738605,0.276429075789402,-0.008491638274544275,0.00677555132313598,0.014672318226279747,17,825,Female,Dom,Cd40.GLU_3,MER
Status,Sub - Dom,-8.580434757041473e-4,0.0038947627910782805,-0.2203069921664201,0.8256320749738605,0.276429075789402,-0.008491638274544275,0.00677555132313598,0.0138142747505756,8,377,Female,Sub,Cd40.GLU_3,MER
Status,Sub - Dom,-8.580434757041473e-4,0.0038947627910782805,-0.2203069921664201,0.8256320749738605,0.276429075789402,-0.008491638274544275,0.00677555132313598,0.0138142747505756,9,456,Female,Sub,Cd40.GLU_3,MER
Status,Sub - Dom,-8.580434757041473e-4,0.0038947627910782805,-0.2203069921664201,0.8256320749738605,0.276429075789402,-0.008491638274544275,0.00677555132313598,0.0138142747505756,1,470,Female,Sub,Cd40.GLU_3,MER
Status,Sub - Dom,0.00506370197597146,0.004165459334107861,1.2156407180616446,0.22412181595514885,2.157645007670329,-0.003100448297946142,0.013227852249889063,0.02114597544338336,17,767,Male,Dom,Cd40.GLU_3,MER
Status,Sub - Dom,0.00506370197597146,0.004165459334107861,1.2156407180616446,0.22412181595514885,2.157645007670329,-0.003100448297946142,0.013227852249889063,0.02114597544338336,18,1261,Male,Dom,Cd40.GLU_3,MER
Status,Sub - Dom,0.00506370197597146,0.004165459334107861,1.2156407180616446,0.22412181595514885,2.157645007670329,-0.003100448297946142,0.013227852249889063,0.02114597544338336,27,904,Male,Dom,Cd40.GLU_3,MER
Status,Sub - Dom,0.00506370197597146,0.004165459334107861,1.2156407180616446,0.22412181595514885,2.157645007670329,-0.003100448297946142,0.013227852249889063,0.02620967741935482,13,864,Male,Sub,Cd40.GLU_3,MER
Status,Sub - Dom,0.00506370197597146,0.004165459334107861,1.2156407180616446,0.22412181595514885,2.157645007670329,-0.003100448297946142,0.013227852249889063,0.02620967741935482,30,911,Male,Sub,Cd40.GLU_3,MER
Status,Sub - Dom,0.00506370197597146,0.004165459334107861,1.2156407180616446,0.22412181595514885,2.157645007670329,-0.003100448297946142,0.013227852249889063,0.02620967741935482,22,705,Male,Sub,Cd40.GLU_3,MER
