Gene,logFC_DvsS,AveExpr_DvsS,t_DvsS,P.Value_DvsS,adj.P.Val_DvsS,B_DvsS,logFC_DvsS_M,AveExpr_DvsS_M,t_DvsS_M,P.Value_DvsS_M,adj.P.Val_DvsS_M,B_DvsS_M,logFC_DvsS_F,AveExpr_DvsS_F,t_DvsS_F,P.Value_DvsS_F,adj.P.Val_DvsS_F,B_DvsS_F,logFC_MvsF,AveExpr_MvsF,t_MvsF,P.Value_MvsF,adj.P.Val_MvsF,B_MvsF,logFC_MvsFD,AveExpr_MvsFD,t_MvsFD,P.Value_MvsFD,adj.P.Val_MvsFD,B_MvsFD,logFC_MvsFS,AveExpr_MvsFS,t_MvsFS,P.Value_MvsFS,adj.P.Val_MvsFS,B_MvsFS,Sig_DvsS,Direction.type_DvsS,Sig.direction_DvsS,Sig_DvsS_M,Direction.type_DvsS_M,Sig.direction_DvsS_M,Sig_DvsS_F,Direction.type_DvsS_F,Sig.direction_DvsS_F,Sig_MvsF,Direction.type_MvsF,Sig.direction_MvsF,Sig_MvsFD,Direction.type_MvsFD,Sig.direction_MvsFD,Sig_MvsFS,Direction.type_MvsFS,Sig.direction_MvsFS
Oxt,-0.22388425854348082,14.35695827592355,-21.95444275856228,1.2857244429083271e-93,2.0931593930547564e-90,201.45904207714304,-0.26515524838097626,14.35695827592355,-19.778691683801505,4.39757880093309e-78,7.159258287919071e-75,166.01633970520166,-0.18261326870598538,14.35695827592355,-11.880906692776664,2.924708949384368e-31,4.761426169597751e-28,58.72363613754034,-0.17206685700548885,14.35695827592355,-16.873146809645252,6.347915905185969e-59,5.167203546821379e-56,121.74395129569973,-0.2133378468429843,14.35695827592355,-16.485653680681235,1.595446585761072e-56,1.2986935208095126e-53,116.46599355310876,-0.1307958671679934,14.35695827592355,-8.297094561302691,2.2352087406527617e-16,7.277839659565393e-14,24.794319644665674,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down
Avp,-0.07529197316650649,14.12425202201909,-7.9822871166956375,2.7143682960239386e-15,2.209495792963486e-12,21.90018933423607,-0.11948804621108167,14.12425202201909,-9.636106683954782,2.113671186183913e-21,1.7205283455537052e-18,36.06949440096889,-0.031095900121931308,14.12425202201909,-2.187258910509212,0.028867710980212166,0.3884019295519455,-6.558602604289076,-0.048676322720272225,14.12425202201909,-5.160555201268032,2.7693053858990246e-7,1.878512153434838e-5,3.8550919575699574,-0.09287239576484652,14.12425202201909,-7.758981572186486,1.5137334911054986e-14,4.1072635391995856e-12,20.44399036892002,-0.004480249675696157,14.12425202201909,-0.30726567122694776,0.7586810849082274,0.9658427858241939,-8.875668086206828,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig
Apoe,-0.08273601009143938,14.33609827618923,-7.741346855107553,1.7305457655445343e-14,9.391095021021672e-12,20.075318756604272,-0.040476294103775956,14.33609827618923,-2.8808534731421633,0.0040187581631900525,0.08492621247874929,-4.943881909578537,-0.12499572607910281,14.33609827618923,-7.759531714188101,1.507418853041497e-14,8.18025964250519e-12,20.618682028914083,-0.12447175035953251,14.33609827618923,-11.64642810464944,3.773725748681808e-30,1.2287251037707967e-27,55.77919334894173,-0.08221203437186908,14.33609827618923,-6.061732310494679,1.6757637427368523e-9,3.0312704146395505e-7,9.053808980571885,-0.16673146634719593,14.33609827618923,-10.091894035616962,2.9226697526289746e-23,1.5860354524266567e-20,40.469547234106656,Sig,down,down,Not Sig,down,Not Sig,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down
mt-Co3,-0.047327117489397,14.695873048274613,-6.23156745539192,5.890007984497835e-10,2.397233249690619e-7,9.836879045972264,0.02038760658264671,14.695873048274613,2.0419822581476277,0.04131668504739942,0.277948608500687,-7.001717148573407,-0.1150418415614407,14.695873048274613,-10.049893677635954,4.3664818820098944e-23,3.554316251956054e-20,40.04689291047387,0.13082822004608818,14.695873048274613,17.226168030806125,3.822779902254131e-61,6.223485680869725e-58,126.84162032104294,0.19854294411813278,14.695873048274613,20.60065881069466,7.647571805785125e-84,1.2450246899818183e-80,179.2189141158446,0.06311349597404536,14.695873048274613,5.375794300550231,8.74875066318717e-8,1.1869138399723927e-5,5.404384307683614,Sig,down,down,Not Sig,up,Not Sig,Sig,down,down,Sig,up,up,Sig,up,up,Sig,up,up
Ano1,0.02879388591713017,14.003377134823644,6.062508987694774,1.6678697036970875e-9,5.430583755237717e-7,8.821027438012539,0.037541165914484864,14.003377134823644,6.0125450811159675,2.2573393514011503e-9,1.1602959461882948e-6,8.798479977368878,0.020046605919775473,14.003377134823644,2.800343872116763,0.005166082858437435,0.17164046721502332,-5.034992134699772,0.028393227078594485,14.003377134823644,5.9781508772051835,2.7765183236369694e-9,4.1092471189827147e-7,8.32412325005322,0.03714050707594829,14.003377134823644,6.162250518039796,9.053868151437155e-10,2.1056710500770985e-7,9.654482395261324,0.0196459470812389,14.003377134823644,2.6758283121708444,0.007530408109747704,0.07521168345195865,-5.349234040240073,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig
Fgf14,0.059969200897547204,14.498691625531666,5.4301345623653745,6.496722020276181e-8,1.7627772415016038e-5,5.258816008792744,0.005421237383359312,14.498691625531666,0.3734042252847526,0.7088970015192693,0.9779206411680221,-9.015145004976505,0.1145171644117351,14.498691625531666,6.879728685635267,8.570731264990903e-12,2.7906300998810385e-9,14.3850517084567,0.07085979362732964,14.498691625531666,6.416263827080247,1.8340632886780714e-10,3.732318792459875e-8,10.977039013272176,0.016311830113140857,14.498691625531666,1.1639234683079935,0.24462827728874623,0.5808106599249766,-8.442795828035718,0.12540775714151664,14.498691625531666,7.345813358295362,3.241898702468312e-13,8.796351812697353e-11,17.62516701492983,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
Pmch,0.01655421973440241,13.988033135492815,5.383447474580147,8.391123207918178e-8,1.951535511784399e-5,5.0107745712825835,-1.9539925233402755e-14,13.988033135492815,-4.833627019555006e-12,0.999999999996144,0.999999999996144,-9.084892042768583,0.03310843946882436,13.988033135492815,7.143464179079504,1.37588620582604e-12,5.599856857711982e-10,16.180014524542447,-0.016554219734403297,13.988033135492815,-5.383447474580437,8.391123207904906e-8,8.035734460275992e-6,5.010774571284156,-0.03310843946882436,13.988033135492815,-8.484570859786551,4.851641495506775e-17,1.579694470937006e-14,26.106510465488753,1.9539925233402755e-14,13.988033135492815,4.110624638247472e-12,0.9999999999967207,0.9999999999967207,-8.922894020701332,Sig,up,up,Not Sig,down,Not Sig,Sig,up,up,Sig,down,down,Sig,down,down,Not Sig,up,Not Sig
Malat1,0.01957326657935443,15.237621744711635,4.9045539855972224,1.0314615450547591e-6,2.0394659365049605e-4,2.586120613306715,0.021906349711045436,15.237621744711635,4.17546356252457,3.1336968673512916e-5,0.003401105666698602,-0.4104032441585428,0.017240183447663426,15.237621744711635,2.8661339700639834,0.004209430535551471,0.15180652886711402,-4.849436340261796,-0.013192653352165351,15.237621744711635,-3.3057374616873587,9.68195683485754e-4,0.010689090362997708,-3.9100094497653997,-0.010859570220475234,15.237621744711635,-2.144313360228436,0.03215779108663353,0.18697458531799782,-6.8233007432208215,-0.015525736483857244,15.237621744711635,-2.516642796959984,0.01194483114536466,0.10626330658280693,-5.760968804993818,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,down,down,Not Sig,down,Not Sig,Not Sig,down,Not Sig
Sst,-0.03034048523072652,14.023580723295598,-4.886794066288278,1.1274688838172387e-6,2.0394659365049605e-4,2.5003976422529206,-7.404309184551039e-4,14.023580723295598,-0.09071613417515911,0.9277294867217925,0.999999999996144,-9.080775295936867,-0.05994053954299794,14.023580723295598,-6.405315986247183,1.9670873602942892e-10,5.337363704265171e-8,11.316901508062436,-0.015487824494782032,14.023580723295598,-2.494548398460229,0.012711785746700463,0.07185689998482067,-6.25134452909846,0.014112229817490274,14.023580723295598,1.7911689883776987,0.07345482671611087,0.30158584394399635,-7.516860355070278,-0.04508787880705256,14.023580723295598,-4.697799514584867,2.8545617690575253e-6,2.5817925333475837e-4,2.041393312023576,Sig,down,down,Not Sig,down,Not Sig,Sig,down,down,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Sig,down,down
Enox1,0.04506953276524506,14.106091067417461,4.76214061344634,2.088338792171318e-6,3.3998155536549057e-4,1.9072957283679415,0.038988658940803944,14.106091067417461,3.133689265488697,0.0017575071667332905,0.04541621694352059,-4.18743421302821,0.05115040658968617,14.106091067417461,3.5858048050610627,3.461200356814833e-4,0.03314608341702675,-2.5419090568961487,0.028559704824947296,14.106091067417461,3.017677839336292,0.002587348679977276,0.022768668383800032,-4.815612724249261,0.022478831000505295,14.106091067417461,1.8716829605349803,0.06143251298637132,0.26884981489734544,-7.36963859101872,0.03464057864938752,14.106091067417461,2.3677587811828062,0.018014349615783652,0.14429824890044865,-6.1233872441316475,Sig,up,up,Sig,up,up,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Cacna2d3,-0.04453272567038269,14.084456402876494,-4.610588513772078,4.333884544880403e-6,6.414149126422996e-4,1.2062857582589643,-0.07507422677969444,14.084456402876494,-5.912435663992469,4.1112467256800095e-9,1.3386219338814113e-6,8.214244247805848,-0.013991224561070936,14.084456402876494,-0.9610615652817655,0.3366661898081612,0.9999999999992495,-8.486285956743934,0.016990490229195743,14.084456402876494,1.7590694913647633,0.07875651756199042,0.2376283318252724,-7.811893474613786,-0.01355101088011601,14.084456402876494,-1.1055749397994168,0.26907648286867236,0.6118107738969255,-8.508987088381392,0.047531991338507495,14.084456402876494,3.1834369644955713,0.0014833266224210822,0.026248431970668715,-3.869443864695154,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig,Sig,up,up
Frmpd4,0.04996891590912078,14.152959420615923,4.305701402028085,1.765471642746434e-5,0.002395156528659329,-0.13701454240159805,0.039725211465750476,14.152959420615923,2.603806292830443,0.009304647520682243,0.13555927358144884,-5.700455239701814,0.060212620352491086,14.152959420615923,3.442309409680898,5.916009356297959e-4,0.043778469236604896,-3.0425314754025354,0.039216578218487896,14.152959420615923,3.3791983025044265,7.444145475451619e-4,0.008792578627564338,-3.66603667780484,0.02897287377511759,14.152959420615923,1.9673197901986037,0.04931860595447935,0.2405017506626644,-7.186392181803605,0.0494602826618582,14.152959420615923,2.7569807509688165,0.005899947236550277,0.06277852353662647,-5.129703235778093,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Pcdh11x,0.04384832188581811,14.098967770399652,4.260492875107389,2.1584126656876527e-5,0.0027029967844149987,-0.32856091202117277,0.03875768799749757,14.098967770399652,2.86459481792369,0.0042298430011172205,0.08676720193841643,-4.990372365293578,0.04893895577413865,14.098967770399652,3.154859044155986,0.001635579647395648,0.08068859593818531,-3.984735210585039,0.021513211853616987,14.098967770399652,2.090316844090119,0.036746592618338916,0.14734840586861025,-7.175474696099067,0.016422577965297336,14.098967770399652,1.2574409624944693,0.20877721034836624,0.5395068229319687,-8.329622186076124,0.026603845741938414,14.098967770399652,1.6721854722555711,0.09468295522417068,0.3456140159303809,-7.525382181734202,Sig,up,up,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Phactr1,0.047693346908263656,14.216314539066964,4.194453187875648,2.8850180204165463e-5,0.0033548638123129556,-0.604814678284475,0.06983811827182862,14.216314539066964,4.672061534152839,3.231272181656799e-6,5.260511111737269e-4,1.760916911210865,0.025548575544698693,14.216314539066964,1.4907425175250206,0.1362258973629692,0.8432538437525241,-7.8372884659904765,0.039246864734840514,14.216314539066964,3.4516163694239115,5.71714193860149e-4,0.007271489903158771,-3.4203518037432925,0.061391636098406366,14.216314539066964,4.254672775470594,2.214677232624336e-5,0.001243273977487041,-0.11527508610011417,0.01710209337127644,14.216314539066964,0.9729711959284858,0.3307144475218392,0.6253230204013406,-8.449484512919797,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig
Gm29683,-0.022199039274998,14.011417180844152,-4.162187879533882,3.3195528780961715e-5,0.003602821390360378,-0.7382500281869451,-0.03215775325644721,14.011417180844152,-4.586397295773023,4.860019122171903e-6,7.192828300814417e-4,1.3693964946961525,-0.012240325293548793,14.011417180844152,-1.5226456839507485,0.1280446582088916,0.8305047950759981,-7.789266166660334,0.00619735490322082,14.011417180844152,1.1619671979411772,0.24542180641664516,0.480224400055647,-8.683244628543182,-0.0037613590782274997,14.011417180844152,-0.5557400570489417,0.5784661407407508,0.8727922864929956,-8.965724707705007,0.016156068884670916,14.011417180844152,1.9595500282356397,0.050221522053241825,0.23736177984852808,-7.004410268993334,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig
Nrg1,0.06295689523835968,14.321724828343806,4.042371488076126,5.542312965022697e-5,0.005639303441910594,-1.2249292314005853,0.07287557038460157,14.321724828343806,3.5593718391736013,3.8258587449123074e-4,0.016180157594980916,-2.7720966422419284,0.05303822009211778,14.321724828343806,2.2594371042902095,0.02399003518252307,0.3600397510424748,-6.398545723841542,0.024951709319007698,14.321724828343806,1.6021132863690448,0.10932763031112926,0.28659103027756183,-8.07535271911419,0.034870384465248705,14.321724828343806,1.7643675462417479,0.07786059193197416,0.3137550585773612,-7.56443740144543,0.015033034172764914,14.321724828343806,0.6244141314259279,0.5324445253611088,0.7885599743731483,-8.727883570876346,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Tafa2,0.033094073440889105,14.062169940227259,3.9047991467684375,9.821825943739912e-5,0.009405842727299163,-1.7665477244701853,0.04532993169677013,14.062169940227259,4.068478371282952,4.962227537386815e-5,0.004488059128258741,-0.8469879818818189,0.020858215185008078,14.062169940227259,1.6328414351785168,0.10269879032490935,0.7624070726419392,-7.6155959769307895,0.02816142322269677,14.062169940227259,3.3227913622716883,9.112893683749148e-4,0.010231579942857665,-3.8538440789841237,0.040397281478577796,14.062169940227259,3.7561248481492004,1.7873891481067132e-4,0.005705626535524959,-2.093290459652806,0.015925564966815742,14.062169940227259,1.2155602235808538,0.22433152708639736,0.5540106536059611,-8.184109027067523,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig
Fam155a,0.04358525734253682,14.46065196145114,3.8522778513843297,1.2163597792664065e-4,0.010803790912261604,-1.9684702433065926,0.005263150779551751,14.46065196145114,0.3538525051303313,0.7234959685840257,0.9808091354361962,-9.022257517862277,0.08190736390552189,14.46065196145114,4.803074617701231,1.7083641083952538e-6,3.090240853852748e-4,2.50958052024758,0.046492880026647754,14.46065196145114,4.109267740836048,4.1697680162619325e-5,9.806049687689227e-4,-0.9549211731664009,0.008170773463662684,14.46065196145114,0.5690894889396219,0.5693751568074805,0.8654927687045548,-8.958214469621929,0.08481498658963282,14.46065196145114,4.849352406217478,1.3588305798946818e-6,1.4747841227123612e-4,2.755016757598952,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
