Gene,logFC_DvsS,AveExpr_DvsS,t_DvsS,P.Value_DvsS,adj.P.Val_DvsS,B_DvsS,logFC_DvsS_M,AveExpr_DvsS_M,t_DvsS_M,P.Value_DvsS_M,adj.P.Val_DvsS_M,B_DvsS_M,logFC_DvsS_F,AveExpr_DvsS_F,t_DvsS_F,P.Value_DvsS_F,adj.P.Val_DvsS_F,B_DvsS_F,logFC_MvsF,AveExpr_MvsF,t_MvsF,P.Value_MvsF,adj.P.Val_MvsF,B_MvsF,logFC_MvsFD,AveExpr_MvsFD,t_MvsFD,P.Value_MvsFD,adj.P.Val_MvsFD,B_MvsFD,logFC_MvsFS,AveExpr_MvsFS,t_MvsFS,P.Value_MvsFS,adj.P.Val_MvsFS,B_MvsFS,Sig_DvsS,Direction.type_DvsS,Sig.direction_DvsS,Sig_DvsS_M,Direction.type_DvsS_M,Sig.direction_DvsS_M,Sig_DvsS_F,Direction.type_DvsS_F,Sig.direction_DvsS_F,Sig_MvsF,Direction.type_MvsF,Sig.direction_MvsF,Sig_MvsFD,Direction.type_MvsFD,Sig.direction_MvsFD,Sig_MvsFS,Direction.type_MvsFS,Sig.direction_MvsFS
Dleu2,-0.006167395084859528,13.787741833115872,-2.203869937393169,0.02780960049807545,0.40303768837790505,-10.420468595770725,-0.0017507256589883724,13.787741833115872,-0.48153055248687543,0.6302674387594317,0.9999999999971274,-12.466980634005171,-0.010584064510730684,13.787741833115872,-2.487350989051703,0.013066803442215053,0.27596706268932863,-9.340091148970034,-0.003034879804418189,13.787741833115872,-1.0844903354705786,0.2784649337775516,0.6453416773523791,-12.256441450986594,0.0013817896214529668,13.787741833115872,0.3977340541543674,0.6909293397775056,1,-12.549321056551738,-0.007451549230289345,13.787741833115872,-1.698132485141026,0.08986064155472744,0.4525362368529646,-10.953908326060322,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig
Kif4,0.004357396622213905,13.785213387362935,2.198345477580649,0.028202117283983922,0.4057858602012075,-10.432572067610996,0.0074985364086508355,13.785213387362935,2.9118360384647763,0.003690178985833814,0.18813069599568388,-8.3602057836897,0.0012162568357769743,13.785213387362935,0.4035473967559601,0.6866503653152939,0.9999999999996001,-12.344209602424462,0.0031411397864324897,13.785213387362935,1.5847330510950963,0.11341102555810437,0.43040237403455167,-11.589494289450046,0.006282279572868532,13.785213387362935,2.553011502343095,0.010858906090582663,0.23104055511878005,-9.3784622289437,-5.3290705182007514e-15,13.785213387362935,-1.7145933051788205e-12,0.9999999999986324,0.9999999999993232,-12.394964074416801,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig
Mmd2,-0.011076635606621643,13.799375276094246,-2.1779108048238434,0.029695691613707848,0.42422416591011214,-10.477078846998166,-0.009386599567042353,13.799375276094246,-1.4205681468622038,0.15582073062665633,0.6098161886143949,-11.57404464098423,-0.012766671646200933,13.799375276094246,-1.6508602606253584,0.09914827536837634,0.767740766547846,-11.063653804665995,0.001462337922084167,13.799375276094246,0.28752788065961543,0.7737804734487994,0.9999999903203922,-12.803410954099379,0.003152373961663457,13.799375276094246,0.49927131222774845,0.6177215730213224,1,-12.50373737248808,-2.2769811749512314e-4,13.799375276094246,-0.02855173245225929,0.977229023820557,0.9999999999993232,-12.394555979166219,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig
Gabrb2,0.02513428837012821,13.88136560202803,2.174921845897832,0.029919795447423084,0.42439426166557565,-10.483554724734322,0.00642538934125092,13.88136560202803,0.427954966616626,0.6687957665312558,0.9999999999971274,-12.491367248276752,0.0438431873990055,13.88136560202803,2.4950519112086367,0.01278862152525167,0.27596706268932863,-9.321022270328644,0.046225579576263165,13.88136560202803,3.999994803083043,6.904079812937822e-5,0.0032876570537799157,-4.911899021246829,0.027516680547385874,13.88136560202803,1.9179609656675587,0.05546142101303266,0.45849231814618313,-10.791085519200713,0.06493447860514046,13.88136560202803,3.5833829608155714,3.5909453781149826e-4,0.015280618630276521,-6.016440285113875,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
Cacna1c,0.03124033283343497,13.981781354400663,2.162006074372305,0.0309050067660704,0.4324051351544422,-10.511436946254209,0.027352267215070114,13.981781354400663,1.456988582885394,0.14550060191025077,0.6098161886143949,-11.521711632363644,0.035128398451799825,13.981781354400663,1.5988216179992176,0.11024370643566354,0.7957701367588661,-11.148040428057413,0.01672519811883877,13.981781354400663,1.1574774225615627,0.24741286360629175,0.6049214269102489,-12.174649864730728,0.012837132500473913,13.981781354400663,0.7156092434474578,0.4744354491729188,0.8785841651350348,-12.37222625935313,0.020613263737203624,13.981781354400663,0.909764156196863,0.3632130102661003,0.8456647503285223,-11.980834371722064,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
1700042O10Rik,-0.01597983357997368,13.814571706197585,-2.1618514671515237,0.030916967163542614,0.4324051351544422,-10.51176971369199,-0.0173461470758145,13.814571706197585,-1.806251349406593,0.07124394993068191,0.5439220849312354,-10.953014665248832,-0.014613520084132858,13.814571706197585,-1.30019605663787,0.19389744320452343,0.9504776627672717,-11.580312007506093,0.005917618338622255,13.814571706197585,0.8005722852724698,0.42361012656450847,0.714611154420315,-12.524072956405439,0.004551304842781434,13.814571706197585,0.49597088762651714,0.620047249349069,1,-12.505381232822051,0.0072839318344630755,13.814571706197585,0.6284348735060479,0.5298932961065976,0.9858479927564607,-12.197306576465236,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Stk32a,0.015611466048828682,13.816961693778408,2.1563222593858833,0.03134733073672811,0.4353795935656682,-10.523654985716908,0.01451843251851237,13.816961693778408,1.5435164697033288,0.12308956750879023,0.6098161886143949,-11.392094826105161,0.016704499579144994,13.816961693778408,1.5174131768494388,0.1295460563906868,0.8225146437503924,-11.274664864112445,0.03304957032684985,13.816961693778408,4.564947579940613,5.757818485567932e-6,3.4376439403390694e-4,-2.5425408812391606,0.03195653679653354,13.816961693778408,3.555464486231932,3.9882092289116706e-4,0.028487208777940504,-6.348235651712539,0.034142603857166165,13.816961693778408,3.007512360141672,0.002714048363273726,0.05792628219683122,-7.891588703321556,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig
Rtkn2,0.004226627418731255,13.785183531782303,2.149652305104413,0.03187350172052311,0.43734362407721666,-10.537954481165851,0.005027846491369559,13.785183531782303,1.9682389619990663,0.049375740851453916,0.48407589070052864,-10.648254677432627,0.0034254083460929508,13.785183531782303,1.1457424662730937,0.2522346609816477,0.9585174265995386,-11.769088995168369,8.012190726311985e-4,13.785183531782303,0.4074980488562408,0.6837481652498618,0.9347050290985478,-12.761675402282433,0.0016024381452695025,13.785183531782303,0.6564810427834933,0.5116981102402304,0.9086556190545343,-12.412816755463052,-7.105427357601002e-15,13.785183531782303,-2.304651503204388e-12,0.9999999999981617,0.9999999999993232,-12.394964074416801,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig
Gm12802,0.004286939520735444,13.785221135931282,2.146858158942099,0.0320960927743323,0.43734362407721666,-10.543930809172304,0.005007878304221336,13.785221135931282,1.9303289422375554,0.05390927493378408,0.5158782290314265,-10.721901877839828,0.003566000737249553,13.785221135931282,1.1744589124466485,0.24055086579691767,0.9585174265995386,-11.73578901136453,7.209387834796743e-4,13.785221135931282,0.36103922201953664,0.7181627524991742,0.9534496917345205,-12.779546539246327,0.0014418775669646777,13.785221135931282,0.5816356805197049,0.5609713241510846,0.9524131140086327,-12.459185015016496,-7.105427357601002e-15,13.785221135931282,-2.2692743468088093e-12,0.9999999999981899,0.9999999999993232,-12.394964074416801,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig
Nav3,0.03288756684245886,14.06470561852076,2.1446143163827878,0.03227563420828726,0.43734362407721666,-10.548722380582838,0.0027123702385516424,14.06470561852076,0.1361407026754983,0.891743313401606,0.9999999999971274,-12.5737626489771,0.06306276344636608,14.06470561852076,2.704524119124304,0.00698138423395449,0.2083995293717758,-8.780222300707244,0.014921033695062036,14.06470561852076,0.9730079038972017,0.3308349979201469,0.6968980487692809,-12.37112053197612,-0.01525416290884607,14.06470561852076,-0.8012582190044268,0.42321322465723177,0.8567675368627502,-12.307233865081159,0.045096230298968365,14.06470561852076,1.875419819127693,0.06108850926524181,0.3680030678629025,-10.63797801515007,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,down,Not Sig,Not Sig,up,Not Sig
