neuron.np,EffectType,term,Estimate,Std.error,lwr,upr,t.val
Igf2,AIE,Sex:Status,-7.052980192039941e-4,9.313178430045767e-4,-0.0025306809914929645,-0.0025306809914929645,NA
Igf2,HypotheticalInt,Sex:Status,4.134449075279156e-6,9.313178430045766e-4,-9.271833939292974e-4,9.354522920798558e-4,-0.7573118291480304
Trh,AIE,Sex:Status,0.0128180385682795,0.004084444322187223,0.004812527696792544,0.004812527696792544,NA
Trh,HypotheticalInt,Sex:Status,0.007340028063944671,0.004084444322187223,0.0032555837417574483,0.011424472386131894,3.1382576324153275
Pmch,AIE,Sex:Status,0.00880339093356718,0.001686740925410733,0.005497378719762143,0.005497378719762143,NA
Pmch,HypotheticalInt,Sex:Status,4.1067571984516237e-10,0.0016867410441355685,-0.0016867406334598488,0.0016867414548112883,5.219171587822952
Hcrt,AIE,Sex:Status,0.003337689442321741,0.0010566476165894026,0.0012666601138065121,0.0012666601138065121,NA
Hcrt,HypotheticalInt,Sex:Status,6.882474519437664e-8,0.0010566476110395458,-0.0010565787862943513,0.0010567164357847402,3.15875359717898
Agrp,AIE,Sex:Status,-0.01196425936758891,0.005503921349335534,-0.022751945212286556,-0.022751945212286556,NA
Agrp,HypotheticalInt,Sex:Status,0.015542147371604701,0.005503921349335534,0.010038226022269166,0.021046068720940236,-2.173770046520252
Prl,AIE,Sex:Status,-7.824723088767284e-4,9.006122143050062e-4,-0.002547672248914541,-0.002547672248914541,NA
Prl,HypotheticalInt,Sex:Status,4.129840667375584e-6,9.006122140875719e-4,-8.964823734201962e-4,9.047420547549475e-4,-0.8688226704425352
Apln,AIE,Sex:Status,-3.4106412009415443e-4,3.410059544349203e-4,-0.001009435790786598,-0.001009435790786598,NA
Apln,HypotheticalInt,Sex:Status,8.467380309789961e-11,3.410059541647424e-4,-3.4100586949093934e-4,3.410060388385455e-4,-1.0001705715947233
Dbi,AIE,Sex:Status,-0.206039616756511,0.01771851403697157,-0.24076790426897526,-0.24076790426897526,NA
Dbi,HypotheticalInt,Sex:Status,0.20263688190008916,0.01771851403697157,0.1849183678631176,0.22035539593706072,-11.628493017336972
Cbln1,AIE,Sex:Status,4.50374882473248e-4,8.146689881337532e-4,-0.001146376334268908,-0.001146376334268908,NA
Cbln1,HypotheticalInt,Sex:Status,5.8370288101204145e-6,8.146689879572021e-4,-8.088319591470817e-4,8.205060167673225e-4,0.5528317502333941
Cbln2,AIE,Sex:Status,4.972934898166161e-4,0.0014915063641049954,-0.0024260589838291744,-0.0024260589838291744,NA
Cbln2,HypotheticalInt,Sex:Status,6.801444859219031e-8,0.0014915063641049954,-0.001491438349656403,0.0014915743785535876,0.3334169412780386
Cbln4,AIE,Sex:Status,-0.0012399331111203084,0.0010106631454071303,-0.0032208328761182837,-0.0032208328761182837,NA
Cbln4,HypotheticalInt,Sex:Status,7.373289578091786e-8,0.0010106631454071305,-0.0010105894125113496,0.0010107368783029114,-1.2268510202979845
Retn,AIE,Sex:Status,6.216168503731845e-5,5.280251420807891e-4,-9.727675934410282e-4,-9.727675934410282e-4,NA
Retn,HypotheticalInt,Sex:Status,2.4015386443444973e-8,5.280251420807891e-4,-5.280011266943456e-4,5.280491574672326e-4,0.11772485831329517
Nucb2,AIE,Sex:Status,-7.883427293639139e-4,0.0036586770274720944,-0.00795934970320922,-0.00795934970320922,NA
Nucb2,HypotheticalInt,Sex:Status,0.006974080892759363,0.0036586770274720944,0.0033154038652872682,0.010632757920231457,-0.21547207458992546
Ubl5,AIE,Sex:Status,-0.1428964694941622,0.0146493054386908,-0.1716091081539962,-0.1716091081539962,NA
Ubl5,HypotheticalInt,Sex:Status,0.12495509962378916,0.0146493054386908,0.11030579418509837,0.13960440506247995,-9.754487684907795
Qrfp,AIE,Sex:Status,4.032258055554824e-4,4.0314450315276986e-4,-3.869374206239465e-4,-3.869374206239465e-4,NA
Qrfp,HypotheticalInt,Sex:Status,8.501527074931327e-11,4.0314450315276986e-4,-4.031444181374991e-4,4.031445881680406e-4,1.0002016706220145
