term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.00791953778083009,0.001938212862815676,4.086000012055043,4.388737574544487e-5,14.475834467903478,0.0041207103753390945,0.011718365186321087,0.0016302575806978552,2,1123,Female,Dom,Gnrh1,MER
Sex,Male - Female,0.00791953778083009,0.001938212862815676,4.086000012055043,4.388737574544487e-5,14.475834467903478,0.0041207103753390945,0.011718365186321087,0.0016302575806978552,0,1119,Female,Dom,Gnrh1,MER
Sex,Male - Female,0.00791953778083009,0.001938212862815676,4.086000012055043,4.388737574544487e-5,14.475834467903478,0.0041207103753390945,0.011718365186321087,0.0016302575806978552,3,825,Female,Dom,Gnrh1,MER
Sex,Male - Female,-0.0013789517985789493,0.0021941344936238357,-0.6284718655972044,0.52969487157847,0.9167665541284572,-0.005679376383318695,0.0029214727861607967,0.004604758250191854,1,377,Female,Sub,Gnrh1,MER
Sex,Male - Female,-0.0013789517985789493,0.0021941344936238357,-0.6284718655972044,0.52969487157847,0.9167665541284572,-0.005679376383318695,0.0029214727861607967,0.004604758250191854,3,456,Female,Sub,Gnrh1,MER
Sex,Male - Female,-0.0013789517985789493,0.0021941344936238357,-0.6284718655972044,0.52969487157847,0.9167665541284572,-0.005679376383318695,0.0029214727861607967,0.004604758250191854,2,470,Female,Sub,Gnrh1,MER
Sex,Male - Female,0.00791953778083009,0.001938212862815676,4.086000012055043,4.388737574544487e-5,14.475834467903478,0.0041207103753390945,0.011718365186321087,0.009549795361527946,6,767,Male,Dom,Gnrh1,MER
Sex,Male - Female,0.00791953778083009,0.001938212862815676,4.086000012055043,4.388737574544487e-5,14.475834467903478,0.0041207103753390945,0.011718365186321087,0.009549795361527946,14,1261,Male,Dom,Gnrh1,MER
Sex,Male - Female,0.00791953778083009,0.001938212862815676,4.086000012055043,4.388737574544487e-5,14.475834467903478,0.0041207103753390945,0.011718365186321087,0.009549795361527946,8,904,Male,Dom,Gnrh1,MER
Sex,Male - Female,-0.0013789517985789493,0.0021941344936238357,-0.6284718655972044,0.52969487157847,0.9167665541284572,-0.005679376383318695,0.0029214727861607967,0.0032258064516129045,6,864,Male,Sub,Gnrh1,MER
Sex,Male - Female,-0.0013789517985789493,0.0021941344936238357,-0.6284718655972044,0.52969487157847,0.9167665541284572,-0.005679376383318695,0.0029214727861607967,0.0032258064516129045,1,911,Male,Sub,Gnrh1,MER
Sex,Male - Female,-0.0013789517985789493,0.0021941344936238357,-0.6284718655972044,0.52969487157847,0.9167665541284572,-0.005679376383318695,0.0029214727861607967,0.0032258064516129045,1,705,Male,Sub,Gnrh1,MER
Status,Sub - Dom,0.0029745006694939986,0.002012057408113821,1.478337873213274,0.1393173652785883,2.8435530003374354,-9.690593852360991e-4,0.006918060724224096,0.0016302575806978552,2,1123,Female,Dom,Gnrh1,MER
Status,Sub - Dom,0.0029745006694939986,0.002012057408113821,1.478337873213274,0.1393173652785883,2.8435530003374354,-9.690593852360991e-4,0.006918060724224096,0.0016302575806978552,0,1119,Female,Dom,Gnrh1,MER
Status,Sub - Dom,0.0029745006694939986,0.002012057408113821,1.478337873213274,0.1393173652785883,2.8435530003374354,-9.690593852360991e-4,0.006918060724224096,0.0016302575806978552,3,825,Female,Dom,Gnrh1,MER
Status,Sub - Dom,0.0029745006694939986,0.002012057408113821,1.478337873213274,0.1393173652785883,2.8435530003374354,-9.690593852360991e-4,0.006918060724224096,0.004604758250191854,1,377,Female,Sub,Gnrh1,MER
Status,Sub - Dom,0.0029745006694939986,0.002012057408113821,1.478337873213274,0.1393173652785883,2.8435530003374354,-9.690593852360991e-4,0.006918060724224096,0.004604758250191854,3,456,Female,Sub,Gnrh1,MER
Status,Sub - Dom,0.0029745006694939986,0.002012057408113821,1.478337873213274,0.1393173652785883,2.8435530003374354,-9.690593852360991e-4,0.006918060724224096,0.004604758250191854,2,470,Female,Sub,Gnrh1,MER
Status,Sub - Dom,-0.006323988909915042,0.0021266218337005704,-2.973725186913257,0.0029420844007159554,8.408945650323664,-0.010492091112704688,-0.0021558867071253965,0.009549795361527946,6,767,Male,Dom,Gnrh1,MER
Status,Sub - Dom,-0.006323988909915042,0.0021266218337005704,-2.973725186913257,0.0029420844007159554,8.408945650323664,-0.010492091112704688,-0.0021558867071253965,0.009549795361527946,14,1261,Male,Dom,Gnrh1,MER
Status,Sub - Dom,-0.006323988909915042,0.0021266218337005704,-2.973725186913257,0.0029420844007159554,8.408945650323664,-0.010492091112704688,-0.0021558867071253965,0.009549795361527946,8,904,Male,Dom,Gnrh1,MER
Status,Sub - Dom,-0.006323988909915042,0.0021266218337005704,-2.973725186913257,0.0029420844007159554,8.408945650323664,-0.010492091112704688,-0.0021558867071253965,0.0032258064516129045,6,864,Male,Sub,Gnrh1,MER
Status,Sub - Dom,-0.006323988909915042,0.0021266218337005704,-2.973725186913257,0.0029420844007159554,8.408945650323664,-0.010492091112704688,-0.0021558867071253965,0.0032258064516129045,1,911,Male,Sub,Gnrh1,MER
Status,Sub - Dom,-0.006323988909915042,0.0021266218337005704,-2.973725186913257,0.0029420844007159554,8.408945650323664,-0.010492091112704688,-0.0021558867071253965,0.0032258064516129045,1,705,Male,Sub,Gnrh1,MER
