Predictor,Estimate,Std.error,z.value,p.value,neuron.np,p.adjust.fdr,lwr,upr
SexMale,0.7392321298403586,0.7075790657282315,1.044734314008499,0.5830834055950848,Adcyap1,1,-0.9140361548426017,2.392500414523319
StatusSub,-17.836467582051572,4009.6275227120586,-0.004448410103187646,0.9999999233647877,Adcyap1,1,-9386.386694360284,9350.71375919618
SexMale:StatusSub,17.821541931834897,4009.6275685283435,0.004444687599346278,0.9999999235711559,Adcyap1,1,-9350.728791896781,9386.371875760451
SexMale,20.324632529419013,10860.568567727183,0.0018714151476208025,0.9999969536494544,Ghrh,1,-23640.07210932989,23680.72137438873
StatusSub,0.8489112274999698,15386.573236756012,5.517220855076811e-5,0.9999999992126944,Ghrh,1,-33519.71909670578,33521.41691916078
SexMale:StatusSub,-1.3749112380839936,15386.57328552401,-8.935785847635986e-5,0.9999999965821724,Ghrh,1,-33521.943025415356,33519.19320293919
SexMale,1.6572171684913604,0.7750273537743386,2.138269262911571,0.08050512511565766,Crh,0.2415,-0.15284256370580307,3.467276900688524
StatusSub,0.16299884506030518,1.2251884581342696,0.13303981438783843,0.9988935406829489,Crh,0.9989,-2.6984024740307877,3.0244001641513982
SexMale:StatusSub,-0.5073924294680846,1.329849562793634,-0.38154122365705645,0.9580321375131899,Crh,0.9989,-3.6132275097014293,2.5984426507652603
SexMale,2.65339079439409,0.3676933414749098,7.216314507493329,6.10178574333986e-13,Tac1,0,1.8137031260470426,3.4930784627411375
StatusSub,1.0842665156560711,0.47549335116387914,2.2802979536981534,0.05132164336652634,Tac1,0.0513,-0.001600043014168273,2.1701330743263103
SexMale:StatusSub,-2.193901430512483,0.5193386749200025,-4.224413733197177,3.8433302035456585e-5,Tac1,1e-4,-3.379895931464791,-1.007906929560175
SexMale,0.05666759793097095,25249.532050643287,2.244302897071996e-6,1,Nms,1,-59547.63690280435,59547.750238000204
StatusSub,0.8489112584288235,25368.170565003395,3.346363728726806e-5,0.9999999999999729,Nms,1,-59826.637959257045,59828.3357817739
SexMale:StatusSub,20.99247307512304,30991.229509539633,6.773681911736092e-4,0.9999999997436334,Nms,1,-73067.73782507936,73109.7227712296
SexMale,20.73043900333131,10860.568597065572,0.0019087802648686816,0.9999968101064325,Nmu,1,-23638.803833144197,23680.26471115086
StatusSub,20.442586238722424,10860.568627777287,0.001882275867806581,0.9999968982993569,Nmu,1,-23639.091752813674,23679.976925291117
SexMale:StatusSub,-40.96496777556689,15376.024230230048,-0.0026642106673471335,0.9999937382362738,Nmu,1,-33537.33018964722,33455.40025409609
SexMale,2.0346516104368315,0.5339862058417811,3.810307435244299,2.141292463987421e-4,Agt,6e-4,0.8204562859986313,3.248846934875032
StatusSub,1.9625900034163613,0.5782922703340526,3.3937683488016606,0.0015332409403258085,Agt,0.0015,0.6476500983836708,3.2775299084490515
SexMale:StatusSub,-2.274743418224194,0.6520818901354476,-3.4884321319699496,0.0011107498770625002,Agt,0.0015,-3.757468577585108,-0.79201825886328
SexMale,1.6428943394980167,0.14061675142979493,11.683489504579097,0,Nts,0,1.3154820836650807,1.9703065953309526
StatusSub,0.5847941439656648,0.1938766232443033,3.016321071513442,0.0074834054362443725,Nts,0.0075,0.133371522377214,1.0362167655541155
SexMale:StatusSub,-0.7492718890156551,0.21578024434584256,-3.4723840974744515,0.001739996978944225,Nts,0.0026,-1.251694934969231,-0.24684884306207922
SexMale,1.4955568557807415,0.14027139099412916,10.661880838148498,0,Chga,0,1.165277144929448,1.825836566632035
StatusSub,0.5747726803316998,0.1915472496177214,3.0006835466382156,0.007908575319471534,Chga,0.0079,0.12376004140556685,1.0257853192578328
SexMale:StatusSub,-1.3234483010352622,0.2244872481494895,-5.895427521807197,5.629906429938103e-9,Chga,0,-1.8520206840646654,-0.7948759180058592
SexMale,1.1566296281277404,0.10228103692541729,11.308348672404913,0,Chgb,0,0.9154110868900791,1.3978481693654017
StatusSub,0.6760411660223761,0.13134955601587855,5.146885810110017,4.961910569090122e-7,Chgb,0,0.3662677295498025,0.9858146024949497
SexMale:StatusSub,-0.9032453121989038,0.15624671308399204,-5.780891606426017,1.7966572118943702e-8,Chgb,0,-1.271735946790172,-0.5347546776076355
SexMale,1.0491397836566767,0.06301723487082966,16.648457930709966,0,Scg2,0,0.899071553531426,1.1992080137819274
StatusSub,0.6289193853638079,0.08042540731406633,7.819909234750129,7.438494264988549e-15,Scg2,0,0.4373956132169734,0.8204431575106423
SexMale:StatusSub,-0.5588442424943209,0.09857862819098201,-5.66902028106579,1.4798135850035976e-7,Scg2,0,-0.7935978030261185,-0.3240906819625232
SexMale,1.5715995497611581,0.18164695027375122,8.651945696818347,0,Scg3,0,1.146255578280666,1.9969435212416502
StatusSub,0.48422933328978074,0.25669154788348764,1.8864249223724834,0.1399224022307467,Scg3,0.1399,-0.11683885011596545,1.085297516695527
SexMale:StatusSub,-0.7765086537239579,0.28636941221469897,-2.7115628296984045,0.01831999605275314,Scg3,0.0275,-1.4470704380994572,-0.10594686934845854
SexMale,2.015267485581141,0.2468810766467148,8.162907878374881,2.220446049250313e-16,Vgf,0,1.4465704941907505,2.583964476971532
StatusSub,1.1436261275716253,0.30617329195822923,3.735224977519099,4.0899015432371844e-4,Vgf,4e-4,0.4383479736291058,1.8489042815141448
SexMale:StatusSub,-1.3719222732388063,0.33672967573515444,-4.074254133508133,1.2698591552418037e-4,Vgf,2e-4,-2.1475878532154984,-0.5962566932621144
SexMale,1.0707954298888243,0.0969663479141934,11.042959262902045,0,Gal,0,0.8422002249679701,1.2993906348096784
StatusSub,0.9125635961843934,0.11729352972362586,7.780169957666303,1.5432100042289676e-14,Gal,0,0.6360476807165918,1.189079511652195
SexMale:StatusSub,-0.7329396299676029,0.1399061940713212,-5.238793284548687,2.6072655934239464e-7,Gal,0,-1.0627642112927815,-0.4031150486424241
SexMale,1.7757457980139792,0.4861945588533439,3.6523358101784447,5.759393714407368e-4,Gnrh1,0.0017,0.6435201006508158,2.9079714953771427
StatusSub,1.041335948695073,0.6064356416116283,1.717141733173332,0.19038263104756625,Gnrh1,0.1904,-0.3709011994312936,2.4535730968214398
SexMale:StatusSub,-2.1330373598233328,0.7274801348979051,-2.9320901801980948,0.010071133939085763,Gnrh1,0.0151,-3.8271569011756696,-0.43891781847099565
SexMale,19.631144102320313,10860.568631862441,0.0018075613503999225,0.9999971889371155,Npb,1,-23647.860866170195,23687.123154374836
StatusSub,0.8489112170346295,15386.573244470945,5.5172207842943824e-5,0.9999999993935943,Npb,1,-33529.77104735691,33531.46886979098
SexMale:StatusSub,-0.6814228083589273,15386.573309486872,-4.428684637266075e-5,0.9999999997172917,Npb,1,-33531.301523065864,33529.93867744914
SexMale,0.4705106013587629,0.07697777637341564,6.1122914109175825,2.4319748437307e-9,Nxph1,0,0.2861104437880626,0.6549107589294632
StatusSub,-0.2353955123102116,0.11443180140361213,-2.057081243350777,0.11198403589175254,Nxph1,0.168,-0.5095167353962619,0.03872571077583864
SexMale:StatusSub,0.1396897622266777,0.1371102027494282,1.0188137675061548,0.6358300292472383,Nxph1,0.6358,-0.18875754013365367,0.4681370645870091
SexMale,0.7385185379805911,1.2250173283626389,0.6028637480317905,0.9223084721168066,Nxph2,1,-2.2396778617281003,3.7167149376892827
StatusSub,-18.7372027544414,10899.297565270766,-0.001719120213227789,0.9999999999913243,Nxph2,1,-26516.52463538574,26479.05022987686
SexMale:StatusSub,-1.3793723191126852,15403.40409756812,-8.954983654103185e-5,0.9999999999999999,Nxph2,1,-37449.30893585538,37446.55019121715
SexMale,1.8384969470797454,1.0804325930046368,1.7016304015477395,0.243778084672165,Nxph4,0.7313,-0.763866169608415,4.440860063767905
StatusSub,-18.737202754440787,10899.29756526914,-0.001719120213227989,0.9999999999867559,Nxph4,1,-26271.119966205333,26233.645560696452
SexMale:StatusSub,-2.4793507282118163,15403.40408675036,-1.6096122092547674e-4,0.999999999999999,Nxph4,1,-37103.591374133066,37098.63267267665
SexMale,0.7399471644669294,0.5483327590548603,1.3494491296532187,0.40649523971931856,Igf1,0.9802,-0.5638036023098908,2.0436979312437495
StatusSub,-0.7542711589641263,1.095941683432318,-0.6882402324564086,0.8416440688315048,Igf1,0.9802,-3.360051657252046,1.8515093393237931
SexMale:StatusSub,0.4098775745563467,1.2118173438451445,0.3382337912872157,0.9802206967620934,Igf1,0.9802,-2.471416247747434,3.2911713968601277
SexMale,18.63114411539284,6587.267896447807,0.0028283568253599806,0.997859216105871,Igf2,0.9979,-12894.563094756331,12931.825382987116
StatusSub,19.44258623333521,6587.267896480207,0.0029515402347191646,0.9977594709889186,Igf2,0.9979,-12893.751652701902,12932.636825168573
SexMale:StatusSub,-19.27509782465951,6587.2680483447275,-0.0029261140860212947,0.9977811984492951,Igf2,0.9979,-12932.469634463905,12893.919438814584
SexMale,0.6901044511023103,0.39153774833585625,1.7625489599290112,0.1848060350842542,Trh,0.5213,-0.23249434808887026,1.612703250293491
StatusSub,0.6357797964415297,0.47549880568954295,1.3370796915452938,0.38404770367337737,Trh,0.5213,-0.4846603884718954,1.7562199813549548
SexMale:StatusSub,0.6104663632123465,0.5455897418713318,1.1189109991666866,0.5213062879969579,Trh,0.5213,-0.6751323889921038,1.8960651154167967
SexMale,-22.833799545980096,10797.476256410715,-0.002114734869865829,0.99999999998599165,Pmch,1,-26629.219667233887,26583.552068141926
StatusSub,-22.041555885479816,10899.297521094715,-0.0020222914222517694,0.9999999999882851,Pmch,1,-26879.328263120042,26835.24515134908
SexMale:StatusSub,22.19294576485688,18810.910392649406,0.0011797911585145313,0.999999999998643,Pmch,1,-46330.33689954764,46374.72279107736
SexMale,-20.72928366290294,6549.000405685768,-0.003165259181371559,0.9999999852339516,Hcrt,1,-16066.921355264596,16025.462787938792
StatusSub,-19.93704001167873,6610.7581024051715,-0.0030158477594914718,0.9999999874040574,Hcrt,1,-16217.446229046885,16177.572149023528
SexMale:StatusSub,38.67900495169927,9305.45699528794,0.0041565938106301915,0.9999999664011374,Hcrt,1,-22761.311987686564,22838.669997589965
SexMale,1.552168734781786,0.23251021067863603,6.675701382108831,3.233724399365201e-11,Agrp,0,1.0068672178089797,2.0974702517545927
StatusSub,0.20716776199378426,0.3576516492928187,0.5792445313852604,0.8744085751353253,Agrp,0.8744,-0.631625452024494,1.0459609760120625
SexMale:StatusSub,-0.5710812506517758,0.39401626132485484,-1.4493849790147013,0.3170339400626552,Agrp,0.4756,-1.4951596572958716,0.35299715599232007
SexMale,0.04503011872086687,1.4144494824294325,0.0318357914370501,0.999999168587306,Prl,1,-3.4078511439760635,3.4979113814177976
StatusSub,0.8564722366632447,1.4146003700747294,0.6054517267078049,0.9298011605979631,Prl,1,-2.5967773651859076,4.309721838512397
SexMale:StatusSub,-19.279558890954274,6601.722721466247,-0.0029203830127952223,0.9999999999410485,Prl,1,-16135.065219414637,16096.506101632729
SexMale,20.631144113648546,17906.050393647405,0.0011521884312895674,0.9999999981372442,Apln,1,-40961.48496595029,41002.747254177586
StatusSub,0.8489112404839884,25368.170550933675,3.346363659845168e-5,0.9999999999999801,Apln,1,-58060.046046762414,58061.743869243386
SexMale:StatusSub,-21.271997894778387,31073.77331594202,-6.845643648904733e-4,0.9999999996146244,Apln,1,-71140.75161599835,71098.2076202088
SexMale,0.9586317597562398,0.07051687099594485,13.594360416408252,0,Dbi,0,0.791179369607725,1.1260841499047547
StatusSub,1.0284603694762506,0.084168364407373,12.219084649174427,0,Dbi,0,0.8285905568222504,1.228330182130251
SexMale:StatusSub,-1.3331940358476146,0.10669644784989717,-12.495205442295328,0,Dbi,0,-1.586560002891857,-1.0798280688033723
SexMale,0.738518537980588,1.225017328362637,0.6028637480317889,0.8660813349322579,Cbln1,1,-2.1248365369423126,3.6018736129034887
StatusSub,-17.737202753468022,6610.758191974746,-0.0026830814618208896,0.9999999832772724,Cbln1,1,-15469.721088874929,15434.246683367994
SexMale:StatusSub,17.904753393290054,6610.758267665374,0.00270842657806231,0.999999982800175,Cbln1,1,-15434.079309647417,15469.888816433997
SexMale,21.712976801762522,10860.568633012319,0.001999248615377531,0.9999964534792126,Cbln2,1,-23643.685933079447,23687.11188668297
StatusSub,0.848911269917138,15386.573277648075,5.517221116090501e-5,0.9999999983624555,Cbln2,1,-33526.805742542085,33528.50356508192
SexMale:StatusSub,-0.6809862676250491,15386.5732857963,-4.425847490381001e-5,0.9999999990829405,Cbln2,1,-33528.335657834774,33526.97368529953
SexMale,20.424610935795968,6587.267843307356,0.0031006194710220124,0.9999915199907603,Cbln4,1,-14334.639394594555,14375.488616466146
StatusSub,0.8489112238399732,9332.428423355223,9.096359332534479e-5,0.9999999965412574,Cbln4,1,-20336.50650395115,20338.204326398827
SexMale:StatusSub,-1.7813389931171035,9332.428459112905,-1.9087625486993864e-4,0.999999976642167,Cbln4,1,-20339.136832091735,20335.5741541055
SexMale,19.631144098803464,10860.56861344346,0.001807561353141638,0.9999971650344763,Retn,1,-23645.55259799831,23684.814886195916
StatusSub,0.848911211819258,15386.573257615088,5.5172207456856374e-5,0.9999999993934495,Retn,1,-33526.500923121464,33528.1987455451
SexMale:StatusSub,-0.6814228031435557,15386.573322631011,-4.4286845995872236e-5,0.9999999997172472,Retn,1,-33528.031398806146,33526.66855319986
SexMale,1.2068194743120475,0.33214638738526187,3.6333963581914213,8.028603937908496e-4,Nucb2,0.0024,0.42399199361418916,1.9896469550099058
StatusSub,-0.019513759693623196,0.5333047292836215,-0.03659026185617306,0.999994420010073,Nucb2,1,-1.276446285607574,1.2374187662203275
SexMale:StatusSub,-0.050323414718269135,0.5872109854507858,-0.08569903487012803,0.9998376542899852,Nucb2,1,-1.4343062422820372,1.3336594128454988
SexMale,1.4801748562185386,0.09121639959345408,16.22706950521603,0,Ubl5,0,1.265712659796086,1.6946370526409913
StatusSub,1.0112615059022727,0.11244405314866432,8.993463661126352,0,Ubl5,0,0.7468902007380189,1.2756328110665265
SexMale:StatusSub,-1.425625401337141,0.13408416330088269,-10.632317540275512,0,Ubl5,0,-1.7408755569575973,-1.1103752457166847
SexMale,0.056667580876028696,25249.532063395214,2.2443022204827667e-6,1,Qrfp,1,-59647.178802002556,59647.2921371643
StatusSub,0.8489112413744101,25368.1705776968,3.346363659824789e-5,0.9999999999999777,Qrfp,1,-59926.64756993392,59928.34539241667
SexMale:StatusSub,19.893053700963808,30991.22953065238,6.418930130309369e-4,0.9999999997841971,Qrfp,1,-73191.01480255194,73230.80090995386
