term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.clusters,EffectType
Sex,Male - Female,0.007209274808939587,0.004702131552275498,1.533192920868156,0.1252283279862693,2.9973671426607744,-0.0020067336840898058,0.01642528330196898,0.030648842517117764,57,1123,Female,Dom,9,MER
Sex,Male - Female,0.007209274808939587,0.004702131552275498,1.533192920868156,0.1252283279862693,2.9973671426607744,-0.0020067336840898058,0.01642528330196898,0.030648842517117764,25,1119,Female,Dom,9,MER
Sex,Male - Female,0.007209274808939587,0.004702131552275498,1.533192920868156,0.1252283279862693,2.9973671426607744,-0.0020067336840898058,0.01642528330196898,0.030648842517117764,12,825,Female,Dom,9,MER
Sex,Male - Female,0.017376773203277854,0.005880928579320878,2.9547669162961507,0.003129053523889038,8.320057947914876,0.00585036499215663,0.028903181414399078,0.024558710667689974,1,377,Female,Sub,9,MER
Sex,Male - Female,0.017376773203277854,0.005880928579320878,2.9547669162961507,0.003129053523889038,8.320057947914876,0.00585036499215663,0.028903181414399078,0.024558710667689974,15,456,Female,Sub,9,MER
Sex,Male - Female,0.017376773203277854,0.005880928579320878,2.9547669162961507,0.003129053523889038,8.320057947914876,0.00585036499215663,0.028903181414399078,0.024558710667689974,16,470,Female,Sub,9,MER
Sex,Male - Female,0.007209274808939587,0.004702131552275498,1.533192920868156,0.1252283279862693,2.9973671426607744,-0.0020067336840898058,0.01642528330196898,0.03785811732605735,38,767,Male,Dom,9,MER
Sex,Male - Female,0.007209274808939587,0.004702131552275498,1.533192920868156,0.1252283279862693,2.9973671426607744,-0.0020067336840898058,0.01642528330196898,0.03785811732605735,38,1261,Male,Dom,9,MER
Sex,Male - Female,0.007209274808939587,0.004702131552275498,1.533192920868156,0.1252283279862693,2.9973671426607744,-0.0020067336840898058,0.01642528330196898,0.03785811732605735,35,904,Male,Dom,9,MER
Sex,Male - Female,0.017376773203277854,0.005880928579320878,2.9547669162961507,0.003129053523889038,8.320057947914876,0.00585036499215663,0.028903181414399078,0.04193548387096783,28,864,Male,Sub,9,MER
Sex,Male - Female,0.017376773203277854,0.005880928579320878,2.9547669162961507,0.003129053523889038,8.320057947914876,0.00585036499215663,0.028903181414399078,0.04193548387096783,45,911,Male,Sub,9,MER
Sex,Male - Female,0.017376773203277854,0.005880928579320878,2.9547669162961507,0.003129053523889038,8.320057947914876,0.00585036499215663,0.028903181414399078,0.04193548387096783,31,705,Male,Sub,9,MER
Status,Sub - Dom,-0.006090131849427791,0.005298279839676429,-1.149454546326817,0.2503685991269337,1.9978744620281028,-0.01647456951520824,0.004294305816352659,0.030648842517117764,57,1123,Female,Dom,9,MER
Status,Sub - Dom,-0.006090131849427791,0.005298279839676429,-1.149454546326817,0.2503685991269337,1.9978744620281028,-0.01647456951520824,0.004294305816352659,0.030648842517117764,25,1119,Female,Dom,9,MER
Status,Sub - Dom,-0.006090131849427791,0.005298279839676429,-1.149454546326817,0.2503685991269337,1.9978744620281028,-0.01647456951520824,0.004294305816352659,0.030648842517117764,12,825,Female,Dom,9,MER
Status,Sub - Dom,-0.006090131849427791,0.005298279839676429,-1.149454546326817,0.2503685991269337,1.9978744620281028,-0.01647456951520824,0.004294305816352659,0.024558710667689974,1,377,Female,Sub,9,MER
Status,Sub - Dom,-0.006090131849427791,0.005298279839676429,-1.149454546326817,0.2503685991269337,1.9978744620281028,-0.01647456951520824,0.004294305816352659,0.024558710667689974,15,456,Female,Sub,9,MER
Status,Sub - Dom,-0.006090131849427791,0.005298279839676429,-1.149454546326817,0.2503685991269337,1.9978744620281028,-0.01647456951520824,0.004294305816352659,0.024558710667689974,16,470,Female,Sub,9,MER
Status,Sub - Dom,0.004077366544910477,0.005350101716717927,0.7621100982378664,0.445994296353748,1.1649028346852326,-0.006408640133482572,0.014563373223303526,0.03785811732605735,38,767,Male,Dom,9,MER
Status,Sub - Dom,0.004077366544910477,0.005350101716717927,0.7621100982378664,0.445994296353748,1.1649028346852326,-0.006408640133482572,0.014563373223303526,0.03785811732605735,38,1261,Male,Dom,9,MER
Status,Sub - Dom,0.004077366544910477,0.005350101716717927,0.7621100982378664,0.445994296353748,1.1649028346852326,-0.006408640133482572,0.014563373223303526,0.03785811732605735,35,904,Male,Dom,9,MER
Status,Sub - Dom,0.004077366544910477,0.005350101716717927,0.7621100982378664,0.445994296353748,1.1649028346852326,-0.006408640133482572,0.014563373223303526,0.04193548387096783,28,864,Male,Sub,9,MER
Status,Sub - Dom,0.004077366544910477,0.005350101716717927,0.7621100982378664,0.445994296353748,1.1649028346852326,-0.006408640133482572,0.014563373223303526,0.04193548387096783,45,911,Male,Sub,9,MER
Status,Sub - Dom,0.004077366544910477,0.005350101716717927,0.7621100982378664,0.445994296353748,1.1649028346852326,-0.006408640133482572,0.014563373223303526,0.04193548387096783,31,705,Male,Sub,9,MER
