term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.clusters,EffectType
Sex,Male - Female,-0.00505402089174168,0.004289252445274112,-1.1782987726241638,0.23867751694631142,2.066865421713304,-0.013460801205079297,0.0033527594215959373,0.03097489403479064,4,1123,Female,Dom,10,MER
Sex,Male - Female,-0.00505402089174168,0.004289252445274112,-1.1782987726241638,0.23867751694631142,2.066865421713304,-0.013460801205079297,0.0033527594215959373,0.03097489403479064,80,1119,Female,Dom,10,MER
Sex,Male - Female,-0.00505402089174168,0.004289252445274112,-1.1782987726241638,0.23867751694631142,2.066865421713304,-0.013460801205079297,0.0033527594215959373,0.03097489403479064,11,825,Female,Dom,10,MER
Sex,Male - Female,-0.006231896637497913,0.006193232647466567,-1.0062429416481167,0.3142987202188311,1.669791697194557,-0.01837040957441003,0.005906616299414205,0.036070606314917264,38,377,Female,Sub,10,MER
Sex,Male - Female,-0.006231896637497913,0.006193232647466567,-1.0062429416481167,0.3142987202188311,1.669791697194557,-0.01837040957441003,0.005906616299414205,0.036070606314917264,1,456,Female,Sub,10,MER
Sex,Male - Female,-0.006231896637497913,0.006193232647466567,-1.0062429416481167,0.3142987202188311,1.669791697194557,-0.01837040957441003,0.005906616299414205,0.036070606314917264,8,470,Female,Sub,10,MER
Sex,Male - Female,-0.00505402089174168,0.004289252445274112,-1.1782987726241638,0.23867751694631142,2.066865421713304,-0.013460801205079297,0.0033527594215959373,0.02592087314304896,1,767,Male,Dom,10,MER
Sex,Male - Female,-0.00505402089174168,0.004289252445274112,-1.1782987726241638,0.23867751694631142,2.066865421713304,-0.013460801205079297,0.0033527594215959373,0.02592087314304896,72,1261,Male,Dom,10,MER
Sex,Male - Female,-0.00505402089174168,0.004289252445274112,-1.1782987726241638,0.23867751694631142,2.066865421713304,-0.013460801205079297,0.0033527594215959373,0.02592087314304896,3,904,Male,Dom,10,MER
Sex,Male - Female,-0.006231896637497913,0.006193232647466567,-1.0062429416481167,0.3142987202188311,1.669791697194557,-0.01837040957441003,0.005906616299414205,0.02983870967741935,27,864,Male,Sub,10,MER
Sex,Male - Female,-0.006231896637497913,0.006193232647466567,-1.0062429416481167,0.3142987202188311,1.669791697194557,-0.01837040957441003,0.005906616299414205,0.02983870967741935,29,911,Male,Sub,10,MER
Sex,Male - Female,-0.006231896637497913,0.006193232647466567,-1.0062429416481167,0.3142987202188311,1.669791697194557,-0.01837040957441003,0.005906616299414205,0.02983870967741935,18,705,Male,Sub,10,MER
Status,Sub - Dom,0.0050957122801266255,0.006039021056587558,0.8437977335031908,0.398782442255863,1.3263262032756697,-0.006740551492664009,0.016931976052917262,0.03097489403479064,4,1123,Female,Dom,10,MER
Status,Sub - Dom,0.0050957122801266255,0.006039021056587558,0.8437977335031908,0.398782442255863,1.3263262032756697,-0.006740551492664009,0.016931976052917262,0.03097489403479064,80,1119,Female,Dom,10,MER
Status,Sub - Dom,0.0050957122801266255,0.006039021056587558,0.8437977335031908,0.398782442255863,1.3263262032756697,-0.006740551492664009,0.016931976052917262,0.03097489403479064,11,825,Female,Dom,10,MER
Status,Sub - Dom,0.0050957122801266255,0.006039021056587558,0.8437977335031908,0.398782442255863,1.3263262032756697,-0.006740551492664009,0.016931976052917262,0.036070606314917264,38,377,Female,Sub,10,MER
Status,Sub - Dom,0.0050957122801266255,0.006039021056587558,0.8437977335031908,0.398782442255863,1.3263262032756697,-0.006740551492664009,0.016931976052917262,0.036070606314917264,1,456,Female,Sub,10,MER
Status,Sub - Dom,0.0050957122801266255,0.006039021056587558,0.8437977335031908,0.398782442255863,1.3263262032756697,-0.006740551492664009,0.016931976052917262,0.036070606314917264,8,470,Female,Sub,10,MER
Status,Sub - Dom,0.003917836534370393,0.004503775458430895,0.8699005024853877,0.3843547808442736,1.3794894811720222,-0.004909401158609531,0.012745074227350316,0.02592087314304896,1,767,Male,Dom,10,MER
Status,Sub - Dom,0.003917836534370393,0.004503775458430895,0.8699005024853877,0.3843547808442736,1.3794894811720222,-0.004909401158609531,0.012745074227350316,0.02592087314304896,72,1261,Male,Dom,10,MER
Status,Sub - Dom,0.003917836534370393,0.004503775458430895,0.8699005024853877,0.3843547808442736,1.3794894811720222,-0.004909401158609531,0.012745074227350316,0.02592087314304896,3,904,Male,Dom,10,MER
Status,Sub - Dom,0.003917836534370393,0.004503775458430895,0.8699005024853877,0.3843547808442736,1.3794894811720222,-0.004909401158609531,0.012745074227350316,0.02983870967741935,27,864,Male,Sub,10,MER
Status,Sub - Dom,0.003917836534370393,0.004503775458430895,0.8699005024853877,0.3843547808442736,1.3794894811720222,-0.004909401158609531,0.012745074227350316,0.02983870967741935,29,911,Male,Sub,10,MER
Status,Sub - Dom,0.003917836534370393,0.004503775458430895,0.8699005024853877,0.3843547808442736,1.3794894811720222,-0.004909401158609531,0.012745074227350316,0.02983870967741935,18,705,Male,Sub,10,MER
