term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.clusters,EffectType
Sex,Male - Female,0.004478426554560724,0.005893664338251053,0.7598713291991954,0.4473315009393081,1.160583738850394,-0.007072943285379428,0.016029796394500875,0.05282034561460705,61,1123,Female,Dom,6,MER
Sex,Male - Female,0.004478426554560724,0.005893664338251053,0.7598713291991954,0.4473315009393081,1.160583738850394,-0.007072943285379428,0.016029796394500875,0.05282034561460705,58,1119,Female,Dom,6,MER
Sex,Male - Female,0.004478426554560724,0.005893664338251053,0.7598713291991954,0.4473315009393081,1.160583738850394,-0.007072943285379428,0.016029796394500875,0.05282034561460705,43,825,Female,Dom,6,MER
Sex,Male - Female,-0.00793609041142658,0.006661366782387579,-1.1913606727690367,0.2335120247691137,2.098431251041982,-0.020992129392717697,0.005119948569864537,0.042210283960092077,15,377,Female,Sub,6,MER
Sex,Male - Female,-0.00793609041142658,0.006661366782387579,-1.1913606727690367,0.2335120247691137,2.098431251041982,-0.020992129392717697,0.005119948569864537,0.042210283960092077,19,456,Female,Sub,6,MER
Sex,Male - Female,-0.00793609041142658,0.006661366782387579,-1.1913606727690367,0.2335120247691137,2.098431251041982,-0.020992129392717697,0.005119948569864537,0.042210283960092077,21,470,Female,Sub,6,MER
Sex,Male - Female,0.004478426554560724,0.005893664338251053,0.7598713291991954,0.4473315009393081,1.160583738850394,-0.007072943285379428,0.016029796394500875,0.057298772169167775,57,767,Male,Dom,6,MER
Sex,Male - Female,0.004478426554560724,0.005893664338251053,0.7598713291991954,0.4473315009393081,1.160583738850394,-0.007072943285379428,0.016029796394500875,0.057298772169167775,63,1261,Male,Dom,6,MER
Sex,Male - Female,0.004478426554560724,0.005893664338251053,0.7598713291991954,0.4473315009393081,1.160583738850394,-0.007072943285379428,0.016029796394500875,0.057298772169167775,48,904,Male,Dom,6,MER
Sex,Male - Female,-0.00793609041142658,0.006661366782387579,-1.1913606727690367,0.2335120247691137,2.098431251041982,-0.020992129392717697,0.005119948569864537,0.034274193548665496,16,864,Male,Sub,6,MER
Sex,Male - Female,-0.00793609041142658,0.006661366782387579,-1.1913606727690367,0.2335120247691137,2.098431251041982,-0.020992129392717697,0.005119948569864537,0.034274193548665496,31,911,Male,Sub,6,MER
Sex,Male - Female,-0.00793609041142658,0.006661366782387579,-1.1913606727690367,0.2335120247691137,2.098431251041982,-0.020992129392717697,0.005119948569864537,0.034274193548665496,38,705,Male,Sub,6,MER
Status,Sub - Dom,-0.010610061654514974,0.006880390968932669,-1.542072493034633,0.123055978411526,3.0226133451356345,-0.024095380153177647,0.0028752568441476993,0.05282034561460705,61,1123,Female,Dom,6,MER
Status,Sub - Dom,-0.010610061654514974,0.006880390968932669,-1.542072493034633,0.123055978411526,3.0226133451356345,-0.024095380153177647,0.0028752568441476993,0.05282034561460705,58,1119,Female,Dom,6,MER
Status,Sub - Dom,-0.010610061654514974,0.006880390968932669,-1.542072493034633,0.123055978411526,3.0226133451356345,-0.024095380153177647,0.0028752568441476993,0.05282034561460705,43,825,Female,Dom,6,MER
Status,Sub - Dom,-0.010610061654514974,0.006880390968932669,-1.542072493034633,0.123055978411526,3.0226133451356345,-0.024095380153177647,0.0028752568441476993,0.042210283960092077,15,377,Female,Sub,6,MER
Status,Sub - Dom,-0.010610061654514974,0.006880390968932669,-1.542072493034633,0.123055978411526,3.0226133451356345,-0.024095380153177647,0.0028752568441476993,0.042210283960092077,19,456,Female,Sub,6,MER
Status,Sub - Dom,-0.010610061654514974,0.006880390968932669,-1.542072493034633,0.123055978411526,3.0226133451356345,-0.024095380153177647,0.0028752568441476993,0.042210283960092077,21,470,Female,Sub,6,MER
Status,Sub - Dom,-0.02302457862050228,0.0056364256998343125,-4.084960903712277,4.408423865739228e-5,14.469377530110082,-0.034071769993713495,-0.01197738724729106,0.057298772169167775,57,767,Male,Dom,6,MER
Status,Sub - Dom,-0.02302457862050228,0.0056364256998343125,-4.084960903712277,4.408423865739228e-5,14.469377530110082,-0.034071769993713495,-0.01197738724729106,0.057298772169167775,63,1261,Male,Dom,6,MER
Status,Sub - Dom,-0.02302457862050228,0.0056364256998343125,-4.084960903712277,4.408423865739228e-5,14.469377530110082,-0.034071769993713495,-0.01197738724729106,0.057298772169167775,48,904,Male,Dom,6,MER
Status,Sub - Dom,-0.02302457862050228,0.0056364256998343125,-4.084960903712277,4.408423865739228e-5,14.469377530110082,-0.034071769993713495,-0.01197738724729106,0.034274193548665496,16,864,Male,Sub,6,MER
Status,Sub - Dom,-0.02302457862050228,0.0056364256998343125,-4.084960903712277,4.408423865739228e-5,14.469377530110082,-0.034071769993713495,-0.01197738724729106,0.034274193548665496,31,911,Male,Sub,6,MER
Status,Sub - Dom,-0.02302457862050228,0.0056364256998343125,-4.084960903712277,4.408423865739228e-5,14.469377530110082,-0.034071769993713495,-0.01197738724729106,0.034274193548665496,38,705,Male,Sub,6,MER
